date,open,high,low,close,volume,average,barCount
2005-03-09,0.7929,0.7959,0.7914,0.7934,-1.0,-1.0,-1
2005-03-10,0.7919,0.7984,0.7872,0.7911,-1.0,-1.0,-1
2005-03-11,0.79,0.795,0.7877,0.7931,-1.0,-1.0,-1
2005-03-14,0.7932,0.7933,0.7861,0.7875,-1.0,-1.0,-1
2005-03-15,0.788,0.794,0.7871,0.7909,-1.0,-1.0,-1
2005-03-16,0.7889,0.7958,0.7884,0.7937,-1.0,-1.0,-1
2005-03-17,0.7947,0.7948,0.7907,0.7937,-1.0,-1.0,-1
2005-03-18,0.7931,0.7953,0.7887,0.795,-1.0,-1.0,-1
2005-03-21,0.7938,0.7942,0.7845,0.7855,-1.0,-1.0,-1
2005-03-22,0.7853,0.7929,0.7821,0.7831,-1.0,-1.0,-1
2005-03-23,0.7805,0.7811,0.7699,0.7727,-1.0,-1.0,-1
2005-03-24,0.7725,0.7741,0.7705,0.7729,-1.0,-1.0,-1
2005-03-25,0.7715,0.774,0.7711,0.7716,-1.0,-1.0,-1
2005-03-28,0.772,0.7724,0.7671,0.769,-1.0,-1.0,-1
2005-03-29,0.7679,0.7752,0.7675,0.7705,-1.0,-1.0,-1
2005-03-30,0.7716,0.7743,0.7693,0.7706,-1.0,-1.0,-1
2005-03-31,0.7708,0.7777,0.7708,0.7729,-1.0,-1.0,-1
2005-04-01,0.7729,0.7766,0.7684,0.7716,-1.0,-1.0,-1
2005-04-04,0.7688,0.7709,0.7652,0.768,-1.0,-1.0,-1
2005-04-05,0.7669,0.7699,0.7629,0.7693,-1.0,-1.0,-1
2005-04-06,0.7679,0.7684,0.7635,0.7653,-1.0,-1.0,-1
2005-04-07,0.7639,0.7709,0.7628,0.7663,-1.0,-1.0,-1
2005-04-08,0.766,0.7737,0.765,0.7721,-1.0,-1.0,-1
2005-04-11,0.7718,0.7758,0.7706,0.7757,-1.0,-1.0,-1
2005-04-12,0.7753,0.7776,0.7721,0.7758,-1.0,-1.0,-1
2005-04-13,0.7751,0.7805,0.7745,0.7778,-1.0,-1.0,-1
