date,open,high,low,close,volume,average,barCount
2016-08-22,1.04152,1.04184,1.03639,1.03912,-1.0,-1.0,-1
2016-08-23,1.03967,1.04237,1.03806,1.03836,-1.0,-1.0,-1
2016-08-24,1.0385,1.0389,1.03267,1.03423,-1.0,-1.0,-1
2016-08-25,1.03449,1.03724,1.03225,1.03367,-1.0,-1.0,-1
2016-08-26,1.03379,1.03831,1.02116,1.02483,-1.0,-1.0,-1
2016-08-29,1.02247,1.0241,1.01972,1.02245,-1.0,-1.0,-1
2016-08-30,1.02283,1.02321,1.0158,1.01694,-1.0,-1.0,-1
2016-08-31,1.01711,1.01859,1.01388,1.01667,-1.0,-1.0,-1
2016-09-01,1.01695,1.02197,1.01165,1.02094,-1.0,-1.0,-1
2016-09-02,1.02087,1.02682,1.01841,1.02248,-1.0,-1.0,-1
2016-09-05,1.02086,1.02332,1.01897,1.02115,-1.0,-1.0,-1
2016-09-06,1.02092,1.03191,1.01932,1.03191,-1.0,-1.0,-1
2016-09-07,1.03162,1.03416,1.02995,1.03169,-1.0,-1.0,-1
2016-09-08,1.03149,1.03636,1.02693,1.02844,-1.0,-1.0,-1
2016-09-09,1.0286,1.02985,1.02201,1.02757,-1.0,-1.0,-1
2016-09-12,1.02603,1.03203,1.02428,1.02909,-1.0,-1.0,-1
2016-09-13,1.02926,1.0302,1.02203,1.02445,-1.0,-1.0,-1
2016-09-14,1.02381,1.03027,1.02147,1.02788,-1.0,-1.0,-1
2016-09-15,1.0279,1.0317,1.02379,1.02955,-1.0,-1.0,-1
2016-09-16,1.02933,1.02972,1.01853,1.02262,-1.0,-1.0,-1
2016-09-19,1.02088,1.02215,1.01845,1.02048,-1.0,-1.0,-1
2016-09-20,1.02068,1.02438,1.01932,1.02153,-1.0,-1.0,-1
2016-09-21,1.02188,1.02882,1.01894,1.0279,-1.0,-1.0,-1
2016-09-22,1.02727,1.03522,1.02658,1.03253,-1.0,-1.0,-1
2016-09-23,1.03242,1.03329,1.02645,1.03329,-1.0,-1.0,-1
2016-09-26,1.03117,1.03509,1.02997,1.03206,-1.0,-1.0,-1
2016-09-27,1.03207,1.03504,1.02788,1.03027,-1.0,-1.0,-1
2016-09-28,1.0306,1.03185,1.02705,1.03005,-1.0,-1.0,-1
2016-09-29,1.03012,1.03737,1.02843,1.03545,-1.0,-1.0,-1
2016-09-30,1.0355,1.03652,1.02508,1.032,-1.0,-1.0,-1
2016-10-03,1.02963,1.0317,1.02622,1.02735,-1.0,-1.0,-1
2016-10-04,1.02771,1.02795,1.01741,1.02183,-1.0,-1.0,-1
2016-10-05,1.02183,1.02742,1.02129,1.02674,-1.0,-1.0,-1
2016-10-06,1.02654,1.02711,1.01846,1.0198,-1.0,-1.0,-1
2016-10-07,1.01964,1.02551,1.01631,1.02551,-1.0,-1.0,-1
2016-10-10,1.02301,1.02334,1.01635,1.01808,-1.0,-1.0,-1
2016-10-11,1.01809,1.01836,1.01077,1.01178,-1.0,-1.0,-1
2016-10-12,1.01173,1.01275,1.00912,1.00959,-1.0,-1.0,-1
2016-10-13,1.01008,1.01431,1.00915,1.01431,-1.0,-1.0,-1
2016-10-14,1.01411,1.01466,1.00962,1.01215,-1.0,-1.0,-1
2016-10-17,1.00971,1.01304,1.00944,1.01136,-1.0,-1.0,-1
2016-10-18,1.01174,1.01355,1.00865,1.01052,-1.0,-1.0,-1
2016-10-19,1.01068,1.0127,1.00958,1.01127,-1.0,-1.0,-1
2016-10-20,1.01114,1.01603,1.00673,1.00784,-1.0,-1.0,-1
2016-10-21,1.00786,1.00895,1.00382,1.00895,-1.0,-1.0,-1
2016-10-24,1.00622,1.00854,1.00437,1.00665,-1.0,-1.0,-1
2016-10-25,1.00685,1.00685,1.00012,1.00611,-1.0,-1.0,-1
2016-10-26,1.00611,1.00979,1.00415,1.00683,-1.0,-1.0,-1
2016-10-27,1.00699,1.0089,1.00492,1.00672,-1.0,-1.0,-1
2016-10-28,1.00681,1.01491,1.00498,1.01478,-1.0,-1.0,-1
2016-10-31,1.01336,1.0134,1.00936,1.01127,-1.0,-1.0,-1
2016-11-01,1.01169,1.02794,1.01026,1.02553,-1.0,-1.0,-1
2016-11-02,1.02586,1.03147,1.02522,1.0281,-1.0,-1.0,-1
2016-11-03,1.02795,1.03144,1.02458,1.02709,-1.0,-1.0,-1
2016-11-04,1.02718,1.03495,1.02483,1.03495,-1.0,-1.0,-1
2016-11-07,1.02667,1.02779,1.02152,1.02688,-1.0,-1.0,-1
2016-11-08,1.02674,1.02721,1.0215,1.02294,-1.0,-1.0,-1
2016-11-09,1.02194,1.04722,1.01545,1.01603,-1.0,-1.0,-1
2016-11-10,1.0164,1.01829,1.01043,1.01383,-1.0,-1.0,-1
2016-11-11,1.01341,1.01708,1.01083,1.01452,-1.0,-1.0,-1
2016-11-14,1.01134,1.01192,0.9998,1.00211,-1.0,-1.0,-1
2016-11-15,1.00255,1.00714,0.99756,0.99848,-1.0,-1.0,-1
2016-11-16,0.99896,1.00169,0.99421,0.99835,-1.0,-1.0,-1
2016-11-17,0.99789,1.00058,0.99268,0.9932,-1.0,-1.0,-1
2016-11-18,0.9932,0.99403,0.98782,0.99237,-1.0,-1.0,-1
2016-11-21,0.99047,0.99259,0.98846,0.99182,-1.0,-1.0,-1
2016-11-22,0.99182,0.99328,0.98674,0.98936,-1.0,-1.0,-1
2016-11-23,0.98942,0.99091,0.98212,0.98392,-1.0,-1.0,-1
2016-11-24,0.9838,0.98571,0.98118,0.98498,-1.0,-1.0,-1
2016-11-25,0.98447,0.98995,0.98176,0.98995,-1.0,-1.0,-1
2016-11-28,0.9874,0.99218,0.98348,0.98721,-1.0,-1.0,-1
2016-11-29,0.98712,0.98908,0.98267,0.98888,-1.0,-1.0,-1
2016-11-30,0.989,0.98946,0.97991,0.9831,-1.0,-1.0,-1
2016-12-01,0.98401,0.9902,0.98286,0.98992,-1.0,-1.0,-1
2016-12-02,0.99026,0.99341,0.98788,0.99195,-1.0,-1.0,-1
2016-12-05,0.98773,0.99503,0.98214,0.99379,-1.0,-1.0,-1
2016-12-06,0.99342,0.99508,0.98861,0.99025,-1.0,-1.0,-1
2016-12-07,0.99044,0.99347,0.98916,0.99297,-1.0,-1.0,-1
2016-12-08,0.993,0.99798,0.98251,0.98434,-1.0,-1.0,-1
2016-12-09,0.98404,0.9856,0.97908,0.98556,-1.0,-1.0,-1
2016-12-12,0.98333,0.98775,0.98053,0.98705,-1.0,-1.0,-1
2016-12-13,0.98726,0.99006,0.98559,0.98853,-1.0,-1.0,-1
2016-12-14,0.9882,0.99174,0.97815,0.98049,-1.0,-1.0,-1
2016-12-15,0.98033,0.98083,0.96678,0.97107,-1.0,-1.0,-1
2016-12-16,0.97116,0.97645,0.96976,0.97638,-1.0,-1.0,-1
2016-12-19,0.97493,0.97838,0.97249,0.97379,-1.0,-1.0,-1
2016-12-20,0.97333,0.97467,0.96898,0.97245,-1.0,-1.0,-1
2016-12-21,0.97212,0.97782,0.97131,0.97427,-1.0,-1.0,-1
2016-12-22,0.97405,0.97867,0.97377,0.97548,-1.0,-1.0,-1
2016-12-23,0.97549,0.9763,0.97268,0.97308,-1.0,-1.0,-1
2016-12-27,0.97396,0.97408,0.97103,0.97333,-1.0,-1.0,-1
2016-12-28,0.97305,0.97427,0.96888,0.97308,-1.0,-1.0,-1
2016-12-29,0.9727,0.97971,0.97232,0.97828,-1.0,-1.0,-1
2016-12-30,0.97804,0.99493,0.97739,0.98202,-1.0,-1.0,-1
2017-01-02,0.98125,0.98223,0.97679,0.9775,-1.0,-1.0,-1
2017-01-03,0.97701,0.97936,0.96756,0.9737,-1.0,-1.0,-1
2017-01-04,0.97359,0.98034,0.97174,0.98018,-1.0,-1.0,-1
2017-01-05,0.97942,0.99138,0.97839,0.99097,-1.0,-1.0,-1
2017-01-06,0.99086,0.99086,0.98198,0.98449,-1.0,-1.0,-1
2017-01-09,0.9833,0.98604,0.98064,0.98535,-1.0,-1.0,-1
2017-01-10,0.9858,0.98909,0.98252,0.98375,-1.0,-1.0,-1
2017-01-11,0.98386,0.98998,0.97578,0.98648,-1.0,-1.0,-1
2017-01-12,0.98654,0.99444,0.9853,0.98986,-1.0,-1.0,-1
2017-01-13,0.98978,0.99606,0.988,0.99393,-1.0,-1.0,-1
2017-01-16,0.99069,0.99105,0.98654,0.98905,-1.0,-1.0,-1
2017-01-17,0.98906,1.00041,0.98853,0.99872,-1.0,-1.0,-1
2017-01-18,0.9987,0.99912,0.99256,0.99307,-1.0,-1.0,-1
2017-01-19,0.99284,0.99587,0.98792,0.99396,-1.0,-1.0,-1
2017-01-20,0.99419,1.00051,0.99068,1.00051,-1.0,-1.0,-1
2017-01-23,0.9983,1.00405,0.99769,1.00384,-1.0,-1.0,-1
2017-01-24,1.00353,1.00411,0.99808,0.99957,-1.0,-1.0,-1
2017-01-25,0.99937,1.00342,0.9974,1.00092,-1.0,-1.0,-1
2017-01-26,1.00139,1.00321,0.99739,1.00032,-1.0,-1.0,-1
2017-01-27,1.00042,1.00306,0.99722,1.0015,-1.0,-1.0,-1
2017-01-30,1.003,1.00673,0.99556,1.0053,-1.0,-1.0,-1
2017-01-31,1.00526,1.01409,1.00341,1.01127,-1.0,-1.0,-1
2017-02-01,1.01093,1.01178,1.0045,1.0075,-1.0,-1.0,-1
2017-02-02,1.00777,1.01322,1.00628,1.0076,-1.0,-1.0,-1
