date,open,high,low,close,volume,average,barCount
2016-08-22,1.03993,1.04167,1.03638,1.03896,-1.0,-1.0,-1
2016-08-23,1.03883,1.04231,1.03787,1.03787,-1.0,-1.0,-1
2016-08-24,1.03767,1.03879,1.03261,1.03407,-1.0,-1.0,-1
2016-08-25,1.03366,1.03719,1.03221,1.03317,-1.0,-1.0,-1
2016-08-26,1.03297,1.03822,1.01982,1.01982,-1.0,-1.0,-1
2016-08-29,1.02197,1.02404,1.01969,1.02204,-1.0,-1.0,-1
2016-08-30,1.02203,1.02292,1.01577,1.01579,-1.0,-1.0,-1
2016-08-31,1.01631,1.01854,1.01382,1.01618,-1.0,-1.0,-1
2016-09-01,1.01616,1.02192,1.01162,1.01961,-1.0,-1.0,-1
2016-09-02,1.02008,1.02675,1.0175,1.0175,-1.0,-1.0,-1
2016-09-05,1.02011,1.02325,1.01893,1.0203,-1.0,-1.0,-1
2016-09-06,1.02013,1.03161,1.01925,1.03056,-1.0,-1.0,-1
2016-09-07,1.0308,1.03415,1.02986,1.03036,-1.0,-1.0,-1
2016-09-08,1.03066,1.03632,1.0269,1.02795,-1.0,-1.0,-1
2016-09-09,1.02779,1.0298,1.02198,1.02254,-1.0,-1.0,-1
2016-09-12,1.02519,1.03186,1.02421,1.02859,-1.0,-1.0,-1
2016-09-13,1.02874,1.03016,1.02198,1.02396,-1.0,-1.0,-1
2016-09-14,1.023,1.03022,1.02142,1.0269,-1.0,-1.0,-1
2016-09-15,1.02709,1.03143,1.02374,1.02839,-1.0,-1.0,-1
2016-09-16,1.02851,1.02962,1.01763,1.01763,-1.0,-1.0,-1
2016-09-19,1.01988,1.02209,1.0184,1.01999,-1.0,-1.0,-1
2016-09-20,1.02018,1.02432,1.01924,1.02105,-1.0,-1.0,-1
2016-09-21,1.02137,1.0287,1.01888,1.02592,-1.0,-1.0,-1
2016-09-22,1.02671,1.03519,1.02633,1.03203,-1.0,-1.0,-1
2016-09-23,1.0315,1.03238,1.02639,1.02819,-1.0,-1.0,-1
2016-09-26,1.03083,1.03503,1.02991,1.03144,-1.0,-1.0,-1
2016-09-27,1.03155,1.03503,1.02783,1.03,-1.0,-1.0,-1
2016-09-28,1.03027,1.03179,1.02701,1.02955,-1.0,-1.0,-1
2016-09-29,1.02957,1.03733,1.02837,1.03477,-1.0,-1.0,-1
2016-09-30,1.03515,1.03647,1.02319,1.02692,-1.0,-1.0,-1
2016-10-03,1.02877,1.03045,1.02619,1.02686,-1.0,-1.0,-1
2016-10-04,1.02699,1.02779,1.01737,1.02117,-1.0,-1.0,-1
2016-10-05,1.02093,1.02734,1.02093,1.02625,-1.0,-1.0,-1
2016-10-06,1.02602,1.02702,1.01841,1.0193,-1.0,-1.0,-1
2016-10-07,1.0191,1.02379,1.01598,1.02048,-1.0,-1.0,-1
2016-10-10,1.02216,1.02325,1.0163,1.01759,-1.0,-1.0,-1
2016-10-11,1.0172,1.01815,1.01074,1.01097,-1.0,-1.0,-1
2016-10-12,1.01085,1.01267,1.00903,1.00911,-1.0,-1.0,-1
2016-10-13,1.0092,1.01424,1.00899,1.01366,-1.0,-1.0,-1
2016-10-14,1.01378,1.01459,1.00726,1.00726,-1.0,-1.0,-1
2016-10-17,1.00922,1.01297,1.00921,1.01072,-1.0,-1.0,-1
2016-10-18,1.01085,1.01345,1.00857,1.01004,-1.0,-1.0,-1
2016-10-19,1.00978,1.01259,1.00948,1.01079,-1.0,-1.0,-1
2016-10-20,1.01027,1.01595,1.00669,1.00687,-1.0,-1.0,-1
2016-10-21,1.007,1.00758,1.00378,1.00409,-1.0,-1.0,-1
2016-10-24,1.00541,1.00848,1.00429,1.00617,-1.0,-1.0,-1
2016-10-25,1.00599,1.00676,1.00007,1.00532,-1.0,-1.0,-1
2016-10-26,1.00524,1.00975,1.00408,1.00636,-1.0,-1.0,-1
2016-10-27,1.00612,1.00886,1.00488,1.00608,-1.0,-1.0,-1
2016-10-28,1.00594,1.01434,1.00495,1.01205,-1.0,-1.0,-1
2016-10-31,1.01253,1.01294,1.00931,1.01063,-1.0,-1.0,-1
2016-11-01,1.01081,1.0279,1.01019,1.02504,-1.0,-1.0,-1
2016-11-02,1.02495,1.03141,1.02495,1.02693,-1.0,-1.0,-1
2016-11-03,1.02703,1.03138,1.02453,1.02643,-1.0,-1.0,-1
2016-11-04,1.02626,1.0329,1.02477,1.03018,-1.0,-1.0,-1
2016-11-07,1.0253,1.02772,1.02143,1.026,-1.0,-1.0,-1
2016-11-08,1.02582,1.02715,1.02145,1.02211,-1.0,-1.0,-1
2016-11-09,1.02144,1.04708,1.01531,1.01554,-1.0,-1.0,-1
2016-11-10,1.01549,1.01819,1.01039,1.013,-1.0,-1.0,-1
2016-11-11,1.01285,1.01704,1.00941,1.0096,-1.0,-1.0,-1
2016-11-14,1.01041,1.01152,0.99976,1.00164,-1.0,-1.0,-1
2016-11-15,1.00206,1.00711,0.99752,0.99798,-1.0,-1.0,-1
2016-11-16,0.99811,1.00161,0.9942,0.99788,-1.0,-1.0,-1
2016-11-17,0.99724,1.00051,0.99258,0.99259,-1.0,-1.0,-1
2016-11-18,0.99236,0.99401,0.98757,0.98769,-1.0,-1.0,-1
2016-11-21,0.98929,0.99254,0.98839,0.99071,-1.0,-1.0,-1
2016-11-22,0.99098,0.9932,0.9867,0.98825,-1.0,-1.0,-1
2016-11-23,0.98859,0.99085,0.98204,0.98299,-1.0,-1.0,-1
2016-11-24,0.98298,0.98564,0.98114,0.9832,-1.0,-1.0,-1
2016-11-25,0.98258,0.98958,0.98165,0.98488,-1.0,-1.0,-1
2016-11-28,0.98658,0.9921,0.98343,0.98689,-1.0,-1.0,-1
2016-11-29,0.98638,0.98902,0.98261,0.98778,-1.0,-1.0,-1
2016-11-30,0.9883,0.98934,0.97985,0.98249,-1.0,-1.0,-1
2016-12-01,0.98306,0.99016,0.98254,0.98883,-1.0,-1.0,-1
2016-12-02,0.98938,0.99274,0.98725,0.98725,-1.0,-1.0,-1
2016-12-05,0.98654,0.99497,0.98191,0.99319,-1.0,-1.0,-1
2016-12-06,0.99293,0.99502,0.98857,0.98931,-1.0,-1.0,-1
2016-12-07,0.98993,0.99343,0.98909,0.99209,-1.0,-1.0,-1
2016-12-08,0.99251,0.99789,0.98246,0.98349,-1.0,-1.0,-1
2016-12-09,0.98355,0.98486,0.97904,0.98094,-1.0,-1.0,-1
2016-12-12,0.98161,0.98769,0.98043,0.98643,-1.0,-1.0,-1
2016-12-13,0.98662,0.99001,0.98554,0.98759,-1.0,-1.0,-1
2016-12-14,0.98779,0.99168,0.9781,0.97957,-1.0,-1.0,-1
2016-12-15,0.97952,0.98043,0.96673,0.97064,-1.0,-1.0,-1
2016-12-16,0.97068,0.9764,0.96974,0.97187,-1.0,-1.0,-1
2016-12-19,0.97379,0.97832,0.97244,0.97302,-1.0,-1.0,-1
2016-12-20,0.97228,0.97461,0.96891,0.97171,-1.0,-1.0,-1
2016-12-21,0.97185,0.97778,0.97122,0.97351,-1.0,-1.0,-1
2016-12-22,0.97327,0.97863,0.97323,0.97442,-1.0,-1.0,-1
2016-12-23,0.9744,0.97623,0.97259,0.97295,-1.0,-1.0,-1
2016-12-27,0.97333,0.97387,0.97101,0.97211,-1.0,-1.0,-1
2016-12-28,0.97227,0.97423,0.96883,0.97187,-1.0,-1.0,-1
