date,open,high,low,close,volume,average,barCount
2016-08-22,1.040725,1.041755,1.036385,1.03904,-1.0,-1.0,-1
2016-08-23,1.03925,1.04234,1.03803,1.038115,-1.0,-1.0,-1
2016-08-24,1.038085,1.03882,1.03264,1.03415,-1.0,-1.0,-1
2016-08-25,1.034075,1.037215,1.03223,1.03342,-1.0,-1.0,-1
2016-08-26,1.03338,1.038265,1.02114,1.022325,-1.0,-1.0,-1
2016-08-29,1.02222,1.02407,1.019705,1.022245,-1.0,-1.0,-1
2016-08-30,1.02243,1.022975,1.015785,1.016365,-1.0,-1.0,-1
2016-08-31,1.01671,1.01856,1.013855,1.016425,-1.0,-1.0,-1
2016-09-01,1.016555,1.021945,1.011645,1.020275,-1.0,-1.0,-1
2016-09-02,1.020475,1.026785,1.01838,1.01999,-1.0,-1.0,-1
2016-09-05,1.020485,1.023285,1.01895,1.020725,-1.0,-1.0,-1
2016-09-06,1.020525,1.031625,1.019285,1.031235,-1.0,-1.0,-1
2016-09-07,1.03121,1.034155,1.029905,1.031025,-1.0,-1.0,-1
2016-09-08,1.031075,1.03634,1.026915,1.028195,-1.0,-1.0,-1
2016-09-09,1.028195,1.029825,1.021995,1.025055,-1.0,-1.0,-1
2016-09-12,1.02561,1.03194,1.024245,1.02884,-1.0,-1.0,-1
2016-09-13,1.029,1.030175,1.022005,1.024205,-1.0,-1.0,-1
2016-09-14,1.023405,1.030245,1.021445,1.02739,-1.0,-1.0,-1
2016-09-15,1.027495,1.031545,1.023765,1.02897,-1.0,-1.0,-1
2016-09-16,1.02892,1.02967,1.0185,1.020125,-1.0,-1.0,-1
2016-09-19,1.02038,1.02212,1.018425,1.020235,-1.0,-1.0,-1
2016-09-20,1.02043,1.02435,1.01928,1.02129,-1.0,-1.0,-1
2016-09-21,1.021625,1.02876,1.01891,1.02691,-1.0,-1.0,-1
2016-09-22,1.02699,1.035205,1.02653,1.03228,-1.0,-1.0,-1
2016-09-23,1.03196,1.032545,1.02642,1.03074,-1.0,-1.0,-1
2016-09-26,1.031,1.03506,1.02994,1.03175,-1.0,-1.0,-1
2016-09-27,1.03181,1.035035,1.027855,1.030135,-1.0,-1.0,-1
2016-09-28,1.030435,1.03182,1.02703,1.0298,-1.0,-1.0,-1
2016-09-29,1.029845,1.037345,1.0284,1.03511,-1.0,-1.0,-1
2016-09-30,1.035325,1.036495,1.02448,1.02946,-1.0,-1.0,-1
2016-10-03,1.0292,1.031075,1.026205,1.027105,-1.0,-1.0,-1
2016-10-04,1.02735,1.027825,1.01739,1.0215,-1.0,-1.0,-1
2016-10-05,1.02138,1.02738,1.021185,1.026495,-1.0,-1.0,-1
2016-10-06,1.02628,1.027065,1.018435,1.01955,-1.0,-1.0,-1
2016-10-07,1.01937,1.02382,1.01627,1.022995,-1.0,-1.0,-1
2016-10-10,1.022585,1.023295,1.01633,1.017835,-1.0,-1.0,-1
2016-10-11,1.017645,1.018195,1.010755,1.011375,-1.0,-1.0,-1
2016-10-12,1.01129,1.01271,1.0091,1.00935,-1.0,-1.0,-1
2016-10-13,1.00964,1.014255,1.009115,1.013985,-1.0,-1.0,-1
2016-10-14,1.013945,1.014625,1.009295,1.009705,-1.0,-1.0,-1
2016-10-17,1.009465,1.013005,1.00942,1.01104,-1.0,-1.0,-1
2016-10-18,1.011295,1.01349,1.00861,1.01028,-1.0,-1.0,-1
2016-10-19,1.01023,1.012645,1.00953,1.01103,-1.0,-1.0,-1
2016-10-20,1.010705,1.01598,1.00671,1.007355,-1.0,-1.0,-1
2016-10-21,1.00743,1.007665,1.0038,1.00652,-1.0,-1.0,-1
2016-10-24,1.005815,1.00851,1.00433,1.00641,-1.0,-1.0,-1
2016-10-25,1.00642,1.00677,1.000095,1.005715,-1.0,-1.0,-1
2016-10-26,1.005675,1.00977,1.004115,1.006595,-1.0,-1.0,-1
2016-10-27,1.006555,1.00888,1.0049,1.0064,-1.0,-1.0,-1
2016-10-28,1.006375,1.01437,1.004965,1.013415,-1.0,-1.0,-1
2016-10-31,1.012945,1.013145,1.009335,1.01095,-1.0,-1.0,-1
2016-11-01,1.01125,1.02791,1.01023,1.025285,-1.0,-1.0,-1
2016-11-02,1.025405,1.03144,1.02518,1.027515,-1.0,-1.0,-1
2016-11-03,1.02749,1.03141,1.024555,1.02676,-1.0,-1.0,-1
2016-11-04,1.02672,1.03296,1.0248,1.032565,-1.0,-1.0,-1
2016-11-07,1.025985,1.027755,1.02149,1.02644,-1.0,-1.0,-1
2016-11-08,1.02628,1.02718,1.021475,1.022525,-1.0,-1.0,-1
2016-11-09,1.02169,1.04715,1.015415,1.015785,-1.0,-1.0,-1
2016-11-10,1.015945,1.01824,1.01041,1.013415,-1.0,-1.0,-1
2016-11-11,1.01313,1.01706,1.0108,1.01206,-1.0,-1.0,-1
2016-11-14,1.010875,1.011685,0.99978,1.001875,-1.0,-1.0,-1
2016-11-15,1.002305,1.00712,0.99754,0.99823,-1.0,-1.0,-1
2016-11-16,0.998535,1.001645,0.994205,0.998115,-1.0,-1.0,-1
2016-11-17,0.997565,1.000545,0.992665,0.992895,-1.0,-1.0,-1
2016-11-18,0.99278,0.99402,0.987795,0.99003,-1.0,-1.0,-1
2016-11-21,0.98988,0.992565,0.988425,0.991265,-1.0,-1.0,-1
2016-11-22,0.9914,0.99324,0.98672,0.988805,-1.0,-1.0,-1
2016-11-23,0.989005,0.99088,0.98208,0.983455,-1.0,-1.0,-1
2016-11-24,0.98339,0.985675,0.98116,0.98409,-1.0,-1.0,-1
2016-11-25,0.983525,0.98961,0.981705,0.987415,-1.0,-1.0,-1
2016-11-28,0.98699,0.99213,0.983455,0.98705,-1.0,-1.0,-1
2016-11-29,0.98675,0.98905,0.98264,0.98833,-1.0,-1.0,-1
2016-11-30,0.98865,0.9894,0.97988,0.982795,-1.0,-1.0,-1
2016-12-01,0.983535,0.99018,0.98277,0.989375,-1.0,-1.0,-1
2016-12-02,0.98982,0.993045,0.98787,0.9896,-1.0,-1.0,-1
2016-12-05,0.987135,0.995,0.98206,0.99349,-1.0,-1.0,-1
2016-12-06,0.993175,0.99505,0.98859,0.98978,-1.0,-1.0,-1
2016-12-07,0.990185,0.99345,0.989125,0.99253,-1.0,-1.0,-1
2016-12-08,0.992755,0.997935,0.982485,0.983915,-1.0,-1.0,-1
2016-12-09,0.983795,0.984885,0.97906,0.98325,-1.0,-1.0,-1
2016-12-12,0.98247,0.98772,0.98048,0.98674,-1.0,-1.0,-1
2016-12-13,0.98694,0.990035,0.98557,0.98806,-1.0,-1.0,-1
2016-12-14,0.987995,0.991705,0.978125,0.98003,-1.0,-1.0,-1
2016-12-15,0.979925,0.980605,0.966755,0.970855,-1.0,-1.0,-1
2016-12-16,0.97092,0.97642,0.96975,0.974125,-1.0,-1.0,-1
2016-12-19,0.97436,0.97835,0.97247,0.973405,-1.0,-1.0,-1
2016-12-20,0.972805,0.974635,0.968945,0.97208,-1.0,-1.0,-1
2016-12-21,0.971985,0.977795,0.97127,0.97389,-1.0,-1.0,-1
2016-12-22,0.97366,0.97865,0.973535,0.97495,-1.0,-1.0,-1
2016-12-23,0.974945,0.976265,0.972635,0.973015,-1.0,-1.0,-1
2016-12-27,0.973645,0.973975,0.97102,0.97272,-1.0,-1.0,-1
2016-12-28,0.97266,0.97425,0.968855,0.972475,-1.0,-1.0,-1
2016-12-29,0.9723,0.97967,0.97222,0.97766,-1.0,-1.0,-1
2016-12-30,0.97752,0.99447,0.9773,0.981945,-1.0,-1.0,-1
2017-01-02,0.98094,0.981915,0.976675,0.977285,-1.0,-1.0,-1
2017-01-03,0.976485,0.97933,0.96755,0.973315,-1.0,-1.0,-1
2017-01-04,0.973185,0.980285,0.971695,0.97956,-1.0,-1.0,-1
2017-01-05,0.978645,0.99137,0.978365,0.990335,-1.0,-1.0,-1
2017-01-06,0.990445,0.990685,0.98186,0.98219,-1.0,-1.0,-1
2017-01-09,0.982925,0.986015,0.980615,0.985035,-1.0,-1.0,-1
2017-01-10,0.98556,0.98904,0.98249,0.98325,-1.0,-1.0,-1
2017-01-11,0.98345,0.98994,0.975765,0.986165,-1.0,-1.0,-1
2017-01-12,0.986145,0.99441,0.985255,0.989385,-1.0,-1.0,-1
2017-01-13,0.98927,0.99568,0.98797,0.991565,-1.0,-1.0,-1
2017-01-16,0.990345,0.99101,0.986515,0.98849,-1.0,-1.0,-1
2017-01-17,0.98866,1.00038,0.98848,0.998425,-1.0,-1.0,-1
2017-01-18,0.99829,0.999095,0.992495,0.992705,-1.0,-1.0,-1
2017-01-19,0.99257,0.995845,0.987905,0.993795,-1.0,-1.0,-1
2017-01-20,0.993935,0.998595,0.99067,0.99811,-1.0,-1.0,-1
2017-01-23,0.99767,1.003755,0.99753,1.00343,-1.0,-1.0,-1
2017-01-24,1.003285,1.004015,0.998055,0.99901,-1.0,-1.0,-1
2017-01-25,0.99907,1.003385,0.997385,1.00055,-1.0,-1.0,-1
2017-01-26,1.00093,1.003175,0.99737,1.000095,-1.0,-1.0,-1
2017-01-27,1.00009,1.003035,0.99721,0.99994,-1.0,-1.0,-1
2017-01-30,1.002465,1.00672,0.99553,1.00476,-1.0,-1.0,-1
2017-01-31,1.004825,1.01405,1.003375,1.010955,-1.0,-1.0,-1
2017-02-01,1.01044,1.011755,1.004325,1.00693,-1.0,-1.0,-1
2017-02-02,1.007225,1.01319,1.00622,1.00738,-1.0,-1.0,-1
2017-02-03,1.007345,1.009385,1.00125,1.007235,-1.0,-1.0,-1
2017-02-06,1.008125,1.009705,1.003835,1.00912,-1.0,-1.0,-1
2017-02-07,1.00887,1.009465,0.9993,1.00228,-1.0,-1.0,-1
2017-02-08,1.002255,1.007025,1.000005,1.005385,-1.0,-1.0,-1
2017-02-09,1.00492,1.00638,0.99808,0.998345,-1.0,-1.0,-1
2017-02-10,0.998755,0.999,0.99381,0.99761,-1.0,-1.0,-1
2017-02-13,0.99683,0.9981,0.9931,0.99438,-1.0,-1.0,-1
2017-02-14,0.99424,0.996915,0.991585,0.99386,-1.0,-1.0,-1
2017-02-15,0.993745,0.995245,0.98824,0.9946,-1.0,-1.0,-1
2017-02-16,0.994755,1.003335,0.994065,1.00294,-1.0,-1.0,-1
2017-02-17,1.00286,1.00316,0.996635,0.997305,-1.0,-1.0,-1
2017-02-20,0.997375,0.998825,0.995555,0.99714,-1.0,-1.0,-1
2017-02-21,0.99714,0.99735,0.989555,0.99047,-1.0,-1.0,-1
2017-02-22,0.990155,0.992275,0.9861,0.989755,-1.0,-1.0,-1
2017-02-23,0.989865,0.994615,0.988485,0.99374,-1.0,-1.0,-1
2017-02-24,0.993625,0.99747,0.99199,0.992395,-1.0,-1.0,-1
2017-02-27,0.99232,0.99541,0.99025,0.99106,-1.0,-1.0,-1
2017-02-28,0.991,0.999075,0.989915,0.99418,-1.0,-1.0,-1
2017-03-01,0.99404,0.994735,0.98722,0.991185,-1.0,-1.0,-1
2017-03-02,0.991325,0.991555,0.985575,0.986835,-1.0,-1.0,-1
2017-03-03,0.98692,0.9928,0.986405,0.99194,-1.0,-1.0,-1
2017-03-06,0.990895,0.992755,0.98719,0.988015,-1.0,-1.0,-1
2017-03-07,0.987605,0.989385,0.98321,0.986955,-1.0,-1.0,-1
2017-03-08,0.987025,0.987845,0.98477,0.985495,-1.0,-1.0,-1
2017-03-09,0.985475,0.990865,0.98414,0.98776,-1.0,-1.0,-1
2017-03-10,0.988335,0.992205,0.98599,0.989175,-1.0,-1.0,-1
2017-03-13,0.98994,0.99399,0.988425,0.992845,-1.0,-1.0,-1
2017-03-14,0.99273,0.993115,0.989295,0.9899,-1.0,-1.0,-1
2017-03-15,0.98957,1.0014,0.989535,0.99979,-1.0,-1.0,-1
