date,open,high,low,close,volume,average,barCount
2005-03-09,1.334,1.3424,1.3335,1.3394,-1.0,-1.0,-1
2005-03-10,1.3374,1.3457,1.3373,1.342,-1.0,-1.0,-1
2005-03-11,1.3423,1.3577,1.3395,1.3459,-1.0,-1.0,-1
2005-03-14,1.3476,1.3478,1.3337,1.3371,-1.0,-1.0,-1
2005-03-15,1.3359,1.3412,1.3298,1.3306,-1.0,-1.0,-1
2005-03-16,1.3307,1.344,1.3293,1.3418,-1.0,-1.0,-1
2005-03-17,1.3418,1.342,1.3343,1.3379,-1.0,-1.0,-1
2005-03-18,1.338,1.3387,1.3266,1.3325,-1.0,-1.0,-1
2005-03-21,1.331,1.3318,1.3141,1.3159,-1.0,-1.0,-1
2005-03-22,1.3167,1.3228,1.3055,1.3089,-1.0,-1.0,-1
2005-03-23,1.3086,1.3088,1.2962,1.2988,-1.0,-1.0,-1
2005-03-24,1.2991,1.3034,1.2934,1.2941,-1.0,-1.0,-1
2005-03-25,1.2943,1.3,1.293,1.3,-1.0,-1.0,-1
2005-03-28,1.2959,1.2959,1.2858,1.2899,-1.0,-1.0,-1
2005-03-29,1.2895,1.2957,1.2878,1.2923,-1.0,-1.0,-1
2005-03-30,1.2938,1.2986,1.2913,1.2916,-1.0,-1.0,-1
2005-03-31,1.2914,1.302,1.2914,1.2964,-1.0,-1.0,-1
2005-04-01,1.2967,1.3059,1.2872,1.2915,-1.0,-1.0,-1
2005-04-04,1.2886,1.2906,1.2819,1.2849,-1.0,-1.0,-1
2005-04-05,1.2856,1.2879,1.2802,1.287,-1.0,-1.0,-1
2005-04-06,1.2854,1.2911,1.2841,1.2873,-1.0,-1.0,-1
2005-04-07,1.2874,1.294,1.2847,1.2858,-1.0,-1.0,-1
2005-04-08,1.2851,1.2999,1.281,1.2999,-1.0,-1.0,-1
2005-04-11,1.293,1.3005,1.2909,1.2974,-1.0,-1.0,-1
2005-04-12,1.2974,1.302,1.2864,1.2926,-1.0,-1.0,-1
2005-04-13,1.2919,1.2956,1.2851,1.2915,-1.0,-1.0,-1
2005-04-14,1.2921,1.2923,1.2768,1.2813,-1.0,-1.0,-1
