date,open,high,low,close,volume,average,barCount
2005-03-09 07:00:00-05:00,1.334,1.3376,1.3335,1.3361,-1.0,-1.0,-1
2005-03-09 11:00:00-05:00,1.3361,1.3424,1.336,1.3401,-1.0,-1.0,-1
2005-03-09 15:00:00-05:00,1.3401,1.341,1.3384,1.3394,-1.0,-1.0,-1
2005-03-09 19:00:00-05:00,1.3374,1.3457,1.3373,1.3431,-1.0,-1.0,-1
2005-03-09 23:00:00-05:00,1.3431,1.3455,1.3417,1.3443,-1.0,-1.0,-1
2005-03-10 03:00:00-05:00,1.3443,1.3451,1.3401,1.3419,-1.0,-1.0,-1
2005-03-10 07:00:00-05:00,1.3419,1.3435,1.3399,1.341,-1.0,-1.0,-1
2005-03-10 11:00:00-05:00,1.341,1.3451,1.3402,1.3427,-1.0,-1.0,-1
2005-03-10 15:00:00-05:00,1.3427,1.3435,1.3417,1.342,-1.0,-1.0,-1
2005-03-10 19:00:00-05:00,1.3423,1.3435,1.3419,1.3428,-1.0,-1.0,-1
2005-03-10 23:00:00-05:00,1.3428,1.3435,1.342,1.3427,-1.0,-1.0,-1
2005-03-11 03:00:00-05:00,1.3427,1.3434,1.3403,1.3411,-1.0,-1.0,-1
2005-03-11 07:00:00-05:00,1.3411,1.3577,1.3395,1.3462,-1.0,-1.0,-1
2005-03-11 11:00:00-05:00,1.3462,1.348,1.3454,1.346,-1.0,-1.0,-1
2005-03-11 15:00:00-05:00,1.346,1.3462,1.3449,1.3459,-1.0,-1.0,-1
2005-03-13 19:00:00-05:00,1.3476,1.3478,1.3445,1.3453,-1.0,-1.0,-1
2005-03-13 23:00:00-05:00,1.3453,1.3457,1.3418,1.3422,-1.0,-1.0,-1
2005-03-14 03:00:00-05:00,1.3422,1.3425,1.3395,1.3405,-1.0,-1.0,-1
2005-03-14 07:00:00-05:00,1.3405,1.3414,1.3366,1.3373,-1.0,-1.0,-1
2005-03-14 11:00:00-05:00,1.3373,1.3379,1.3337,1.3368,-1.0,-1.0,-1
2005-03-14 15:00:00-05:00,1.3368,1.3374,1.3367,1.3371,-1.0,-1.0,-1
2005-03-14 19:00:00-05:00,1.3359,1.3368,1.335,1.3365,-1.0,-1.0,-1
2005-03-14 23:00:00-05:00,1.3365,1.3371,1.3344,1.3347,-1.0,-1.0,-1
2005-03-15 03:00:00-05:00,1.3347,1.3395,1.3347,1.3383,-1.0,-1.0,-1
2005-03-15 07:00:00-05:00,1.3383,1.3412,1.3308,1.3313,-1.0,-1.0,-1
2005-03-15 11:00:00-05:00,1.3313,1.3324,1.3298,1.3318,-1.0,-1.0,-1
2005-03-15 15:00:00-05:00,1.3318,1.3319,1.3304,1.3306,-1.0,-1.0,-1
2005-03-15 19:00:00-05:00,1.3307,1.3317,1.3293,1.33,-1.0,-1.0,-1
2005-03-15 23:00:00-05:00,1.33,1.3356,1.33,1.335,-1.0,-1.0,-1
2005-03-16 03:00:00-05:00,1.335,1.3392,1.3343,1.338,-1.0,-1.0,-1
2005-03-16 07:00:00-05:00,1.338,1.344,1.3372,1.3432,-1.0,-1.0,-1
2005-03-16 11:00:00-05:00,1.3432,1.3435,1.34,1.3414,-1.0,-1.0,-1
2005-03-16 15:00:00-05:00,1.3414,1.3422,1.3413,1.3418,-1.0,-1.0,-1
2005-03-16 17:15:00-05:00,1.3418,1.3419,1.3412,1.3413,-1.0,-1.0,-1
2005-03-16 19:00:00-05:00,1.3413,1.3419,1.3399,1.3403,-1.0,-1.0,-1
2005-03-16 23:00:00-05:00,1.3403,1.342,1.339,1.3397,-1.0,-1.0,-1
2005-03-17 03:00:00-05:00,1.3397,1.3408,1.3369,1.3385,-1.0,-1.0,-1
2005-03-17 07:00:00-05:00,1.3385,1.3398,1.3343,1.3381,-1.0,-1.0,-1
2005-03-17 11:00:00-05:00,1.3381,1.3396,1.3357,1.3372,-1.0,-1.0,-1
2005-03-17 15:00:00-05:00,1.3372,1.3382,1.337,1.3379,-1.0,-1.0,-1
2005-03-17 17:15:00-05:00,1.3383,1.3383,1.3375,1.338,-1.0,-1.0,-1
2005-03-17 19:00:00-05:00,1.338,1.3387,1.3369,1.3377,-1.0,-1.0,-1
2005-03-17 23:00:00-05:00,1.3377,1.3378,1.3347,1.3354,-1.0,-1.0,-1
2005-03-18 03:00:00-05:00,1.3354,1.3358,1.3307,1.3312,-1.0,-1.0,-1
2005-03-18 07:00:00-05:00,1.3312,1.3315,1.3266,1.3289,-1.0,-1.0,-1
2005-03-18 11:00:00-05:00,1.3289,1.3325,1.328,1.3312,-1.0,-1.0,-1
2005-03-18 15:00:00-05:00,1.3312,1.3325,1.3311,1.3325,-1.0,-1.0,-1
2005-03-20 17:15:00-05:00,1.3312,1.3318,1.3309,1.3317,-1.0,-1.0,-1
2005-03-20 19:00:00-05:00,1.3317,1.3318,1.3251,1.3257,-1.0,-1.0,-1
