date,open,high,low,close,volume,average,barCount
2005-03-09,1.3337,1.3422,1.3333,1.3392,-1.0,-1.0,-1
2005-03-10,1.3372,1.3455,1.3371,1.3418,-1.0,-1.0,-1
2005-03-11,1.3421,1.3478,1.3322,1.3457,-1.0,-1.0,-1
2005-03-14,1.3474,1.3476,1.3335,1.3369,-1.0,-1.0,-1
2005-03-15,1.3357,1.341,1.3296,1.3304,-1.0,-1.0,-1
2005-03-16,1.3305,1.3438,1.3291,1.3416,-1.0,-1.0,-1
2005-03-17,1.3416,1.3418,1.3341,1.3377,-1.0,-1.0,-1
2005-03-18,1.3378,1.3385,1.3264,1.3324,-1.0,-1.0,-1
2005-03-21,1.3306,1.3317,1.3139,1.3156,-1.0,-1.0,-1
2005-03-22,1.3165,1.3224,1.3053,1.3085,-1.0,-1.0,-1
2005-03-23,1.3084,1.3086,1.296,1.2983,-1.0,-1.0,-1
2005-03-24,1.2989,1.3033,1.2933,1.2937,-1.0,-1.0,-1
2005-03-25,1.2941,1.2968,1.2915,1.2915,-1.0,-1.0,-1
2005-03-28,1.2955,1.2956,1.2856,1.2897,-1.0,-1.0,-1
2005-03-29,1.2893,1.2955,1.2876,1.2921,-1.0,-1.0,-1
2005-03-30,1.2936,1.2984,1.291,1.2914,-1.0,-1.0,-1
2005-03-31,1.2912,1.3018,1.2912,1.2963,-1.0,-1.0,-1
2005-04-01,1.2965,1.3056,1.287,1.2912,-1.0,-1.0,-1
2005-04-04,1.2882,1.2904,1.2817,1.2846,-1.0,-1.0,-1
2005-04-05,1.2854,1.2876,1.28,1.2867,-1.0,-1.0,-1
2005-04-06,1.2852,1.2909,1.2839,1.2869,-1.0,-1.0,-1
2005-04-07,1.2872,1.2938,1.2845,1.2855,-1.0,-1.0,-1
2005-04-08,1.2849,1.2933,1.2808,1.2915,-1.0,-1.0,-1
2005-04-11,1.2926,1.3003,1.2907,1.2971,-1.0,-1.0,-1
2005-04-12,1.2972,1.3015,1.2862,1.2919,-1.0,-1.0,-1
2005-04-13,1.2917,1.2954,1.2849,1.2913,-1.0,-1.0,-1
2005-04-14,1.2919,1.2921,1.2766,1.2811,-1.0,-1.0,-1
2005-04-15,1.2798,1.2939,1.2778,1.2925,-1.0,-1.0,-1
2005-04-18,1.2915,1.3044,1.2876,1.3023,-1.0,-1.0,-1
2005-04-19,1.3025,1.3077,1.2981,1.3063,-1.0,-1.0,-1
2005-04-20,1.3056,1.3103,1.2992,1.3085,-1.0,-1.0,-1
2005-04-21,1.3086,1.3124,1.3025,1.3046,-1.0,-1.0,-1
2005-04-22,1.305,1.3093,1.3021,1.3064,-1.0,-1.0,-1
2005-04-25,1.3057,1.3058,1.2954,1.3009,-1.0,-1.0,-1
2005-04-26,1.2987,1.3014,1.2945,1.2985,-1.0,-1.0,-1
2005-04-27,1.2991,1.2992,1.2905,1.293,-1.0,-1.0,-1
2005-04-28,1.2922,1.2943,1.2881,1.2891,-1.0,-1.0,-1
2005-04-29,1.29,1.2979,1.2853,1.287,-1.0,-1.0,-1
2005-05-02,1.2859,1.2873,1.2836,1.2863,-1.0,-1.0,-1
2005-05-03,1.2851,1.2915,1.2829,1.287,-1.0,-1.0,-1
2005-05-04,1.2873,1.2973,1.2869,1.2946,-1.0,-1.0,-1
2005-05-05,1.2953,1.2988,1.2925,1.2956,-1.0,-1.0,-1
2005-05-06,1.2954,1.2963,1.2809,1.2818,-1.0,-1.0,-1
2005-05-09,1.2814,1.2846,1.2789,1.2841,-1.0,-1.0,-1
2005-05-10,1.2861,1.289,1.2815,1.2879,-1.0,-1.0,-1
2005-05-11,1.2876,1.2913,1.2777,1.2815,-1.0,-1.0,-1
2005-05-12,1.2805,1.2815,1.2684,1.2694,-1.0,-1.0,-1
2005-05-13,1.2677,1.2687,1.2609,1.2632,-1.0,-1.0,-1
2005-05-16,1.2607,1.265,1.2394,1.2641,-1.0,-1.0,-1
2005-05-17,1.2633,1.2663,1.2594,1.2605,-1.0,-1.0,-1
2005-05-18,1.2608,1.2689,1.2585,1.2678,-1.0,-1.0,-1
2005-05-19,1.2676,1.269,1.2604,1.2643,-1.0,-1.0,-1
2005-05-20,1.2637,1.2653,1.2535,1.2558,-1.0,-1.0,-1
2005-05-23,1.254,1.2597,1.24,1.2577,-1.0,-1.0,-1
2005-05-24,1.2567,1.2628,1.2557,1.2583,-1.0,-1.0,-1
2005-05-25,1.2575,1.2618,1.2551,1.26,-1.0,-1.0,-1
2005-05-26,1.2601,1.2613,1.2496,1.2512,-1.0,-1.0,-1
2005-05-27,1.2511,1.2588,1.2507,1.2584,-1.0,-1.0,-1
2005-05-30,1.2534,1.2545,1.2465,1.2475,-1.0,-1.0,-1
2005-05-31,1.2475,1.2486,1.2295,1.2302,-1.0,-1.0,-1
2005-06-01,1.2307,1.234,1.2158,1.2178,-1.0,-1.0,-1
2005-06-02,1.2204,1.2297,1.2181,1.2265,-1.0,-1.0,-1
2005-06-03,1.2274,1.2342,1.2204,1.2233,-1.0,-1.0,-1
2005-06-06,1.2225,1.2293,1.2219,1.2258,-1.0,-1.0,-1
2005-06-07,1.2261,1.2314,1.2238,1.2284,-1.0,-1.0,-1
2005-06-08,1.2284,1.2353,1.2205,1.2232,-1.0,-1.0,-1
2005-06-09,1.2235,1.2256,1.2175,1.2228,-1.0,-1.0,-1
2005-06-10,1.2228,1.2248,1.2107,1.2118,-1.0,-1.0,-1
2005-06-13,1.2109,1.212,1.2028,1.2107,-1.0,-1.0,-1
2005-06-14,1.2113,1.2152,1.2022,1.203,-1.0,-1.0,-1
2005-06-15,1.203,1.2132,1.2016,1.2114,-1.0,-1.0,-1
2005-06-16,1.2123,1.2168,1.2056,1.2107,-1.0,-1.0,-1
2005-06-17,1.2103,1.2288,1.2091,1.2285,-1.0,-1.0,-1
2005-06-20,1.2186,1.2239,1.2124,1.2154,-1.0,-1.0,-1
2005-06-21,1.2154,1.2186,1.207,1.2182,-1.0,-1.0,-1
2005-06-22,1.2174,1.2205,1.2097,1.2127,-1.0,-1.0,-1
2005-06-23,1.2129,1.2144,1.2017,1.2038,-1.0,-1.0,-1
2005-06-24,1.203,1.2107,1.1982,1.2089,-1.0,-1.0,-1
2005-06-27,1.2096,1.2185,1.2094,1.2162,-1.0,-1.0,-1
2005-06-28,1.217,1.2174,1.205,1.2051,-1.0,-1.0,-1
2005-06-29,1.2066,1.2112,1.2015,1.2068,-1.0,-1.0,-1
2005-06-30,1.2069,1.2121,1.2043,1.2106,-1.0,-1.0,-1
2005-07-01,1.2087,1.2105,1.1939,1.1958,-1.0,-1.0,-1
2005-07-04,1.193,1.1949,1.1888,1.19,-1.0,-1.0,-1
2005-07-05,1.1897,1.1939,1.1868,1.191,-1.0,-1.0,-1
2005-07-06,1.1918,1.1953,1.1892,1.1932,-1.0,-1.0,-1
2005-07-07,1.1933,1.2038,1.1908,1.1951,-1.0,-1.0,-1
2005-07-08,1.1951,1.1987,1.1873,1.1965,-1.0,-1.0,-1
2005-07-11,1.1966,1.2085,1.1956,1.2071,-1.0,-1.0,-1
2005-07-12,1.2073,1.2255,1.2052,1.2241,-1.0,-1.0,-1
2005-07-13,1.2238,1.2239,1.2071,1.2093,-1.0,-1.0,-1
2005-07-14,1.2082,1.2124,1.2056,1.2083,-1.0,-1.0,-1
2005-07-15,1.2083,1.2136,1.2021,1.2034,-1.0,-1.0,-1
2005-07-18,1.2022,1.2089,1.2022,1.205,-1.0,-1.0,-1
2005-07-19,1.205,1.2066,1.1953,1.2033,-1.0,-1.0,-1
2005-07-20,1.2028,1.2186,1.1996,1.2139,-1.0,-1.0,-1
2005-07-21,1.215,1.2253,1.2098,1.2171,-1.0,-1.0,-1
2005-07-22,1.2162,1.2189,1.2054,1.2064,-1.0,-1.0,-1
2005-07-25,1.2045,1.2087,1.1954,1.206,-1.0,-1.0,-1
2005-07-26,1.2067,1.2069,1.1981,1.2013,-1.0,-1.0,-1
2005-07-27,1.2021,1.2084,1.1964,1.2065,-1.0,-1.0,-1
2005-07-28,1.2061,1.2148,1.2036,1.2138,-1.0,-1.0,-1
2005-07-29,1.2126,1.2159,1.2075,1.2121,-1.0,-1.0,-1
2005-08-01,1.2123,1.225,1.21,1.2179,-1.0,-1.0,-1
2005-08-02,1.2174,1.2254,1.2172,1.2189,-1.0,-1.0,-1
2005-08-03,1.2195,1.2344,1.2148,1.2336,-1.0,-1.0,-1
2005-08-04,1.2332,1.2402,1.2299,1.2383,-1.0,-1.0,-1
2005-08-05,1.2385,1.2395,1.2311,1.2358,-1.0,-1.0,-1
2005-08-08,1.2335,1.2389,1.2315,1.2351,-1.0,-1.0,-1
2005-08-09,1.2347,1.2415,1.233,1.237,-1.0,-1.0,-1
2005-08-10,1.2376,1.2426,1.2335,1.238,-1.0,-1.0,-1
2005-08-11,1.2389,1.2475,1.2377,1.247,-1.0,-1.0,-1
2005-08-12,1.2468,1.2486,1.2382,1.2441,-1.0,-1.0,-1
2005-08-15,1.2454,1.2456,1.2345,1.2367,-1.0,-1.0,-1
2005-08-16,1.2366,1.2373,1.2295,1.2363,-1.0,-1.0,-1
2005-08-17,1.2353,1.2369,1.2261,1.227,-1.0,-1.0,-1
2005-08-18,1.2274,1.2294,1.2158,1.2174,-1.0,-1.0,-1
2005-08-19,1.2174,1.2194,1.2125,1.2152,-1.0,-1.0,-1
2005-08-22,1.2164,1.2243,1.2156,1.2228,-1.0,-1.0,-1
2005-08-23,1.2224,1.2255,1.219,1.2235,-1.0,-1.0,-1
2005-08-24,1.2229,1.2279,1.2161,1.2271,-1.0,-1.0,-1
2005-08-25,1.2264,1.2327,1.2256,1.23,-1.0,-1.0,-1
2005-08-26,1.2296,1.2342,1.2271,1.2288,-1.0,-1.0,-1
2005-08-29,1.2292,1.2345,1.2216,1.2233,-1.0,-1.0,-1
2005-08-30,1.2222,1.2238,1.217,1.222,-1.0,-1.0,-1
2005-08-31,1.2221,1.2357,1.2188,1.2346,-1.0,-1.0,-1
2005-09-01,1.2342,1.2526,1.2327,1.2502,-1.0,-1.0,-1
2005-09-02,1.2502,1.2589,1.2466,1.253,-1.0,-1.0,-1
2005-09-05,1.2534,1.2584,1.2513,1.2541,-1.0,-1.0,-1
2005-09-06,1.2541,1.2543,1.2443,1.2465,-1.0,-1.0,-1
2005-09-07,1.2458,1.2537,1.2406,1.2415,-1.0,-1.0,-1
2005-09-08,1.2416,1.2452,1.2382,1.2397,-1.0,-1.0,-1
2005-09-09,1.24,1.2458,1.2375,1.2408,-1.0,-1.0,-1
2005-09-12,1.2403,1.2415,1.2271,1.2287,-1.0,-1.0,-1
2005-09-13,1.228,1.2317,1.2245,1.2265,-1.0,-1.0,-1
2005-09-14,1.2257,1.2331,1.2257,1.2284,-1.0,-1.0,-1
2005-09-15,1.2284,1.2284,1.2193,1.2223,-1.0,-1.0,-1
2005-09-16,1.2221,1.2309,1.2199,1.2236,-1.0,-1.0,-1
2005-09-19,1.2151,1.2174,1.21,1.214,-1.0,-1.0,-1
2005-09-20,1.2137,1.2189,1.211,1.2114,-1.0,-1.0,-1
2005-09-21,1.2116,1.2239,1.2111,1.2213,-1.0,-1.0,-1
2005-09-22,1.2216,1.2269,1.2132,1.2153,-1.0,-1.0,-1
2005-09-23,1.2146,1.2169,1.2038,1.2038,-1.0,-1.0,-1
2005-09-26,1.2023,1.208,1.201,1.2071,-1.0,-1.0,-1
2005-09-27,1.2078,1.2082,1.1978,1.2012,-1.0,-1.0,-1
2005-09-28,1.2009,1.2055,1.1992,1.2036,-1.0,-1.0,-1
2005-09-29,1.2043,1.2076,1.2006,1.2031,-1.0,-1.0,-1
2005-09-30,1.2034,1.209,1.1997,1.2026,-1.0,-1.0,-1
2005-10-03,1.2014,1.2032,1.1901,1.1918,-1.0,-1.0,-1
2005-10-04,1.1918,1.1949,1.19,1.1916,-1.0,-1.0,-1
2005-10-05,1.1919,1.1988,1.1914,1.1973,-1.0,-1.0,-1
2005-10-06,1.1977,1.2203,1.1976,1.2177,-1.0,-1.0,-1
2005-10-07,1.2173,1.2186,1.2091,1.2125,-1.0,-1.0,-1
2005-10-10,1.212,1.2153,1.204,1.2066,-1.0,-1.0,-1
2005-10-11,1.2066,1.207,1.1975,1.1992,-1.0,-1.0,-1
2005-10-12,1.1995,1.2053,1.1952,1.2023,-1.0,-1.0,-1
2005-10-13,1.2024,1.2039,1.1913,1.2025,-1.0,-1.0,-1
2005-10-14,1.2006,1.2108,1.1977,1.2074,-1.0,-1.0,-1
2005-10-17,1.2073,1.2121,1.2011,1.2023,-1.0,-1.0,-1
2005-10-18,1.2024,1.2025,1.1915,1.1958,-1.0,-1.0,-1
2005-10-19,1.1962,1.2003,1.1875,1.1991,-1.0,-1.0,-1
2005-10-20,1.1996,1.2025,1.1936,1.2022,-1.0,-1.0,-1
2005-10-21,1.202,1.2078,1.1928,1.1952,-1.0,-1.0,-1
2005-10-24,1.1942,1.2021,1.1922,1.1985,-1.0,-1.0,-1
2005-10-25,1.1986,1.2117,1.1935,1.2106,-1.0,-1.0,-1
2005-10-26,1.2114,1.2136,1.2048,1.2068,-1.0,-1.0,-1
2005-10-27,1.2065,1.2173,1.2042,1.214,-1.0,-1.0,-1
2005-10-28,1.2136,1.217,1.2049,1.2066,-1.0,-1.0,-1
2005-10-31,1.2053,1.2089,1.1967,1.1991,-1.0,-1.0,-1
2005-11-01,1.1984,1.2031,1.1972,1.2018,-1.0,-1.0,-1
2005-11-02,1.2031,1.2084,1.1987,1.2073,-1.0,-1.0,-1
2005-11-03,1.2074,1.2082,1.1935,1.1944,-1.0,-1.0,-1
2005-11-04,1.1946,1.1993,1.1802,1.1809,-1.0,-1.0,-1
2005-11-07,1.1805,1.1831,1.1775,1.1803,-1.0,-1.0,-1
2005-11-08,1.1797,1.1798,1.1708,1.178,-1.0,-1.0,-1
2005-11-09,1.178,1.1788,1.1716,1.1763,-1.0,-1.0,-1
