date,open,high,low,close,volume,average,barCount
2005-03-09 07:00:00-05:00,1.3337,1.3374,1.3333,1.3359,-1.0,-1.0,-1
2005-03-09 11:00:00-05:00,1.3359,1.3422,1.3358,1.3399,-1.0,-1.0,-1
2005-03-09 15:00:00-05:00,1.3399,1.3408,1.3382,1.3392,-1.0,-1.0,-1
2005-03-09 19:00:00-05:00,1.3372,1.3455,1.3371,1.3428,-1.0,-1.0,-1
2005-03-09 23:00:00-05:00,1.3428,1.3453,1.3415,1.3441,-1.0,-1.0,-1
2005-03-10 03:00:00-05:00,1.3441,1.3449,1.3399,1.3417,-1.0,-1.0,-1
2005-03-10 07:00:00-05:00,1.3417,1.3433,1.3397,1.3408,-1.0,-1.0,-1
2005-03-10 11:00:00-05:00,1.3408,1.3449,1.34,1.3425,-1.0,-1.0,-1
2005-03-10 15:00:00-05:00,1.3425,1.3433,1.3415,1.3418,-1.0,-1.0,-1
2005-03-10 19:00:00-05:00,1.3421,1.3433,1.3417,1.3426,-1.0,-1.0,-1
2005-03-10 23:00:00-05:00,1.3426,1.3433,1.3418,1.3425,-1.0,-1.0,-1
2005-03-11 03:00:00-05:00,1.3425,1.3432,1.3401,1.3409,-1.0,-1.0,-1
2005-03-11 07:00:00-05:00,1.3409,1.3477,1.3322,1.346,-1.0,-1.0,-1
2005-03-11 11:00:00-05:00,1.346,1.3478,1.3452,1.3458,-1.0,-1.0,-1
2005-03-11 15:00:00-05:00,1.3458,1.346,1.3447,1.3457,-1.0,-1.0,-1
2005-03-13 19:00:00-05:00,1.3474,1.3476,1.3443,1.3451,-1.0,-1.0,-1
2005-03-13 23:00:00-05:00,1.3451,1.3455,1.3416,1.342,-1.0,-1.0,-1
2005-03-14 03:00:00-05:00,1.342,1.3423,1.3393,1.3403,-1.0,-1.0,-1
2005-03-14 07:00:00-05:00,1.3403,1.3412,1.3364,1.3371,-1.0,-1.0,-1
2005-03-14 11:00:00-05:00,1.3371,1.3377,1.3335,1.3366,-1.0,-1.0,-1
2005-03-14 15:00:00-05:00,1.3366,1.3372,1.3366,1.3369,-1.0,-1.0,-1
2005-03-14 19:00:00-05:00,1.3357,1.3366,1.3348,1.3363,-1.0,-1.0,-1
2005-03-14 23:00:00-05:00,1.3363,1.3369,1.3342,1.3345,-1.0,-1.0,-1
2005-03-15 03:00:00-05:00,1.3345,1.3394,1.3345,1.3381,-1.0,-1.0,-1
2005-03-15 07:00:00-05:00,1.3381,1.341,1.3306,1.3311,-1.0,-1.0,-1
2005-03-15 11:00:00-05:00,1.3311,1.3322,1.3296,1.3316,-1.0,-1.0,-1
