date,open,high,low,close,volume,average,barCount
2005-03-09,1.9209,1.9293,1.9201,1.9256,-1.0,-1.0,-1
2005-03-10,1.9222,1.9308,1.9207,1.9229,-1.0,-1.0,-1
2005-03-11,1.9224,1.9285,1.9166,1.9261,-1.0,-1.0,-1
2005-03-14,1.927,1.9273,1.9101,1.914,-1.0,-1.0,-1
2005-03-15,1.9132,1.9258,1.9114,1.9131,-1.0,-1.0,-1
2005-03-16,1.9129,1.9295,1.9114,1.9264,-1.0,-1.0,-1
2005-03-17,1.9275,1.9287,1.9185,1.9255,-1.0,-1.0,-1
2005-03-18,1.9252,1.9254,1.9126,1.9221,-1.0,-1.0,-1
2005-03-21,1.9201,1.9203,1.8947,1.8968,-1.0,-1.0,-1
2005-03-22,1.897,1.9026,1.88,1.8863,-1.0,-1.0,-1
2005-03-23,1.8861,1.8887,1.8663,1.8694,-1.0,-1.0,-1
2005-03-24,1.8695,1.8743,1.8673,1.8693,-1.0,-1.0,-1
2005-03-25,1.8695,1.935,1.8678,1.935,-1.0,-1.0,-1
2005-03-28,1.8705,1.8705,1.8596,1.867,-1.0,-1.0,-1
2005-03-29,1.8663,1.8769,1.8652,1.8742,-1.0,-1.0,-1
2005-03-30,1.8756,1.8851,1.8742,1.8786,-1.0,-1.0,-1
2005-03-31,1.8769,1.892,1.8756,1.8907,-1.0,-1.0,-1
2005-04-01,1.8895,1.8983,1.8762,1.8836,-1.0,-1.0,-1
2005-04-04,1.8785,1.8809,1.8711,1.8759,-1.0,-1.0,-1
2005-04-05,1.8765,1.882,1.8721,1.8819,-1.0,-1.0,-1
2005-04-06,1.8799,1.8848,1.8752,1.8811,-1.0,-1.0,-1
2005-04-07,1.8811,1.8862,1.8683,1.8699,-1.0,-1.0,-1
2005-04-08,1.8708,1.8859,1.8674,1.8859,-1.0,-1.0,-1
2005-04-11,1.8855,1.8936,1.8816,1.8913,-1.0,-1.0,-1
2005-04-12,1.891,1.8981,1.8831,1.8923,-1.0,-1.0,-1
2005-04-13,1.8921,1.896,1.8875,1.8946,-1.0,-1.0,-1
2005-04-14,1.8947,1.8951,1.8761,1.8817,-1.0,-1.0,-1
2005-04-15,1.8801,1.8951,1.8773,1.8928,-1.0,-1.0,-1
2005-04-18,1.894,1.9059,1.8887,1.9039,-1.0,-1.0,-1
2005-04-19,1.9044,1.9205,1.9003,1.9185,-1.0,-1.0,-1
2005-04-20,1.917,1.922,1.9099,1.9194,-1.0,-1.0,-1
2005-04-21,1.9199,1.9219,1.9065,1.9087,-1.0,-1.0,-1
2005-04-22,1.9077,1.9171,1.9057,1.9146,-1.0,-1.0,-1
2005-04-25,1.9172,1.9176,1.9081,1.9112,-1.0,-1.0,-1
2005-04-26,1.9114,1.9135,1.9023,1.9061,-1.0,-1.0,-1
2005-04-27,1.9059,1.9096,1.8991,1.906,-1.0,-1.0,-1
2005-04-28,1.9039,1.9107,1.9017,1.906,-1.0,-1.0,-1
2005-04-29,1.9075,1.9163,1.9055,1.9086,-1.0,-1.0,-1
2005-05-02,1.9069,1.9078,1.8927,1.895,-1.0,-1.0,-1
2005-05-03,1.8951,1.8961,1.8888,1.8927,-1.0,-1.0,-1
2005-05-04,1.8928,1.9036,1.8925,1.9027,-1.0,-1.0,-1
2005-05-05,1.9029,1.9079,1.9,1.9068,-1.0,-1.0,-1
2005-05-06,1.9031,1.9036,1.8897,1.8911,-1.0,-1.0,-1
