date,open,high,low,close,volume,average,barCount
2005-03-09 07:00:00-05:00,1.9209,1.9245,1.9201,1.9212,-1.0,-1.0,-1
2005-03-09 11:00:00-05:00,1.9212,1.9293,1.921,1.9265,-1.0,-1.0,-1
2005-03-09 15:00:00-05:00,1.9265,1.9276,1.9231,1.9256,-1.0,-1.0,-1
2005-03-09 19:00:00-05:00,1.9222,1.9301,1.922,1.9281,-1.0,-1.0,-1
2005-03-09 23:00:00-05:00,1.9281,1.9299,1.927,1.9289,-1.0,-1.0,-1
2005-03-10 03:00:00-05:00,1.9289,1.9308,1.9257,1.9291,-1.0,-1.0,-1
2005-03-10 07:00:00-05:00,1.9291,1.9292,1.9232,1.9237,-1.0,-1.0,-1
2005-03-10 11:00:00-05:00,1.9237,1.9266,1.9207,1.9224,-1.0,-1.0,-1
2005-03-10 15:00:00-05:00,1.9224,1.9237,1.9221,1.9229,-1.0,-1.0,-1
2005-03-10 19:00:00-05:00,1.9224,1.924,1.9214,1.9239,-1.0,-1.0,-1
2005-03-10 23:00:00-05:00,1.9239,1.9251,1.9215,1.9221,-1.0,-1.0,-1
2005-03-11 03:00:00-05:00,1.9221,1.923,1.9166,1.9194,-1.0,-1.0,-1
2005-03-11 07:00:00-05:00,1.9194,1.9285,1.9193,1.9272,-1.0,-1.0,-1
2005-03-11 11:00:00-05:00,1.9272,1.9283,1.9249,1.926,-1.0,-1.0,-1
2005-03-11 15:00:00-05:00,1.926,1.9261,1.9232,1.9261,-1.0,-1.0,-1
2005-03-13 19:00:00-05:00,1.927,1.9273,1.9223,1.9232,-1.0,-1.0,-1
2005-03-13 23:00:00-05:00,1.9232,1.9249,1.9192,1.9198,-1.0,-1.0,-1
2005-03-14 03:00:00-05:00,1.9198,1.9223,1.9171,1.9202,-1.0,-1.0,-1
2005-03-14 07:00:00-05:00,1.9202,1.9218,1.9109,1.9121,-1.0,-1.0,-1
2005-03-14 11:00:00-05:00,1.9121,1.9145,1.9101,1.9139,-1.0,-1.0,-1
2005-03-14 15:00:00-05:00,1.9139,1.9154,1.9137,1.914,-1.0,-1.0,-1
2005-03-14 19:00:00-05:00,1.9132,1.9161,1.912,1.9158,-1.0,-1.0,-1
2005-03-14 23:00:00-05:00,1.9158,1.9165,1.9114,1.912,-1.0,-1.0,-1
2005-03-15 03:00:00-05:00,1.912,1.9229,1.9115,1.9213,-1.0,-1.0,-1
2005-03-15 07:00:00-05:00,1.9213,1.9258,1.9142,1.9159,-1.0,-1.0,-1
2005-03-15 11:00:00-05:00,1.9159,1.9163,1.9122,1.9127,-1.0,-1.0,-1
2005-03-15 15:00:00-05:00,1.9127,1.9136,1.9117,1.9131,-1.0,-1.0,-1
2005-03-15 19:00:00-05:00,1.9129,1.9139,1.9114,1.9128,-1.0,-1.0,-1
2005-03-15 23:00:00-05:00,1.9128,1.9217,1.9126,1.9202,-1.0,-1.0,-1
2005-03-16 03:00:00-05:00,1.9202,1.9256,1.9201,1.9233,-1.0,-1.0,-1
2005-03-16 07:00:00-05:00,1.9233,1.9295,1.9213,1.9284,-1.0,-1.0,-1
2005-03-16 11:00:00-05:00,1.9284,1.929,1.9246,1.9256,-1.0,-1.0,-1
2005-03-16 15:00:00-05:00,1.9256,1.9274,1.9255,1.9264,-1.0,-1.0,-1
2005-03-16 17:15:00-05:00,1.9275,1.9287,1.9275,1.9278,-1.0,-1.0,-1
2005-03-16 19:00:00-05:00,1.9278,1.9278,1.9235,1.9243,-1.0,-1.0,-1
2005-03-16 23:00:00-05:00,1.9243,1.9263,1.9223,1.9232,-1.0,-1.0,-1
2005-03-17 03:00:00-05:00,1.9232,1.9271,1.9225,1.9261,-1.0,-1.0,-1
2005-03-17 07:00:00-05:00,1.9261,1.9261,1.9185,1.9239,-1.0,-1.0,-1
2005-03-17 11:00:00-05:00,1.9239,1.9267,1.9227,1.9236,-1.0,-1.0,-1
2005-03-17 15:00:00-05:00,1.9236,1.9259,1.9235,1.9255,-1.0,-1.0,-1
2005-03-17 17:15:00-05:00,1.9255,1.9257,1.9248,1.9252,-1.0,-1.0,-1
2005-03-17 19:00:00-05:00,1.9252,1.9252,1.9224,1.923,-1.0,-1.0,-1
2005-03-17 23:00:00-05:00,1.923,1.923,1.92,1.9204,-1.0,-1.0,-1
2005-03-18 03:00:00-05:00,1.9204,1.9211,1.9149,1.9166,-1.0,-1.0,-1
2005-03-18 07:00:00-05:00,1.9166,1.917,1.9126,1.9156,-1.0,-1.0,-1
2005-03-18 11:00:00-05:00,1.9156,1.9217,1.9139,1.9189,-1.0,-1.0,-1
2005-03-18 15:00:00-05:00,1.9189,1.9222,1.9189,1.9221,-1.0,-1.0,-1
