date,open,high,low,close,volume,average,barCount
2005-03-09,1.9206,1.929,1.9199,1.9252,-1.0,-1.0,-1
2005-03-10,1.9219,1.9305,1.9204,1.9225,-1.0,-1.0,-1
2005-03-11,1.922,1.9281,1.9163,1.9257,-1.0,-1.0,-1
2005-03-14,1.9267,1.927,1.9099,1.9136,-1.0,-1.0,-1
2005-03-15,1.9129,1.9255,1.9111,1.9127,-1.0,-1.0,-1
2005-03-16,1.9126,1.9292,1.9111,1.926,-1.0,-1.0,-1
2005-03-17,1.9272,1.9284,1.9182,1.9251,-1.0,-1.0,-1
2005-03-18,1.9248,1.925,1.9124,1.9217,-1.0,-1.0,-1
2005-03-21,1.9196,1.92,1.8946,1.8962,-1.0,-1.0,-1
2005-03-22,1.8966,1.9019,1.8798,1.8858,-1.0,-1.0,-1
2005-03-23,1.8857,1.8884,1.866,1.8686,-1.0,-1.0,-1
2005-03-24,1.8691,1.874,1.867,1.8677,-1.0,-1.0,-1
2005-03-25,1.8691,1.8721,1.8675,1.8697,-1.0,-1.0,-1
2005-03-28,1.87,1.8701,1.8593,1.8666,-1.0,-1.0,-1
2005-03-29,1.8659,1.8766,1.8649,1.8738,-1.0,-1.0,-1
2005-03-30,1.8752,1.8848,1.8739,1.8782,-1.0,-1.0,-1
2005-03-31,1.8765,1.8917,1.8753,1.8903,-1.0,-1.0,-1
2005-04-01,1.8891,1.8976,1.8759,1.881,-1.0,-1.0,-1
2005-04-04,1.878,1.8806,1.8708,1.8751,-1.0,-1.0,-1
2005-04-05,1.8761,1.8817,1.8718,1.8807,-1.0,-1.0,-1
2005-04-06,1.8795,1.8847,1.8751,1.8806,-1.0,-1.0,-1
2005-04-07,1.8807,1.8859,1.868,1.8694,-1.0,-1.0,-1
2005-04-08,1.8704,1.8855,1.8671,1.8854,-1.0,-1.0,-1
2005-04-11,1.885,1.8933,1.8813,1.8905,-1.0,-1.0,-1
2005-04-12,1.8906,1.8978,1.8828,1.8919,-1.0,-1.0,-1
2005-04-13,1.8917,1.8955,1.8872,1.8942,-1.0,-1.0,-1
2005-04-14,1.8943,1.8947,1.8758,1.8813,-1.0,-1.0,-1
2005-04-15,1.8797,1.8948,1.877,1.8925,-1.0,-1.0,-1
2005-04-18,1.8935,1.9056,1.8884,1.9035,-1.0,-1.0,-1
2005-04-19,1.904,1.9203,1.9,1.9181,-1.0,-1.0,-1
2005-04-20,1.9166,1.9218,1.9096,1.9192,-1.0,-1.0,-1
2005-04-21,1.9195,1.9216,1.9062,1.9083,-1.0,-1.0,-1
2005-04-22,1.9073,1.9168,1.9054,1.9142,-1.0,-1.0,-1
2005-04-25,1.9167,1.9171,1.9078,1.9111,-1.0,-1.0,-1
2005-04-26,1.911,1.9132,1.902,1.9057,-1.0,-1.0,-1
2005-04-27,1.9055,1.9094,1.8988,1.9056,-1.0,-1.0,-1
2005-04-28,1.9035,1.9105,1.9014,1.9056,-1.0,-1.0,-1
2005-04-29,1.9071,1.916,1.9052,1.9086,-1.0,-1.0,-1
2005-05-02,1.9064,1.9073,1.8924,1.8946,-1.0,-1.0,-1
2005-05-03,1.8947,1.8957,1.8885,1.8923,-1.0,-1.0,-1
2005-05-04,1.8924,1.9034,1.8921,1.9023,-1.0,-1.0,-1
2005-05-05,1.9025,1.9076,1.8997,1.9064,-1.0,-1.0,-1
2005-05-06,1.9027,1.9032,1.8894,1.8907,-1.0,-1.0,-1
2005-05-09,1.8904,1.8911,1.8804,1.8837,-1.0,-1.0,-1
2005-05-10,1.8854,1.8854,1.8761,1.8825,-1.0,-1.0,-1
2005-05-11,1.8823,1.8911,1.8694,1.8727,-1.0,-1.0,-1
2005-05-12,1.8719,1.8735,1.8601,1.865,-1.0,-1.0,-1
2005-05-13,1.8638,1.8657,1.8481,1.8504,-1.0,-1.0,-1
2005-05-16,1.8354,1.8491,1.8331,1.838,-1.0,-1.0,-1
2005-05-17,1.8375,1.8424,1.832,1.8335,-1.0,-1.0,-1
2005-05-18,1.8353,1.8411,1.8292,1.84,-1.0,-1.0,-1
2005-05-19,1.8386,1.8433,1.832,1.8369,-1.0,-1.0,-1
2005-05-20,1.835,1.839,1.8232,1.8269,-1.0,-1.0,-1
2005-05-23,1.8248,1.8315,1.823,1.8301,-1.0,-1.0,-1
2005-05-24,1.829,1.8358,1.8258,1.8272,-1.0,-1.0,-1
2005-05-25,1.8274,1.8333,1.8247,1.8314,-1.0,-1.0,-1
2005-05-26,1.8313,1.8326,1.8187,1.8198,-1.0,-1.0,-1
2005-05-27,1.8204,1.8272,1.8197,1.8241,-1.0,-1.0,-1
2005-05-30,1.824,1.8255,1.8194,1.8234,-1.0,-1.0,-1
2005-05-31,1.823,1.8256,1.8103,1.817,-1.0,-1.0,-1
2005-06-01,1.8172,1.8224,1.8075,1.8091,-1.0,-1.0,-1
2005-06-02,1.8114,1.8206,1.808,1.8151,-1.0,-1.0,-1
2005-06-03,1.8157,1.8237,1.8098,1.8144,-1.0,-1.0,-1
2005-06-06,1.813,1.8248,1.8125,1.8243,-1.0,-1.0,-1
2005-06-07,1.8238,1.8352,1.8204,1.835,-1.0,-1.0,-1
2005-06-08,1.8349,1.8402,1.822,1.8229,-1.0,-1.0,-1
2005-06-09,1.8235,1.8285,1.8173,1.8205,-1.0,-1.0,-1
2005-06-10,1.8203,1.8262,1.8107,1.8123,-1.0,-1.0,-1
2005-06-13,1.8117,1.8127,1.8,1.8066,-1.0,-1.0,-1
2005-06-14,1.8075,1.8155,1.8029,1.8059,-1.0,-1.0,-1
2005-06-15,1.8061,1.8247,1.8043,1.8224,-1.0,-1.0,-1
2005-06-16,1.8229,1.8288,1.8167,1.8223,-1.0,-1.0,-1
