date,open,high,low,close,volume,average,barCount
2005-03-09,1.2106,1.2106,1.2001,1.2074,-1.0,-1.0,-1
2005-03-10,1.2034,1.2086,1.1997,1.2054,-1.0,-1.0,-1
2005-03-11,1.2044,1.2148,1.2026,1.209,-1.0,-1.0,-1
2005-03-14,1.2036,1.2106,1.2035,1.2076,-1.0,-1.0,-1
2005-03-15,1.2079,1.2091,1.1981,1.2081,-1.0,-1.0,-1
2005-03-16,1.2079,1.2082,1.2002,1.2052,-1.0,-1.0,-1
2005-03-17,1.2048,1.2096,1.1981,1.2014,-1.0,-1.0,-1
2005-03-18,1.2636,1.2636,1.2003,1.2027,-1.0,-1.0,-1
2005-03-21,1.2636,1.2636,1.203,1.2115,-1.0,-1.0,-1
2005-03-22,1.223,1.223,1.1986,1.2095,-1.0,-1.0,-1
2005-03-23,1.2095,1.2186,1.2078,1.2156,-1.0,-1.0,-1
2005-03-24,1.223,1.223,1.2124,1.2143,-1.0,-1.0,-1
2005-03-25,1.2194,1.224,1.2134,1.224,-1.0,-1.0,-1
2005-03-28,1.2636,1.2636,1.217,1.2186,-1.0,-1.0,-1
2005-03-29,1.2636,1.2636,1.2084,1.2108,-1.0,-1.0,-1
2005-03-30,1.2636,1.2636,1.2058,1.2171,-1.0,-1.0,-1
2005-03-31,1.2636,1.2636,1.2086,1.2106,-1.0,-1.0,-1
2005-04-01,1.2636,1.2636,1.2071,1.2145,-1.0,-1.0,-1
2005-04-04,1.2388,1.2388,1.216,1.2222,-1.0,-1.0,-1
2005-04-05,1.2388,1.2388,1.2172,1.2181,-1.0,-1.0,-1
2005-04-06,1.2636,1.2636,1.2167,1.2226,-1.0,-1.0,-1
2005-04-07,1.2375,1.2375,1.2179,1.2231,-1.0,-1.0,-1
2005-04-08,1.2375,1.2636,1.222,1.2636,-1.0,-1.0,-1
2005-04-11,1.2636,1.2636,1.2241,1.2336,-1.0,-1.0,-1
2005-04-12,1.2636,1.2636,1.231,1.2378,-1.0,-1.0,-1
