date,open,high,low,close,volume,average,barCount
2005-03-09,1.2101,1.2103,1.1991,1.2066,-1.0,-1.0,-1
2005-03-10,1.2029,1.2059,1.1994,1.2047,-1.0,-1.0,-1
2005-03-11,1.2039,1.2119,1.191,1.2048,-1.0,-1.0,-1
2005-03-14,1.2032,1.2097,1.2031,1.2064,-1.0,-1.0,-1
2005-03-15,1.2072,1.2087,1.1976,1.2068,-1.0,-1.0,-1
2005-03-16,1.2074,1.2078,1.1998,1.2046,-1.0,-1.0,-1
2005-03-17,1.2042,1.2092,1.1978,1.2009,-1.0,-1.0,-1
2005-03-18,1.1297,1.2076,1.1297,1.2014,-1.0,-1.0,-1
2005-03-21,1.21,1.2138,1.1875,1.211,-1.0,-1.0,-1
2005-03-22,1.2056,1.2124,1.1982,1.2086,-1.0,-1.0,-1
2005-03-23,1.1982,1.218,1.1875,1.2152,-1.0,-1.0,-1
2005-03-24,1.2025,1.2195,1.2025,1.2139,-1.0,-1.0,-1
2005-03-25,1.2,1.218,1.2,1.205,-1.0,-1.0,-1
2005-03-28,1.2045,1.2264,1.2,1.2182,-1.0,-1.0,-1
2005-03-29,1.1705,1.2174,1.1705,1.2104,-1.0,-1.0,-1
2005-03-30,1.1705,1.2184,1.1705,1.2163,-1.0,-1.0,-1
2005-03-31,1.1705,1.2171,1.1705,1.2103,-1.0,-1.0,-1
2005-04-01,1.1705,1.2182,1.1705,1.214,-1.0,-1.0,-1
2005-04-04,1.1297,1.2221,1.1297,1.2217,-1.0,-1.0,-1
2005-04-05,1.1297,1.2255,1.1297,1.2173,-1.0,-1.0,-1
2005-04-06,1.1297,1.2248,1.1297,1.2218,-1.0,-1.0,-1
2005-04-07,1.1297,1.2235,1.1297,1.2225,-1.0,-1.0,-1
2005-04-08,1.21,1.2319,1.21,1.21,-1.0,-1.0,-1
2005-04-11,1.21,1.2363,1.21,1.2333,-1.0,-1.0,-1
2005-04-12,1.1297,1.2421,1.1297,1.2374,-1.0,-1.0,-1
2005-04-13,1.2355,1.2385,1.231,1.2381,-1.0,-1.0,-1
2005-04-14,1.1297,1.2456,1.1297,1.2414,-1.0,-1.0,-1
2005-04-15,1.1705,1.2477,1.1705,1.2464,-1.0,-1.0,-1
2005-04-18,1.23,1.2496,1.23,1.2476,-1.0,-1.0,-1
2005-04-19,1.233,1.249,1.233,1.2366,-1.0,-1.0,-1
2005-04-20,1.1297,1.245,1.1297,1.2418,-1.0,-1.0,-1
2005-04-21,1.1297,1.2425,1.1297,1.2389,-1.0,-1.0,-1
2005-04-22,1.1297,1.24,1.1297,1.2307,-1.0,-1.0,-1
2005-04-25,1.1705,1.2412,1.1705,1.2368,-1.0,-1.0,-1
2005-04-26,1.234,1.2489,1.234,1.2448,-1.0,-1.0,-1
2005-04-27,1.234,1.2511,1.234,1.2486,-1.0,-1.0,-1
2005-04-28,1.234,1.2536,1.234,1.2518,-1.0,-1.0,-1
2005-04-29,1.244,1.2617,1.244,1.2586,-1.0,-1.0,-1
2005-05-02,1.244,1.2629,1.244,1.2538,-1.0,-1.0,-1
2005-05-03,1.2501,1.2576,1.2501,1.2517,-1.0,-1.0,-1
2005-05-04,1.2501,1.2538,1.2447,1.2454,-1.0,-1.0,-1
2005-05-05,1.241,1.2484,1.241,1.2454,-1.0,-1.0,-1
2005-05-06,1.241,1.2472,1.234,1.234,-1.0,-1.0,-1
2005-05-09,1.1705,1.2437,1.1705,1.2374,-1.0,-1.0,-1
2005-05-10,1.228,1.2386,1.228,1.2362,-1.0,-1.0,-1
