date,open,high,low,close,volume,average,barCount
2005-03-09,1.21035,1.21045,1.1996,1.207,-1.0,-1.0,-1
2005-03-10,1.20315,1.20605,1.19955,1.20505,-1.0,-1.0,-1
2005-03-11,1.20415,1.2121,1.2022,1.20575,-1.0,-1.0,-1
2005-03-14,1.2034,1.21,1.20335,1.207,-1.0,-1.0,-1
2005-03-15,1.20755,1.20885,1.1979,1.20745,-1.0,-1.0,-1
2005-03-16,1.20765,1.208,1.2,1.2049,-1.0,-1.0,-1
2005-03-17,1.2045,1.2094,1.19795,1.20115,-1.0,-1.0,-1
2005-03-18,1.1973,1.20775,1.19725,1.20205,-1.0,-1.0,-1
2005-03-21,1.20525,1.21395,1.20055,1.21125,-1.0,-1.0,-1
2005-03-22,1.2143,1.2143,1.1984,1.20905,-1.0,-1.0,-1
2005-03-23,1.20385,1.21825,1.1985,1.2154,-1.0,-1.0,-1
2005-03-24,1.21275,1.2197,1.21225,1.2141,-1.0,-1.0,-1
2005-03-25,1.2097,1.21825,1.2097,1.2145,-1.0,-1.0,-1
2005-03-28,1.21425,1.2266,1.21425,1.2184,-1.0,-1.0,-1
2005-03-29,1.21495,1.219,1.20825,1.2106,-1.0,-1.0,-1
2005-03-30,1.21495,1.21855,1.20565,1.2167,-1.0,-1.0,-1
2005-03-31,1.2225,1.22265,1.20825,1.21045,-1.0,-1.0,-1
2005-04-01,1.20465,1.21865,1.20465,1.21425,-1.0,-1.0,-1
2005-04-04,1.2194,1.2222,1.2152,1.22195,-1.0,-1.0,-1
2005-04-05,1.2194,1.22565,1.217,1.2177,-1.0,-1.0,-1
2005-04-06,1.20465,1.22495,1.20465,1.2222,-1.0,-1.0,-1
2005-04-07,1.2174,1.22365,1.2174,1.2228,-1.0,-1.0,-1
2005-04-08,1.22375,1.23685,1.2215,1.2368,-1.0,-1.0,-1
2005-04-11,1.2445,1.2445,1.2238,1.23345,-1.0,-1.0,-1
2005-04-12,1.235,1.24225,1.2308,1.2376,-1.0,-1.0,-1
2005-04-13,1.2465,1.2465,1.2333,1.2383,-1.0,-1.0,-1
2005-04-14,1.24435,1.24575,1.23755,1.24175,-1.0,-1.0,-1
2005-04-15,1.2375,1.24785,1.2375,1.24665,-1.0,-1.0,-1
2005-04-18,1.2425,1.24975,1.24245,1.24785,-1.0,-1.0,-1
2005-04-19,1.2475,1.24915,1.23675,1.2368,-1.0,-1.0,-1
2005-04-20,1.24405,1.2451,1.2361,1.24205,-1.0,-1.0,-1
2005-04-21,1.2128,1.2427,1.2128,1.2391,-1.0,-1.0,-1
2005-04-22,1.2128,1.2429,1.2127,1.2429,-1.0,-1.0,-1
2005-04-25,1.2128,1.24135,1.2128,1.23705,-1.0,-1.0,-1
2005-04-26,1.24455,1.2491,1.23755,1.245,-1.0,-1.0,-1
2005-04-27,1.24455,1.25125,1.24235,1.24905,-1.0,-1.0,-1
2005-04-28,1.24455,1.254,1.2428,1.2521,-1.0,-1.0,-1
2005-04-29,1.2545,1.26185,1.2462,1.25895,-1.0,-1.0,-1
