date,open,high,low,close,volume,average,barCount
2005-03-09,104.18,104.18,103.67,103.95,-1.0,-1.0,-1
2005-03-10,104.17,104.35,103.72,104.14,-1.0,-1.0,-1
2005-03-11,104.06,104.7,103.74,104.0,-1.0,-1.0,-1
2005-03-14,103.96,105.2,103.94,104.85,-1.0,-1.0,-1
2005-03-15,104.85,105.01,104.16,104.57,-1.0,-1.0,-1
2005-03-16,104.59,104.71,103.91,104.17,-1.0,-1.0,-1
2005-03-17,104.22,104.89,104.14,104.54,-1.0,-1.0,-1
2005-03-18,104.54,105.08,104.52,104.75,-1.0,-1.0,-1
2005-03-21,104.79,105.51,104.68,105.21,-1.0,-1.0,-1
2005-03-22,105.21,105.7,104.87,105.63,-1.0,-1.0,-1
2005-03-23,105.56,106.2,105.29,105.97,-1.0,-1.0,-1
2005-03-24,105.97,106.59,105.93,106.36,-1.0,-1.0,-1
2005-03-25,106.42,106.54,106.29,106.39,-1.0,-1.0,-1
2005-03-28,106.39,107.39,106.39,107.19,-1.0,-1.0,-1
2005-03-29,107.27,107.63,106.96,107.6,-1.0,-1.0,-1
2005-03-30,107.36,107.73,107.13,107.56,-1.0,-1.0,-1
2005-03-31,107.56,107.58,106.66,107.16,-1.0,-1.0,-1
2005-04-01,107.18,107.8,106.77,107.58,-1.0,-1.0,-1
2005-04-04,107.68,108.44,107.6,108.31,-1.0,-1.0,-1
2005-04-05,108.3,108.91,108.09,108.18,-1.0,-1.0,-1
2005-04-06,108.25,108.8,107.88,108.7,-1.0,-1.0,-1
2005-04-07,108.65,108.81,108.11,108.64,-1.0,-1.0,-1
2005-04-08,108.67,109.46,108.21,109.46,-1.0,-1.0,-1
2005-04-11,108.32,108.54,107.65,107.88,-1.0,-1.0,-1
2005-04-12,107.85,108.49,107.53,107.81,-1.0,-1.0,-1
2005-04-13,107.75,107.86,107.15,107.36,-1.0,-1.0,-1
2005-04-14,107.32,108.44,107.27,108.19,-1.0,-1.0,-1
2005-04-15,108.29,108.57,107.48,107.8,-1.0,-1.0,-1
2005-04-18,107.67,108.07,107.28,107.5,-1.0,-1.0,-1
2005-04-19,107.38,107.54,106.74,106.74,-1.0,-1.0,-1
2005-04-20,106.87,107.5,106.62,106.88,-1.0,-1.0,-1
2005-04-21,106.92,107.45,106.7,106.97,-1.0,-1.0,-1
2005-04-22,106.96,106.99,105.77,106.01,-1.0,-1.0,-1
2005-04-25,105.55,106.08,105.49,105.67,-1.0,-1.0,-1
2005-04-26,105.78,106.18,105.59,106.02,-1.0,-1.0,-1
2005-04-27,106.11,106.39,105.7,105.88,-1.0,-1.0,-1
2005-04-28,105.94,106.31,105.54,106.14,-1.0,-1.0,-1
2005-04-29,106.15,106.15,104.63,104.82,-1.0,-1.0,-1
2005-05-02,105.09,105.44,104.92,105.06,-1.0,-1.0,-1
2005-05-03,105.15,105.36,104.88,105.09,-1.0,-1.0,-1
2005-05-04,104.99,105.04,104.22,104.58,-1.0,-1.0,-1
2005-05-05,104.55,104.7,104.23,104.47,-1.0,-1.0,-1
2005-05-06,104.53,105.12,104.47,105.07,-1.0,-1.0,-1
2005-05-09,105.14,105.7,105.12,105.64,-1.0,-1.0,-1
2005-05-10,105.69,105.98,105.4,105.57,-1.0,-1.0,-1
2005-05-11,105.58,105.96,104.89,105.77,-1.0,-1.0,-1
2005-05-12,105.85,106.94,105.72,106.79,-1.0,-1.0,-1
2005-05-13,106.85,107.44,106.69,107.32,-1.0,-1.0,-1
2005-05-16,107.9,107.9,106.72,106.75,-1.0,-1.0,-1
2005-05-17,106.98,107.57,106.58,107.54,-1.0,-1.0,-1
2005-05-18,107.43,107.8,106.77,107.0,-1.0,-1.0,-1
2005-05-19,107.07,107.69,106.96,107.65,-1.0,-1.0,-1
2005-05-20,107.64,108.3,107.36,108.17,-1.0,-1.0,-1
2005-05-23,108.24,108.48,107.56,107.66,-1.0,-1.0,-1
2005-05-24,107.71,107.82,107.25,107.65,-1.0,-1.0,-1
2005-05-25,107.66,107.9,107.29,107.73,-1.0,-1.0,-1
2005-05-26,107.64,108.29,107.64,107.97,-1.0,-1.0,-1
2005-05-27,107.97,108.1,107.76,107.94,-1.0,-1.0,-1
2005-05-30,108.02,108.19,107.76,108.01,-1.0,-1.0,-1
2005-05-31,108.0,108.59,107.72,108.58,-1.0,-1.0,-1
2005-06-01,108.51,108.88,108.16,108.77,-1.0,-1.0,-1
2005-06-02,108.6,108.81,108.11,108.3,-1.0,-1.0,-1
2005-06-03,108.27,108.28,107.5,107.71,-1.0,-1.0,-1
2005-06-06,107.76,107.86,106.73,106.95,-1.0,-1.0,-1
2005-06-07,106.92,107.05,106.52,106.62,-1.0,-1.0,-1
