date,open,high,low,close,volume,average,barCount
2005-03-09,104.14,104.16,103.65,103.93,-1.0,-1.0,-1
2005-03-10,104.15,104.33,103.7,104.12,-1.0,-1.0,-1
2005-03-11,104.04,104.28,103.71,103.98,-1.0,-1.0,-1
2005-03-14,103.94,105.18,103.92,104.83,-1.0,-1.0,-1
2005-03-15,104.83,104.99,104.14,104.55,-1.0,-1.0,-1
2005-03-16,104.57,104.69,103.9,104.15,-1.0,-1.0,-1
2005-03-17,104.2,104.87,104.12,104.52,-1.0,-1.0,-1
2005-03-18,104.52,105.06,104.5,104.73,-1.0,-1.0,-1
2005-03-21,104.75,105.49,104.66,105.18,-1.0,-1.0,-1
2005-03-22,105.19,105.68,104.85,105.6,-1.0,-1.0,-1
2005-03-23,105.54,106.18,105.27,105.93,-1.0,-1.0,-1
2005-03-24,105.95,106.57,105.91,106.3,-1.0,-1.0,-1
2005-03-25,106.4,106.52,105.5,105.5,-1.0,-1.0,-1
2005-03-28,106.35,107.36,106.35,107.17,-1.0,-1.0,-1
2005-03-29,107.25,107.61,106.94,107.58,-1.0,-1.0,-1
2005-03-30,107.34,107.66,107.11,107.54,-1.0,-1.0,-1
2005-03-31,107.54,107.56,106.64,107.14,-1.0,-1.0,-1
2005-04-01,107.16,107.78,106.74,107.52,-1.0,-1.0,-1
2005-04-04,107.64,108.42,107.58,108.27,-1.0,-1.0,-1
2005-04-05,108.28,108.89,108.05,108.15,-1.0,-1.0,-1
2005-04-06,108.23,108.78,107.86,108.66,-1.0,-1.0,-1
2005-04-07,108.63,108.79,108.09,108.61,-1.0,-1.0,-1
2005-04-08,108.65,108.87,106.95,106.95,-1.0,-1.0,-1
2005-04-11,108.28,108.52,107.63,107.85,-1.0,-1.0,-1
2005-04-12,107.83,108.47,107.51,107.73,-1.0,-1.0,-1
2005-04-13,107.73,107.84,107.13,107.34,-1.0,-1.0,-1
2005-04-14,107.3,108.42,107.25,108.17,-1.0,-1.0,-1
2005-04-15,108.27,108.55,107.46,107.78,-1.0,-1.0,-1
2005-04-18,107.63,108.05,107.26,107.48,-1.0,-1.0,-1
2005-04-19,107.36,107.52,106.72,106.72,-1.0,-1.0,-1
2005-04-20,106.85,107.48,106.6,106.86,-1.0,-1.0,-1
2005-04-21,106.9,107.43,106.68,106.95,-1.0,-1.0,-1
2005-04-22,106.94,106.97,105.75,105.99,-1.0,-1.0,-1
2005-04-25,105.51,106.06,105.47,105.65,-1.0,-1.0,-1
2005-04-26,105.76,106.16,105.57,106.0,-1.0,-1.0,-1
2005-04-27,106.09,106.37,105.68,105.86,-1.0,-1.0,-1
2005-04-28,105.92,106.29,105.52,106.12,-1.0,-1.0,-1
2005-04-29,106.13,106.13,104.61,104.82,-1.0,-1.0,-1
2005-05-02,105.05,105.42,104.9,105.04,-1.0,-1.0,-1
2005-05-03,105.13,105.34,104.86,105.07,-1.0,-1.0,-1
2005-05-04,104.97,105.02,104.2,104.56,-1.0,-1.0,-1
2005-05-05,104.53,104.68,104.21,104.45,-1.0,-1.0,-1
2005-05-06,104.51,105.1,104.45,105.05,-1.0,-1.0,-1
2005-05-09,105.1,105.68,105.08,105.62,-1.0,-1.0,-1
2005-05-10,105.67,105.96,105.38,105.55,-1.0,-1.0,-1
2005-05-11,105.56,105.94,104.89,105.75,-1.0,-1.0,-1
2005-05-12,105.83,106.92,105.7,106.77,-1.0,-1.0,-1
2005-05-13,106.83,107.42,106.67,107.3,-1.0,-1.0,-1
2005-05-16,100.5,107.77,100.5,106.73,-1.0,-1.0,-1
