date,open,high,low,close,volume,average,barCount
2005-03-09,104.17,104.17,103.66,103.94,-1.0,-1.0,-1
2005-03-10,104.16,104.34,103.71,104.13,-1.0,-1.0,-1
2005-03-11,104.05,104.29,103.725,103.99,-1.0,-1.0,-1
2005-03-14,103.95,105.19,103.93,104.84,-1.0,-1.0,-1
2005-03-15,104.84,105.0,104.15,104.56,-1.0,-1.0,-1
2005-03-16,104.58,104.7,103.905,104.16,-1.0,-1.0,-1
2005-03-17,104.21,104.88,104.13,104.53,-1.0,-1.0,-1
2005-03-18,104.53,105.07,104.51,104.74,-1.0,-1.0,-1
2005-03-21,104.77,105.5,104.67,105.195,-1.0,-1.0,-1
2005-03-22,105.2,105.69,104.86,105.615,-1.0,-1.0,-1
2005-03-23,105.55,106.19,105.28,105.95,-1.0,-1.0,-1
2005-03-24,105.96,106.58,105.92,106.33,-1.0,-1.0,-1
2005-03-25,106.41,106.52,106.27,106.375,-1.0,-1.0,-1
2005-03-28,106.37,107.375,106.37,107.18,-1.0,-1.0,-1
2005-03-29,107.26,107.62,106.95,107.59,-1.0,-1.0,-1
2005-03-30,107.35,107.695,107.12,107.55,-1.0,-1.0,-1
2005-03-31,107.55,107.57,106.65,107.15,-1.0,-1.0,-1
2005-04-01,107.17,107.79,106.765,107.55,-1.0,-1.0,-1
2005-04-04,107.66,108.43,107.59,108.29,-1.0,-1.0,-1
2005-04-05,108.29,108.9,108.08,108.165,-1.0,-1.0,-1
2005-04-06,108.24,108.79,107.87,108.68,-1.0,-1.0,-1
2005-04-07,108.64,108.8,108.1,108.625,-1.0,-1.0,-1
2005-04-08,108.66,108.88,108.2,108.205,-1.0,-1.0,-1
2005-04-11,108.3,108.53,107.64,107.865,-1.0,-1.0,-1
2005-04-12,107.84,108.48,107.52,107.77,-1.0,-1.0,-1
2005-04-13,107.74,107.85,107.14,107.35,-1.0,-1.0,-1
2005-04-14,107.31,108.43,107.26,108.18,-1.0,-1.0,-1
2005-04-15,108.28,108.56,107.47,107.79,-1.0,-1.0,-1
2005-04-18,107.65,108.06,107.27,107.49,-1.0,-1.0,-1
2005-04-19,107.37,107.53,106.73,106.73,-1.0,-1.0,-1
2005-04-20,106.86,107.49,106.61,106.87,-1.0,-1.0,-1
2005-04-21,106.91,107.44,106.69,106.96,-1.0,-1.0,-1
2005-04-22,106.95,106.98,105.76,106.0,-1.0,-1.0,-1
2005-04-25,105.53,106.06,105.49,105.66,-1.0,-1.0,-1
2005-04-26,105.77,106.17,105.58,106.01,-1.0,-1.0,-1
2005-04-27,106.1,106.38,105.69,105.87,-1.0,-1.0,-1
2005-04-28,105.93,106.3,105.53,106.13,-1.0,-1.0,-1
2005-04-29,106.14,106.14,104.62,104.82,-1.0,-1.0,-1
2005-05-02,105.07,105.43,104.91,105.05,-1.0,-1.0,-1
2005-05-03,105.14,105.35,104.87,105.08,-1.0,-1.0,-1
2005-05-04,104.98,105.03,104.21,104.57,-1.0,-1.0,-1
2005-05-05,104.54,104.69,104.22,104.46,-1.0,-1.0,-1
2005-05-06,104.52,105.11,104.46,105.06,-1.0,-1.0,-1
2005-05-09,105.12,105.69,105.1,105.63,-1.0,-1.0,-1
2005-05-10,105.68,105.97,105.39,105.56,-1.0,-1.0,-1
2005-05-11,105.57,105.95,104.89,105.76,-1.0,-1.0,-1
2005-05-12,105.84,106.93,105.71,106.78,-1.0,-1.0,-1
2005-05-13,106.84,107.43,106.68,107.31,-1.0,-1.0,-1
2005-05-16,104.2,107.785,104.2,106.74,-1.0,-1.0,-1
2005-05-17,106.97,107.56,106.57,107.53,-1.0,-1.0,-1
2005-05-18,107.42,107.795,106.76,106.99,-1.0,-1.0,-1
2005-05-19,107.06,107.68,106.95,107.64,-1.0,-1.0,-1
2005-05-20,107.63,108.295,107.35,108.16,-1.0,-1.0,-1
2005-05-23,108.22,108.31,107.555,107.65,-1.0,-1.0,-1
2005-05-24,107.7,107.81,107.24,107.64,-1.0,-1.0,-1
2005-05-25,107.65,107.89,107.28,107.72,-1.0,-1.0,-1
2005-05-26,107.63,108.28,107.63,107.96,-1.0,-1.0,-1
2005-05-27,107.96,108.09,107.75,107.93,-1.0,-1.0,-1
2005-05-30,108.0,108.17,107.75,108.0,-1.0,-1.0,-1
2005-05-31,107.99,108.58,107.71,108.57,-1.0,-1.0,-1
2005-06-01,108.5,108.87,108.15,108.76,-1.0,-1.0,-1
2005-06-02,108.59,108.8,108.1,108.29,-1.0,-1.0,-1
2005-06-03,108.26,108.27,107.47,107.69,-1.0,-1.0,-1
2005-06-06,107.74,107.85,106.72,106.94,-1.0,-1.0,-1
2005-06-07,106.91,107.04,106.51,106.61,-1.0,-1.0,-1
2005-06-08,106.63,107.385,106.54,107.3,-1.0,-1.0,-1
2005-06-09,107.24,107.77,107.1,107.44,-1.0,-1.0,-1
2005-06-10,107.43,108.69,107.34,108.66,-1.0,-1.0,-1
2005-06-13,108.65,109.69,108.46,109.57,-1.0,-1.0,-1
2005-06-14,109.54,109.61,109.08,109.47,-1.0,-1.0,-1
2005-06-15,109.42,109.72,109.15,109.21,-1.0,-1.0,-1
2005-06-16,109.17,109.4,108.66,108.91,-1.0,-1.0,-1
2005-06-17,108.92,109.095,108.51,108.57,-1.0,-1.0,-1
2005-06-20,108.93,109.61,108.295,109.26,-1.0,-1.0,-1
2005-06-21,109.34,109.495,108.16,108.17,-1.0,-1.0,-1
2005-06-22,108.3,109.15,108.3,108.86,-1.0,-1.0,-1
2005-06-23,108.84,108.97,108.42,108.94,-1.0,-1.0,-1
2005-06-24,108.95,109.4,108.89,109.05,-1.0,-1.0,-1
2005-06-27,109.21,109.45,109.14,109.26,-1.0,-1.0,-1
2005-06-28,109.26,110.08,109.22,110.03,-1.0,-1.0,-1
2005-06-29,109.87,110.65,109.72,110.44,-1.0,-1.0,-1
2005-06-30,110.42,110.99,110.0,110.92,-1.0,-1.0,-1
2005-07-01,110.8,111.79,110.62,111.785,-1.0,-1.0,-1
2005-07-04,111.79,111.89,111.33,111.615,-1.0,-1.0,-1
2005-07-05,111.615,112.13,111.46,111.74,-1.0,-1.0,-1
2005-07-06,111.67,112.29,111.46,112.18,-1.0,-1.0,-1
2005-07-07,112.2,112.33,111.49,112.08,-1.0,-1.0,-1
2005-07-08,112.02,112.585,111.79,112.18,-1.0,-1.0,-1
2005-07-11,112.21,112.26,111.69,111.81,-1.0,-1.0,-1
2005-07-12,111.72,111.8,110.76,110.8,-1.0,-1.0,-1
2005-07-13,110.9,112.29,110.89,111.86,-1.0,-1.0,-1
2005-07-14,111.91,112.38,111.65,112.36,-1.0,-1.0,-1
2005-07-15,112.26,112.43,111.76,112.16,-1.0,-1.0,-1
2005-07-18,112.28,112.37,111.51,111.98,-1.0,-1.0,-1
2005-07-19,111.94,112.98,111.84,112.69,-1.0,-1.0,-1
2005-07-20,112.78,113.72,112.46,112.91,-1.0,-1.0,-1
2005-07-21,112.84,112.87,109.875,110.27,-1.0,-1.0,-1
2005-07-22,110.35,111.47,110.32,111.33,-1.0,-1.0,-1
2005-07-25,110.475,111.99,110.475,111.49,-1.0,-1.0,-1
2005-07-26,111.43,112.63,111.43,112.54,-1.0,-1.0,-1
2005-07-27,112.48,112.8,112.16,112.465,-1.0,-1.0,-1
2005-07-28,112.44,112.875,111.98,112.12,-1.0,-1.0,-1
2005-07-29,112.17,112.54,111.95,112.5,-1.0,-1.0,-1
2005-08-01,112.63,112.77,111.725,112.24,-1.0,-1.0,-1
2005-08-02,112.37,112.37,111.11,111.47,-1.0,-1.0,-1
2005-08-03,111.41,111.94,110.99,111.09,-1.0,-1.0,-1
2005-08-04,111.15,111.61,110.76,111.24,-1.0,-1.0,-1
