date,open,high,low,close,volume,average,barCount
2004-01-23,0.8,0.81,0.8,0.81,-1.0,-1.0,-1
2004-01-26,0.8,0.82,0.8,0.82,-1.0,-1.0,-1
2004-01-27,0.82,0.83,0.81,0.82,-1.0,-1.0,-1
2004-01-28,0.82,0.83,0.8,0.8,-1.0,-1.0,-1
2004-02-02,0.8,0.81,0.8,0.8,-1.0,-1.0,-1
2004-02-03,0.8,0.8,0.79,0.79,-1.0,-1.0,-1
2004-02-04,0.79,0.79,0.78,0.78,-1.0,-1.0,-1
2004-02-05,0.78,0.82,0.78,0.8,-1.0,-1.0,-1
2004-02-06,0.8,0.82,0.8,0.81,-1.0,-1.0,-1
2004-02-11,0.83,0.85,0.82,0.85,-1.0,-1.0,-1
2004-02-12,0.85,0.86,0.84,0.85,-1.0,-1.0,-1
2004-02-13,0.85,0.86,0.82,0.82,-1.0,-1.0,-1
2004-02-17,0.83,0.84,0.83,0.83,-1.0,-1.0,-1
2004-02-18,0.82,0.84,0.82,0.83,-1.0,-1.0,-1
2004-02-19,0.83,0.84,0.8,0.8,-1.0,-1.0,-1
2004-02-20,0.8,0.8,0.79,0.8,-1.0,-1.0,-1
2004-02-23,0.8,0.8,0.78,0.79,-1.0,-1.0,-1
2004-02-24,0.79,0.81,0.79,0.8,-1.0,-1.0,-1
2004-02-25,0.79,0.82,0.79,0.82,-1.0,-1.0,-1
2004-02-26,0.82,0.83,0.82,0.83,-1.0,-1.0,-1
2004-02-27,0.82,0.86,0.82,0.85,-1.0,-1.0,-1
2004-03-01,0.86,0.87,0.85,0.86,-1.0,-1.0,-1
2004-03-02,0.86,0.86,0.85,0.85,-1.0,-1.0,-1
2004-03-03,0.84,0.86,0.84,0.85,-1.0,-1.0,-1
2004-03-04,0.86,0.9,0.85,0.9,-1.0,-1.0,-1
2004-03-05,0.89,0.98,0.89,0.96,-1.0,-1.0,-1
2004-03-08,0.95,0.96,0.92,0.93,-1.0,-1.0,-1
2004-03-09,0.92,0.97,0.92,0.97,-1.0,-1.0,-1
2004-03-10,0.97,1.0,0.96,0.99,-1.0,-1.0,-1
2004-03-11,0.98,1.0,0.97,0.97,-1.0,-1.0,-1
2004-03-12,0.98,0.99,0.97,0.98,-1.0,-1.0,-1
2004-03-15,0.96,0.98,0.94,0.94,-1.0,-1.0,-1
2004-03-16,0.95,0.95,0.91,0.92,-1.0,-1.0,-1
2004-03-17,0.93,0.94,0.92,0.93,-1.0,-1.0,-1
2004-03-18,0.92,0.93,0.91,0.92,-1.0,-1.0,-1
2004-03-19,0.91,0.94,0.91,0.92,-1.0,-1.0,-1
2004-03-22,0.91,0.93,0.9,0.92,-1.0,-1.0,-1
2004-03-23,0.93,0.93,0.9,0.9,-1.0,-1.0,-1
2004-03-25,0.93,0.96,0.92,0.96,-1.0,-1.0,-1
2004-03-26,0.97,0.98,0.96,0.97,-1.0,-1.0,-1
2004-03-29,0.98,1.0,0.98,1.0,-1.0,-1.0,-1
2004-03-30,0.99,1.0,0.98,1.0,-1.0,-1.0,-1
2004-03-31,0.99,1.0,0.96,0.97,-1.0,-1.0,-1
2004-04-01,0.96,0.97,0.95,0.96,-1.0,-1.0,-1
2004-04-02,0.99,1.0,0.97,0.98,-1.0,-1.0,-1
2004-04-05,0.98,1.01,0.98,1.01,-1.0,-1.0,-1
2004-04-06,0.99,1.01,0.98,0.99,-1.0,-1.0,-1
2004-04-07,0.99,0.99,0.96,0.98,-1.0,-1.0,-1
2004-04-08,0.99,1.0,0.97,0.98,-1.0,-1.0,-1
2004-04-12,0.98,1.0,0.98,1.0,-1.0,-1.0,-1
2004-04-13,1.0,1.0,0.96,0.96,-1.0,-1.0,-1
2004-04-14,0.96,0.97,0.94,0.95,-1.0,-1.0,-1
2004-04-15,1.03,1.06,1.01,1.05,-1.0,-1.0,-1
2004-04-16,1.04,1.05,1.02,1.04,-1.0,-1.0,-1
2004-04-19,1.0,1.03,0.99,1.01,-1.0,-1.0,-1
2004-04-20,1.01,1.01,0.98,0.99,-1.0,-1.0,-1
2004-04-21,0.99,1.0,0.98,0.99,-1.0,-1.0,-1
2004-04-22,0.99,1.01,0.97,0.99,-1.0,-1.0,-1
2004-04-23,0.99,1.0,0.97,0.99,-1.0,-1.0,-1
2004-04-26,0.99,0.99,0.96,0.97,-1.0,-1.0,-1
2004-04-27,0.97,0.97,0.95,0.96,-1.0,-1.0,-1
2004-04-28,0.96,0.96,0.94,0.95,-1.0,-1.0,-1
2004-04-29,0.94,0.96,0.93,0.96,-1.0,-1.0,-1
2004-04-30,0.95,0.96,0.91,0.92,-1.0,-1.0,-1
2004-05-03,0.93,0.94,0.92,0.93,-1.0,-1.0,-1
2004-05-04,0.93,0.95,0.91,0.93,-1.0,-1.0,-1
2004-05-05,0.94,0.96,0.93,0.95,-1.0,-1.0,-1
2004-05-06,0.94,0.96,0.92,0.95,-1.0,-1.0,-1
2004-05-07,0.95,0.98,0.95,0.95,-1.0,-1.0,-1
2004-05-10,0.94,0.95,0.93,0.93,-1.0,-1.0,-1
2004-05-11,0.94,0.97,0.94,0.97,-1.0,-1.0,-1
2004-05-12,0.96,0.98,0.94,0.97,-1.0,-1.0,-1
2004-05-13,0.97,0.99,0.96,0.97,-1.0,-1.0,-1
2004-05-14,0.97,0.98,0.94,0.96,-1.0,-1.0,-1
2004-05-17,0.95,0.97,0.94,0.95,-1.0,-1.0,-1
