date,open,high,low,close,volume,average,barCount
2004-01-23,2.85,2.88,2.83,2.86,-1.0,-1.0,-1
2004-01-26,2.84,2.86,2.82,2.85,-1.0,-1.0,-1
2004-01-27,2.84,2.89,2.79,2.79,-1.0,-1.0,-1
2004-01-28,2.68,2.72,2.58,2.6,-1.0,-1.0,-1
2004-02-02,2.53,2.53,2.45,2.45,-1.0,-1.0,-1
2004-02-03,2.41,2.41,2.23,2.25,-1.0,-1.0,-1
2004-02-04,2.24,2.3,2.22,2.27,-1.0,-1.0,-1
2004-02-05,2.3,2.35,2.3,2.3,-1.0,-1.0,-1
2004-02-06,2.31,2.34,2.28,2.32,-1.0,-1.0,-1
2004-02-11,2.29,2.37,2.28,2.36,-1.0,-1.0,-1
2004-02-12,2.35,2.4,2.34,2.35,-1.0,-1.0,-1
2004-02-13,2.36,2.38,2.31,2.32,-1.0,-1.0,-1
2004-02-17,2.31,2.32,2.24,2.27,-1.0,-1.0,-1
2004-02-18,2.27,2.27,2.23,2.24,-1.0,-1.0,-1
2004-02-19,2.26,2.31,2.23,2.23,-1.0,-1.0,-1
2004-02-20,2.24,2.27,2.24,2.26,-1.0,-1.0,-1
2004-02-23,2.26,2.26,2.17,2.2,-1.0,-1.0,-1
2004-02-24,2.19,2.2,2.11,2.12,-1.0,-1.0,-1
2004-02-25,2.13,2.16,2.13,2.14,-1.0,-1.0,-1
2004-02-26,2.16,2.19,2.15,2.18,-1.0,-1.0,-1
2004-02-27,2.18,2.18,2.13,2.15,-1.0,-1.0,-1
2004-03-01,2.15,2.17,2.13,2.15,-1.0,-1.0,-1
2004-03-02,2.13,2.17,2.09,2.1,-1.0,-1.0,-1
2004-03-03,2.1,2.17,2.08,2.16,-1.0,-1.0,-1
2004-03-04,2.16,2.22,2.16,2.22,-1.0,-1.0,-1
2004-03-05,2.19,2.24,2.18,2.2,-1.0,-1.0,-1
2004-03-08,2.19,2.25,2.16,2.17,-1.0,-1.0,-1
2004-03-09,2.17,2.19,2.11,2.14,-1.0,-1.0,-1
2004-03-10,2.14,2.16,2.07,2.08,-1.0,-1.0,-1
2004-03-11,2.06,2.12,2.05,2.06,-1.0,-1.0,-1
2004-03-12,2.07,2.13,2.07,2.13,-1.0,-1.0,-1
2004-03-15,2.11,2.14,2.05,2.06,-1.0,-1.0,-1
2004-03-16,2.07,2.12,2.06,2.1,-1.0,-1.0,-1
2004-03-17,2.15,2.17,2.13,2.14,-1.0,-1.0,-1
2004-03-18,2.13,2.16,2.11,2.15,-1.0,-1.0,-1
2004-03-19,2.15,2.19,2.13,2.14,-1.0,-1.0,-1
2004-03-22,2.09,2.09,2.03,2.04,-1.0,-1.0,-1
2004-03-23,2.07,2.09,1.99,2.02,-1.0,-1.0,-1
2004-03-25,2.0,2.11,2.0,2.1,-1.0,-1.0,-1
2004-03-26,2.1,2.12,2.06,2.09,-1.0,-1.0,-1
2004-03-29,2.1,2.14,2.1,2.14,-1.0,-1.0,-1
2004-03-30,2.13,2.2,2.13,2.19,-1.0,-1.0,-1
2004-03-31,2.19,2.55,2.15,2.16,-1.0,-1.0,-1
2004-04-01,2.17,2.24,2.17,2.24,-1.0,-1.0,-1
2004-04-02,2.3,2.31,2.26,2.3,-1.0,-1.0,-1
2004-04-05,2.28,2.35,2.28,2.35,-1.0,-1.0,-1
2004-04-06,2.32,2.35,2.29,2.32,-1.0,-1.0,-1
2004-04-07,2.31,2.34,2.27,2.29,-1.0,-1.0,-1
2004-04-08,2.39,2.41,2.35,2.41,-1.0,-1.0,-1
2004-04-12,2.4,2.42,2.38,2.4,-1.0,-1.0,-1
2004-04-13,2.4,2.42,2.32,2.33,-1.0,-1.0,-1
2004-04-14,2.3,2.38,2.3,2.34,-1.0,-1.0,-1
2004-04-15,2.35,2.38,2.32,2.35,-1.0,-1.0,-1
2004-04-16,2.35,2.35,2.27,2.28,-1.0,-1.0,-1
2004-04-19,2.27,2.36,2.26,2.35,-1.0,-1.0,-1
2004-04-20,2.38,2.39,2.26,2.26,-1.0,-1.0,-1
2004-04-21,2.26,2.32,2.25,2.28,-1.0,-1.0,-1
2004-04-22,2.3,2.45,2.29,2.44,-1.0,-1.0,-1
2004-04-23,2.3,2.34,2.28,2.31,-1.0,-1.0,-1
2004-04-26,2.31,2.39,2.31,2.36,-1.0,-1.0,-1
2004-04-27,2.38,2.44,2.34,2.4,-1.0,-1.0,-1
2004-04-28,2.38,2.42,2.33,2.35,-1.0,-1.0,-1
2004-04-29,2.35,2.35,2.28,2.31,-1.0,-1.0,-1
2004-04-30,2.3,2.32,2.17,2.18,-1.0,-1.0,-1
2004-05-03,2.17,2.26,2.17,2.22,-1.0,-1.0,-1
2004-05-04,2.22,2.23,2.19,2.2,-1.0,-1.0,-1
2004-05-05,2.2,2.25,2.2,2.21,-1.0,-1.0,-1
2004-05-06,2.18,2.21,2.14,2.16,-1.0,-1.0,-1
2004-05-07,2.15,2.21,2.08,2.1,-1.0,-1.0,-1
2004-05-10,2.06,2.11,2.03,2.06,-1.0,-1.0,-1
2004-05-11,2.1,2.15,2.1,2.13,-1.0,-1.0,-1
2004-05-12,2.12,2.16,2.06,2.15,-1.0,-1.0,-1
2004-05-13,2.13,2.21,2.11,2.19,-1.0,-1.0,-1
2004-05-14,2.19,2.2,2.14,2.16,-1.0,-1.0,-1
2004-05-17,2.11,2.88,2.09,2.1,-1.0,-1.0,-1
2004-05-18,2.11,2.12,2.09,2.1,-1.0,-1.0,-1
2004-05-19,2.12,2.16,2.07,2.08,-1.0,-1.0,-1
2004-05-20,2.08,2.1,2.04,2.05,-1.0,-1.0,-1
2004-05-21,2.06,2.07,2.03,2.05,-1.0,-1.0,-1
2004-05-24,2.06,2.11,2.06,2.09,-1.0,-1.0,-1
2004-05-25,2.09,2.19,2.07,2.18,-1.0,-1.0,-1
2004-05-26,2.19,2.25,2.18,2.24,-1.0,-1.0,-1
2004-05-27,2.26,2.39,2.24,2.39,-1.0,-1.0,-1
2004-05-28,2.36,2.43,2.34,2.43,-1.0,-1.0,-1
2004-06-01,2.39,2.52,2.39,2.51,-1.0,-1.0,-1
2004-06-02,2.52,2.56,2.49,2.51,-1.0,-1.0,-1
2004-06-03,2.5,2.52,2.47,2.47,-1.0,-1.0,-1
2004-06-04,2.5,2.58,2.5,2.55,-1.0,-1.0,-1
2004-06-07,2.59,2.6,2.53,2.59,-1.0,-1.0,-1
2004-06-08,2.57,2.61,2.55,2.6,-1.0,-1.0,-1
2004-06-09,2.58,2.59,2.5,2.51,-1.0,-1.0,-1
2004-06-10,2.51,2.52,2.46,2.5,-1.0,-1.0,-1
2004-06-14,2.47,2.5,2.45,2.46,-1.0,-1.0,-1
2004-06-15,2.48,2.53,2.48,2.51,-1.0,-1.0,-1
2004-06-16,2.5,2.54,2.5,2.52,-1.0,-1.0,-1
2004-06-17,2.52,2.53,2.47,2.49,-1.0,-1.0,-1
2004-06-18,2.47,2.51,2.47,2.48,-1.0,-1.0,-1
2004-06-21,2.47,2.51,2.46,2.49,-1.0,-1.0,-1
2004-06-22,2.48,2.49,2.41,2.44,-1.0,-1.0,-1
2004-06-23,2.44,2.55,2.42,2.55,-1.0,-1.0,-1
2004-06-24,2.55,2.6,2.53,2.55,-1.0,-1.0,-1
2004-06-25,2.55,2.59,2.54,2.58,-1.0,-1.0,-1
2004-06-28,2.62,2.7,2.61,2.67,-1.0,-1.0,-1
2004-06-29,2.66,2.7,2.63,2.69,-1.0,-1.0,-1
2004-06-30,2.68,2.73,2.67,2.72,-1.0,-1.0,-1
2004-07-01,2.69,2.7,2.6,2.63,-1.0,-1.0,-1
2004-07-02,2.63,2.66,2.6,2.63,-1.0,-1.0,-1
2004-07-06,2.63,2.63,2.52,2.56,-1.0,-1.0,-1
2004-07-07,2.54,2.6,2.51,2.55,-1.0,-1.0,-1
2004-07-08,2.43,2.5,2.42,2.47,-1.0,-1.0,-1
2004-07-09,2.49,2.5,2.39,2.41,-1.0,-1.0,-1
2004-07-12,2.41,2.47,2.41,2.46,-1.0,-1.0,-1
2004-07-13,2.46,2.5,2.44,2.48,-1.0,-1.0,-1
2004-07-14,2.46,2.52,2.44,2.48,-1.0,-1.0,-1
2004-07-15,2.48,2.48,2.41,2.43,-1.0,-1.0,-1
2004-07-16,2.45,2.45,2.34,2.35,-1.0,-1.0,-1
2004-07-19,2.36,2.36,2.26,2.3,-1.0,-1.0,-1
2004-07-20,2.31,2.39,2.31,2.35,-1.0,-1.0,-1
2004-07-21,2.36,2.38,2.23,2.24,-1.0,-1.0,-1
2004-07-22,2.19,2.3,2.18,2.29,-1.0,-1.0,-1
2004-07-23,2.13,2.14,1.98,2.0,-1.0,-1.0,-1
2004-07-26,2.01,2.01,1.92,1.94,-1.0,-1.0,-1
2004-07-27,1.96,1.99,1.94,1.96,-1.0,-1.0,-1
2004-07-28,1.96,1.98,1.87,1.89,-1.0,-1.0,-1
2004-07-29,1.92,1.95,1.9,1.93,-1.0,-1.0,-1
2004-07-30,1.92,1.97,1.91,1.94,-1.0,-1.0,-1
2004-08-02,1.92,1.94,1.89,1.91,-1.0,-1.0,-1
2004-08-03,1.91,1.95,1.87,1.88,-1.0,-1.0,-1
2004-08-04,1.84,1.87,1.82,1.85,-1.0,-1.0,-1
2004-08-05,1.85,1.85,1.77,1.78,-1.0,-1.0,-1
2004-08-06,1.76,1.83,1.74,1.77,-1.0,-1.0,-1
2004-08-09,1.77,1.81,1.74,1.77,-1.0,-1.0,-1
2004-08-10,1.78,1.86,1.78,1.85,-1.0,-1.0,-1
2004-08-11,1.82,1.84,1.78,1.83,-1.0,-1.0,-1
2004-08-12,1.81,1.87,1.81,1.82,-1.0,-1.0,-1
2004-08-13,1.83,1.85,1.79,1.81,-1.0,-1.0,-1
2004-08-16,1.81,1.92,1.8,1.9,-1.0,-1.0,-1
2004-08-17,1.92,1.97,1.9,1.91,-1.0,-1.0,-1
2004-08-18,1.89,1.98,1.87,1.96,-1.0,-1.0,-1
2004-08-19,2.01,2.02,1.9,1.93,-1.0,-1.0,-1
2004-08-20,1.92,1.99,1.91,1.98,-1.0,-1.0,-1
2004-08-23,1.99,2.0,1.96,1.97,-1.0,-1.0,-1
2004-08-24,1.99,2.0,1.92,1.95,-1.0,-1.0,-1
2004-08-25,1.95,2.02,1.91,2.02,-1.0,-1.0,-1
2004-08-26,2.0,2.04,1.99,2.01,-1.0,-1.0,-1
2004-08-27,2.02,2.15,1.98,1.99,-1.0,-1.0,-1
2004-08-30,1.99,1.99,1.91,1.91,-1.0,-1.0,-1
2004-08-31,1.92,1.94,1.89,1.91,-1.0,-1.0,-1
2004-09-01,1.91,1.95,1.9,1.91,-1.0,-1.0,-1
2004-09-02,1.9,1.98,1.9,1.96,-1.0,-1.0,-1
2004-09-03,1.95,2.0,1.93,1.94,-1.0,-1.0,-1
2004-09-07,1.95,1.97,1.91,1.93,-1.0,-1.0,-1
2004-09-08,1.93,1.94,1.89,1.9,-1.0,-1.0,-1
2004-09-09,1.91,1.91,1.87,1.9,-1.0,-1.0,-1
2004-09-10,1.91,1.94,1.9,1.93,-1.0,-1.0,-1
2004-09-13,1.96,2.0,1.94,2.0,-1.0,-1.0,-1
2004-09-14,2.01,2.14,1.99,2.13,-1.0,-1.0,-1
2004-09-15,2.1,2.16,2.09,2.11,-1.0,-1.0,-1
2004-09-16,2.12,2.21,2.12,2.13,-1.0,-1.0,-1
2004-09-17,2.14,2.16,2.12,2.15,-1.0,-1.0,-1
2004-09-20,2.14,2.2,2.14,2.16,-1.0,-1.0,-1
2004-09-21,2.18,2.19,2.14,2.16,-1.0,-1.0,-1
2004-09-22,2.16,2.16,2.06,2.07,-1.0,-1.0,-1
2004-09-23,2.07,2.11,2.06,2.09,-1.0,-1.0,-1
2004-09-24,2.09,2.1,2.04,2.05,-1.0,-1.0,-1
2004-09-27,2.04,2.05,1.99,1.99,-1.0,-1.0,-1
2004-09-28,2.02,2.02,1.95,1.97,-1.0,-1.0,-1
2004-09-29,1.97,2.05,1.97,2.04,-1.0,-1.0,-1
2004-09-30,2.02,2.06,2.01,2.05,-1.0,-1.0,-1
2004-10-01,2.06,2.06,2.02,2.02,-1.0,-1.0,-1
2004-10-04,2.07,2.08,2.04,2.05,-1.0,-1.0,-1
2004-10-05,2.04,2.06,2.03,2.05,-1.0,-1.0,-1
2004-10-06,2.04,2.07,2.02,2.07,-1.0,-1.0,-1
2004-10-07,2.07,2.14,2.04,2.06,-1.0,-1.0,-1
2004-10-08,2.05,2.06,1.98,2.0,-1.0,-1.0,-1
2004-10-11,1.99,2.04,1.97,2.01,-1.0,-1.0,-1
2004-10-12,1.98,2.03,1.97,2.01,-1.0,-1.0,-1
2004-10-13,2.07,2.08,1.99,2.0,-1.0,-1.0,-1
2004-10-14,1.97,1.98,1.94,1.95,-1.0,-1.0,-1
2004-10-15,1.96,1.98,1.89,1.93,-1.0,-1.0,-1
2004-10-18,1.92,1.97,1.89,1.96,-1.0,-1.0,-1
2004-10-19,1.99,1.99,1.91,1.91,-1.0,-1.0,-1
2004-10-20,1.9,1.93,1.89,1.92,-1.0,-1.0,-1
2004-10-21,1.97,2.01,1.93,1.98,-1.0,-1.0,-1
2004-10-22,1.81,1.84,1.7,1.72,-1.0,-1.0,-1
2004-10-25,1.7,1.72,1.69,1.7,-1.0,-1.0,-1
2004-10-26,1.71,1.71,1.68,1.69,-1.0,-1.0,-1
2004-10-27,1.68,1.73,1.68,1.71,-1.0,-1.0,-1
2004-10-28,1.71,1.74,1.71,1.72,-1.0,-1.0,-1
2004-10-29,1.72,1.72,1.7,1.71,-1.0,-1.0,-1
2004-11-01,1.71,1.76,1.71,1.75,-1.0,-1.0,-1
2004-11-02,1.77,1.82,1.76,1.81,-1.0,-1.0,-1
2004-11-03,1.86,1.88,1.78,1.79,-1.0,-1.0,-1
2004-11-04,1.79,1.86,1.78,1.85,-1.0,-1.0,-1
2004-11-05,1.86,1.87,1.8,1.82,-1.0,-1.0,-1
2004-11-08,1.84,1.88,1.84,1.87,-1.0,-1.0,-1
2004-11-09,1.85,1.89,1.84,1.87,-1.0,-1.0,-1
2004-11-10,1.9,1.94,1.89,1.91,-1.0,-1.0,-1
2004-11-11,1.9,1.95,1.88,1.94,-1.0,-1.0,-1
2004-11-12,1.95,2.05,1.95,2.02,-1.0,-1.0,-1
2004-11-15,2.02,2.07,2.01,2.05,-1.0,-1.0,-1
2004-11-16,2.02,2.03,1.99,2.0,-1.0,-1.0,-1
2004-11-17,2.02,2.03,1.98,1.99,-1.0,-1.0,-1
2004-11-18,1.99,2.05,1.98,2.02,-1.0,-1.0,-1
2004-11-19,1.96,1.97,1.91,1.93,-1.0,-1.0,-1
2004-11-22,1.91,1.93,1.88,1.9,-1.0,-1.0,-1
2004-11-23,1.91,1.98,1.91,1.92,-1.0,-1.0,-1
2004-11-24,1.94,1.96,1.91,1.94,-1.0,-1.0,-1
2004-11-26,1.95,1.97,1.95,1.95,-1.0,-1.0,-1
2004-11-29,1.98,1.98,1.89,1.95,-1.0,-1.0,-1
2004-11-30,1.95,1.99,1.95,1.98,-1.0,-1.0,-1
2004-12-01,2.0,2.0,1.96,1.99,-1.0,-1.0,-1
2004-12-02,1.98,2.04,1.98,2.01,-1.0,-1.0,-1
2004-12-03,2.02,2.02,1.98,2.0,-1.0,-1.0,-1
2004-12-06,1.99,2.0,1.96,1.97,-1.0,-1.0,-1
2004-12-07,1.97,1.99,1.9,1.91,-1.0,-1.0,-1
2004-12-08,1.92,1.95,1.9,1.94,-1.0,-1.0,-1
2004-12-09,1.92,2.0,1.91,1.99,-1.0,-1.0,-1
2004-12-10,1.98,2.01,1.95,1.95,-1.0,-1.0,-1
2004-12-13,1.96,2.01,1.94,1.99,-1.0,-1.0,-1
2004-12-14,2.01,2.02,2.0,2.02,-1.0,-1.0,-1
2004-12-15,2.02,2.05,2.01,2.05,-1.0,-1.0,-1
2004-12-16,2.04,2.05,1.99,2.0,-1.0,-1.0,-1
2004-12-17,2.01,2.01,1.99,2.0,-1.0,-1.0,-1
2004-12-20,1.99,2.02,1.94,1.95,-1.0,-1.0,-1
2004-12-21,1.94,1.97,1.93,1.97,-1.0,-1.0,-1
2004-12-22,1.93,1.98,1.93,1.97,-1.0,-1.0,-1
2004-12-23,1.97,1.97,1.95,1.95,-1.0,-1.0,-1
2004-12-27,1.98,2.15,1.97,2.11,-1.0,-1.0,-1
2004-12-28,2.19,2.26,2.18,2.23,-1.0,-1.0,-1
2004-12-29,2.24,2.28,2.22,2.24,-1.0,-1.0,-1
2004-12-30,2.25,2.28,2.23,2.25,-1.0,-1.0,-1
2004-12-31,2.26,2.27,2.21,2.21,-1.0,-1.0,-1
2005-01-03,2.25,2.27,2.21,2.23,-1.0,-1.0,-1
2005-01-04,2.13,2.16,2.08,2.11,-1.0,-1.0,-1
2005-01-05,2.08,2.14,2.08,2.09,-1.0,-1.0,-1
2005-01-06,2.09,2.11,2.05,2.05,-1.0,-1.0,-1
2005-01-07,2.07,2.13,2.06,2.12,-1.0,-1.0,-1
2005-01-10,2.1,2.15,2.09,2.09,-1.0,-1.0,-1
2005-01-11,2.07,2.11,2.05,2.08,-1.0,-1.0,-1
2005-01-12,2.08,2.12,2.04,2.12,-1.0,-1.0,-1
2005-01-13,2.12,2.23,2.12,2.13,-1.0,-1.0,-1
2005-01-14,2.14,2.23,2.14,2.23,-1.0,-1.0,-1
2005-01-18,2.21,2.25,2.21,2.23,-1.0,-1.0,-1
2005-01-19,2.22,2.24,2.17,2.19,-1.0,-1.0,-1
2005-01-20,2.08,2.13,2.08,2.12,-1.0,-1.0,-1
