date,open,high,low,close,volume,average,barCount
1997-05-15,1.46,1.5,1.16,1.18,120260000.0,1.175,1
1997-05-16,1.18,1.19,1.03,1.04,24500000.0,1.0375,1
1997-05-19,1.06,1.06,0.98,1.03,10178000.0,1.025,1
1997-05-20,1.04,1.05,0.98,0.98,9112000.0,0.9815,1
1997-05-21,0.98,0.99,0.83,0.86,31422000.0,0.85625,1
1997-05-22,0.86,0.87,0.79,0.84,19456000.0,0.8375,1
1997-05-23,0.84,0.91,0.8,0.9,26562000.0,0.9,1
1997-05-27,0.91,0.99,0.88,0.95,14496000.0,0.95,1
1997-05-28,0.98,0.98,0.92,0.92,7624000.0,0.919,1
1997-05-29,0.93,0.93,0.89,0.9,5788000.0,0.90315,1
1997-05-30,0.9,0.91,0.89,0.9,4324000.0,0.9,1
1997-06-02,0.91,0.92,0.9,0.91,986000.0,0.90625,1
1997-06-03,0.92,0.92,0.89,0.89,1972000.0,0.8875,1
1997-06-04,0.89,0.89,0.84,0.85,5134000.0,0.85,1
1997-06-05,0.85,0.93,0.83,0.93,9454000.0,0.925,1
1997-06-06,0.91,1.03,0.91,0.99,13012000.0,0.99375,1
1997-06-09,0.99,1.03,0.99,1.01,3920000.0,1.0125,1
1997-06-10,1.03,1.03,0.92,0.95,9098000.0,0.95,1
1997-06-11,0.96,0.96,0.92,0.93,1980000.0,0.925,1
1997-06-12,0.95,0.99,0.93,0.96,2720000.0,0.9625,1
1997-06-13,0.98,0.98,0.95,0.95,1156000.0,0.95,1
1997-06-16,0.96,0.96,0.94,0.94,1522000.0,0.94375,1
1997-06-17,0.96,0.96,0.9,0.9,7844000.0,0.90315,1
1997-06-18,0.91,0.92,0.9,0.91,4108000.0,0.90625,1
1997-06-19,0.91,0.92,0.9,0.91,1672000.0,0.90625,1
1997-06-20,0.92,0.93,0.9,0.92,5646000.0,0.91565,1
1997-06-23,0.93,0.93,0.89,0.9,1746000.0,0.9,1
1997-06-24,0.9,0.92,0.89,0.91,1252000.0,0.90625,1
1997-06-25,0.92,0.92,0.89,0.91,3510000.0,0.90625,1
1997-06-26,0.91,0.91,0.9,0.91,5316000.0,0.90625,1
1997-06-27,0.91,0.91,0.89,0.89,1980000.0,0.89375,1
1997-06-30,0.91,0.96,0.89,0.93,4578000.0,0.925,1
1997-07-01,0.93,0.93,0.91,0.91,2154000.0,0.9094,1
1997-07-02,0.91,0.96,0.91,0.95,6470000.0,0.95315,1
1997-07-03,0.96,1.15,0.96,1.15,20962000.0,1.1469,1
