date,open,high,low,close,volume,average,barCount
2004-01-23 09:30:00-05:00,2.86,2.86,2.83,2.84,12974000.0,2.84275,2270
2004-01-23 10:00:00-05:00,2.84,2.87,2.84,2.87,23098000.0,2.8575,3987
2004-01-23 11:00:00-05:00,2.87,2.87,2.85,2.86,17144000.0,2.8568,2643
2004-01-23 12:00:00-05:00,2.86,2.88,2.86,2.87,15244000.0,2.86965,2629
2004-01-23 13:00:00-05:00,2.87,2.88,2.86,2.86,9682000.0,2.8648,1450
2004-01-23 14:00:00-05:00,2.86,2.86,2.85,2.86,13162000.0,2.85825,1865
2004-01-23 15:00:00-05:00,2.86,2.86,2.84,2.86,23700000.0,2.8554,4139
2004-01-26 09:30:00-05:00,2.84,2.84,2.82,2.83,18252000.0,2.83055,2429
2004-01-26 10:00:00-05:00,2.83,2.83,2.82,2.83,19794000.0,2.82585,3107
2004-01-26 11:00:00-05:00,2.83,2.83,2.82,2.83,11512000.0,2.8214,1853
2004-01-26 12:00:00-05:00,2.83,2.84,2.83,2.83,6898000.0,2.8297,1136
2004-01-26 13:00:00-05:00,2.83,2.85,2.82,2.84,13770000.0,2.83305,1946
2004-01-26 14:00:00-05:00,2.84,2.85,2.82,2.85,11014000.0,2.84375,2001
2004-01-26 15:00:00-05:00,2.85,2.86,2.84,2.85,23550000.0,2.84805,3447
2004-01-27 09:30:00-05:00,2.84,2.89,2.84,2.87,26530000.0,2.865,3088
2004-01-27 10:00:00-05:00,2.87,2.87,2.84,2.85,23170000.0,2.85825,3434
2004-01-27 11:00:00-05:00,2.85,2.85,2.82,2.84,26730000.0,2.8392,3533
2004-01-27 12:00:00-05:00,2.84,2.84,2.82,2.83,14496000.0,2.8285,2182
2004-01-27 13:00:00-05:00,2.83,2.84,2.8,2.82,22372000.0,2.81555,3622
2004-01-27 14:00:00-05:00,2.82,2.82,2.79,2.81,21832000.0,2.80825,3392
2004-01-27 15:00:00-05:00,2.81,2.82,2.78,2.78,46156000.0,2.7975,6115
2004-01-28 09:30:00-05:00,2.69,2.74,2.66,2.67,82880000.0,2.6841,9313
2004-01-28 10:00:00-05:00,2.67,2.71,2.65,2.71,75758000.0,2.67335,8158
2004-01-28 11:00:00-05:00,2.71,2.71,2.65,2.66,36074000.0,2.6777,4964
2004-01-28 12:00:00-05:00,2.65,2.67,2.62,2.63,51804000.0,2.6456,5733
2004-01-28 13:00:00-05:00,2.63,2.65,2.63,2.64,29410000.0,2.6377,3794
2004-01-28 14:00:00-05:00,2.64,2.65,2.61,2.62,63668000.0,2.62765,9334
2004-01-28 15:00:00-05:00,2.62,2.62,2.58,2.6,70032000.0,2.5954,9024
2004-02-02 09:30:00-05:00,2.53,2.53,2.46,2.48,27614000.0,2.48855,3548
2004-02-02 10:00:00-05:00,2.48,2.48,2.43,2.45,46328000.0,2.4463,6001
2004-02-02 11:00:00-05:00,2.45,2.48,2.44,2.47,26994000.0,2.45945,3982
2004-02-02 12:00:00-05:00,2.47,2.48,2.47,2.48,18270000.0,2.47295,2447
2004-02-02 13:00:00-05:00,2.48,2.49,2.47,2.47,14266000.0,2.4784,2000
2004-02-02 14:00:00-05:00,2.47,2.48,2.44,2.46,19792000.0,2.4608,2907
2004-02-02 15:00:00-05:00,2.46,2.46,2.4,2.41,69938000.0,2.42025,9598
2004-02-03 09:30:00-05:00,2.41,2.41,2.36,2.38,43822000.0,2.3772,5684
2004-02-03 10:00:00-05:00,2.38,2.38,2.32,2.34,76960000.0,2.3381,10407
2004-02-03 11:00:00-05:00,2.35,2.36,2.31,2.31,50346000.0,2.33725,6226
2004-02-03 12:00:00-05:00,2.31,2.34,2.31,2.33,30992000.0,2.32115,3513
2004-02-03 13:00:00-05:00,2.33,2.34,2.25,2.27,85532000.0,2.28665,9203
2004-02-03 14:00:00-05:00,2.27,2.28,2.23,2.25,100528000.0,2.256,9541
2004-02-03 15:00:00-05:00,2.24,2.27,2.23,2.25,134254000.0,2.2516,12370
