date,open,high,low,close,volume,average,barCount
2004-01-23 09:30:00-05:00,2.86,2.87,2.83,2.87,36072000.0,2.8522,6257
2004-01-23 11:00:00-05:00,2.87,2.88,2.85,2.86,55232000.0,2.8621,8587
2004-01-23 15:00:00-05:00,2.86,2.86,2.84,2.86,23700000.0,2.8554,4139
2004-01-26 09:30:00-05:00,2.84,2.84,2.82,2.83,38046000.0,2.8281,5536
2004-01-26 11:00:00-05:00,2.83,2.85,2.82,2.85,43194000.0,2.83215,6936
2004-01-26 15:00:00-05:00,2.85,2.86,2.84,2.85,23550000.0,2.84805,3447
2004-01-27 09:30:00-05:00,2.84,2.89,2.84,2.85,49700000.0,2.86185,6522
2004-01-27 11:00:00-05:00,2.85,2.85,2.79,2.81,85430000.0,2.8233,12729
2004-01-27 15:00:00-05:00,2.81,2.82,2.78,2.78,46156000.0,2.7975,6115
2004-01-28 09:30:00-05:00,2.69,2.74,2.65,2.71,158638000.0,2.67895,17471
2004-01-28 11:00:00-05:00,2.71,2.71,2.61,2.62,180956000.0,2.6444,23825
2004-01-28 15:00:00-05:00,2.62,2.62,2.58,2.6,70032000.0,2.5954,9024
2004-02-02 09:30:00-05:00,2.53,2.53,2.43,2.45,73942000.0,2.46205,9549
2004-02-02 11:00:00-05:00,2.45,2.49,2.44,2.46,79322000.0,2.4663,11336
2004-02-02 15:00:00-05:00,2.46,2.46,2.4,2.41,69938000.0,2.42025,9598
2004-02-03 09:30:00-05:00,2.41,2.41,2.32,2.34,120782000.0,2.3523,16091
2004-02-03 11:00:00-05:00,2.35,2.36,2.23,2.25,267398000.0,2.28865,28483
2004-02-03 15:00:00-05:00,2.24,2.27,2.23,2.25,134254000.0,2.2516,12370
2004-02-04 09:30:00-05:00,2.24,2.3,2.22,2.28,210122000.0,2.26545,19693
2004-02-04 11:00:00-05:00,2.28,2.29,2.25,2.27,163380000.0,2.26805,16282
2004-02-04 15:00:00-05:00,2.27,2.29,2.26,2.27,47730000.0,2.27505,6208
2004-02-05 09:30:00-05:00,2.3,2.35,2.3,2.34,112312000.0,2.3226,11389
2004-02-05 11:00:00-05:00,2.34,2.35,2.31,2.32,103454000.0,2.3358,13733
2004-02-05 15:00:00-05:00,2.32,2.32,2.3,2.3,36314000.0,2.31275,4985
2004-02-06 09:30:00-05:00,2.31,2.34,2.28,2.3,62390000.0,2.2986,9668
2004-02-06 11:00:00-05:00,2.3,2.31,2.29,2.31,39258000.0,2.30035,6311
2004-02-06 15:00:00-05:00,2.31,2.32,2.31,2.32,21960000.0,2.31445,3355
2004-02-11 09:30:00-05:00,2.29,2.3,2.28,2.3,29396000.0,2.28875,3935
2004-02-11 11:00:00-05:00,2.3,2.36,2.3,2.36,85920000.0,2.33325,12285
2004-02-11 15:00:00-05:00,2.36,2.37,2.35,2.36,33262000.0,2.3589,4658
2004-02-12 09:30:00-05:00,2.34,2.41,2.34,2.39,53558000.0,2.38075,7028
2004-02-12 11:00:00-05:00,2.39,2.39,2.35,2.36,48508000.0,2.37205,7060
2004-02-12 15:00:00-05:00,2.36,2.36,2.34,2.35,25756000.0,2.35055,3380
2004-02-13 09:30:00-05:00,2.36,2.39,2.32,2.33,43288000.0,2.35975,6791
2004-02-13 11:00:00-05:00,2.33,2.34,2.31,2.32,40416000.0,2.3273,6773
2004-02-13 15:00:00-05:00,2.32,2.33,2.31,2.32,14318000.0,2.32195,2386
2004-02-17 09:30:00-05:00,2.31,2.32,2.22,2.26,91916000.0,2.27065,12740
2004-02-17 11:00:00-05:00,2.26,2.3,2.25,2.28,80132000.0,2.26925,10684
2004-02-17 15:00:00-05:00,2.28,2.28,2.27,2.27,34818000.0,2.2751,3724
2004-02-18 09:30:00-05:00,2.27,2.27,2.23,2.24,68978000.0,2.24395,7629
2004-02-18 11:00:00-05:00,2.24,2.26,2.24,2.25,61718000.0,2.24895,7910
2004-02-18 15:00:00-05:00,2.25,2.25,2.24,2.24,21296000.0,2.2497,2496
2004-02-19 09:30:00-05:00,2.26,2.31,2.26,2.29,54436000.0,2.28265,7622
2004-02-19 11:00:00-05:00,2.29,2.29,2.25,2.25,49252000.0,2.2717,8274
2004-02-19 15:00:00-05:00,2.25,2.26,2.23,2.23,35964000.0,2.242,4587
2004-02-20 09:30:00-05:00,2.24,2.26,2.24,2.25,53342000.0,2.2509,7966
2004-02-20 11:00:00-05:00,2.25,2.27,2.24,2.26,58758000.0,2.25725,8702
2004-02-20 15:00:00-05:00,2.26,2.26,2.25,2.26,28306000.0,2.2525,2987
2004-02-23 09:30:00-05:00,2.26,2.26,2.19,2.2,63932000.0,2.2197,10073
2004-02-23 11:00:00-05:00,2.2,2.21,2.17,2.18,74950000.0,2.19045,10527
2004-02-23 15:00:00-05:00,2.18,2.2,2.17,2.2,40080000.0,2.19025,4707
2004-02-24 09:30:00-05:00,2.19,2.2,2.14,2.14,73036000.0,2.1703,10718
2004-02-24 11:00:00-05:00,2.14,2.15,2.11,2.12,111472000.0,2.1323,15954
2004-02-24 15:00:00-05:00,2.12,2.13,2.11,2.11,28744000.0,2.1196,3692
2004-02-25 09:30:00-05:00,2.13,2.16,2.13,2.15,75728000.0,2.1452,9418
2004-02-25 11:00:00-05:00,2.15,2.15,2.13,2.14,42250000.0,2.14545,5733
2004-02-25 15:00:00-05:00,2.14,2.15,2.14,2.15,19904000.0,2.14405,2608
2004-02-26 09:30:00-05:00,2.15,2.19,2.15,2.18,50840000.0,2.1768,6337
2004-02-26 11:00:00-05:00,2.18,2.19,2.18,2.18,46778000.0,2.1831,6426
2004-02-26 15:00:00-05:00,2.18,2.18,2.17,2.18,14712000.0,2.17765,2267
2004-02-27 09:30:00-05:00,2.18,2.18,2.13,2.15,57516000.0,2.1498,7858
2004-02-27 11:00:00-05:00,2.15,2.15,2.13,2.14,56536000.0,2.1393,7665
2004-02-27 15:00:00-05:00,2.14,2.15,2.14,2.15,17468000.0,2.14705,2613
2004-03-01 09:30:00-05:00,2.15,2.17,2.14,2.16,25700000.0,2.16275,4285
2004-03-01 11:00:00-05:00,2.17,2.17,2.13,2.15,45634000.0,2.14505,6589
2004-03-01 15:00:00-05:00,2.15,2.16,2.14,2.15,21610000.0,2.14915,3015
2004-03-02 09:30:00-05:00,2.13,2.17,2.13,2.15,38088000.0,2.15855,4994
2004-03-02 11:00:00-05:00,2.15,2.15,2.09,2.1,73382000.0,2.1177,10257
2004-03-02 15:00:00-05:00,2.1,2.12,2.1,2.1,22590000.0,2.10985,3188
2004-03-03 09:30:00-05:00,2.1,2.12,2.09,2.1,37892000.0,2.1044,5825
2004-03-03 11:00:00-05:00,2.1,2.15,2.08,2.14,91638000.0,2.1239,11856
2004-03-03 15:00:00-05:00,2.14,2.17,2.14,2.16,53982000.0,2.1597,6000
2004-03-04 09:30:00-05:00,2.16,2.2,2.16,2.19,61134000.0,2.1845,8031
2004-03-04 11:00:00-05:00,2.19,2.22,2.18,2.21,49384000.0,2.2002,6849
2004-03-04 15:00:00-05:00,2.21,2.22,2.2,2.22,23136000.0,2.2128,2999
2004-03-05 09:30:00-05:00,2.19,2.24,2.18,2.23,51740000.0,2.2136,7499
2004-03-05 11:00:00-05:00,2.23,2.23,2.19,2.2,55828000.0,2.20695,9814
2004-03-05 15:00:00-05:00,2.2,2.21,2.2,2.2,12864000.0,2.2062,2118
2004-03-08 09:30:00-05:00,2.19,2.25,2.19,2.24,41896000.0,2.2339,6384
2004-03-08 11:00:00-05:00,2.24,2.25,2.17,2.19,56666000.0,2.2125,8834
2004-03-08 15:00:00-05:00,2.19,2.19,2.16,2.17,26700000.0,2.17275,4291
2004-03-09 09:30:00-05:00,2.17,2.19,2.15,2.17,36418000.0,2.1721,6114
2004-03-09 11:00:00-05:00,2.17,2.17,2.12,2.13,54410000.0,2.14295,9134
2004-03-09 15:00:00-05:00,2.12,2.16,2.11,2.14,32866000.0,2.132,4664
2004-03-10 09:30:00-05:00,2.14,2.17,2.13,2.15,28258000.0,2.14595,4900
2004-03-10 11:00:00-05:00,2.15,2.15,2.08,2.09,69918000.0,2.1106,11035
2004-03-10 15:00:00-05:00,2.09,2.09,2.07,2.08,34506000.0,2.07985,5096
2004-03-11 09:30:00-05:00,2.05,2.12,2.05,2.09,49668000.0,2.094,7051
2004-03-11 11:00:00-05:00,2.09,2.11,2.08,2.08,52884000.0,2.0945,8361
2004-03-11 15:00:00-05:00,2.08,2.09,2.06,2.06,32746000.0,2.067,4346
2004-03-12 09:30:00-05:00,2.07,2.11,2.07,2.1,37052000.0,2.08975,6355
2004-03-12 11:00:00-05:00,2.1,2.12,2.1,2.12,49084000.0,2.10965,7395
2004-03-12 15:00:00-05:00,2.12,2.13,2.11,2.12,32088000.0,2.11825,3287
2004-03-15 09:30:00-05:00,2.11,2.14,2.05,2.06,42738000.0,2.0868,7062
2004-03-15 11:00:00-05:00,2.06,2.08,2.05,2.07,59874000.0,2.06805,9193
2004-03-15 15:00:00-05:00,2.07,2.07,2.05,2.06,24718000.0,2.0562,3464
2004-03-16 09:30:00-05:00,2.07,2.1,2.06,2.08,34292000.0,2.08515,5826
2004-03-16 11:00:00-05:00,2.08,2.11,2.06,2.09,61542000.0,2.0874,10442
2004-03-16 15:00:00-05:00,2.09,2.12,2.08,2.1,25836000.0,2.10225,4610
2004-03-17 09:30:00-05:00,2.15,2.17,2.14,2.15,46412000.0,2.1569,6540
2004-03-17 11:00:00-05:00,2.15,2.16,2.13,2.14,32638000.0,2.1431,5281
2004-03-17 15:00:00-05:00,2.14,2.14,2.14,2.14,16212000.0,2.13985,2337
2004-03-18 09:30:00-05:00,2.13,2.14,2.11,2.12,34166000.0,2.12465,4938
2004-03-18 11:00:00-05:00,2.12,2.16,2.11,2.14,55946000.0,2.13415,9018
2004-03-18 15:00:00-05:00,2.14,2.16,2.14,2.15,17828000.0,2.15185,3014
2004-03-19 09:30:00-05:00,2.15,2.19,2.13,2.18,40656000.0,2.1599,6258
2004-03-19 11:00:00-05:00,2.18,2.19,2.15,2.16,42658000.0,2.16595,5768
2004-03-19 15:00:00-05:00,2.16,2.16,2.14,2.14,25374000.0,2.1503,3449
2004-03-22 09:30:00-05:00,2.09,2.09,2.04,2.07,59936000.0,2.0683,8901
2004-03-22 11:00:00-05:00,2.07,2.07,2.05,2.05,64644000.0,2.05705,8886
2004-03-22 15:00:00-05:00,2.05,2.06,2.03,2.04,50108000.0,2.04105,5872
2004-03-23 09:30:00-05:00,2.07,2.09,2.01,2.02,87346000.0,2.04285,10548
2004-03-23 11:00:00-05:00,2.02,2.09,1.99,2.05,99518000.0,2.0204,14543
2004-03-23 15:00:00-05:00,2.05,2.05,2.01,2.02,27000000.0,2.03495,3694
2004-03-24 09:30:00-05:00,1.98,1.99,1.97,1.98,17328000.0,1.98245,2574
2004-03-24 11:00:00-05:00,1.98,2.01,1.96,1.99,76024000.0,1.9845,11748
2004-03-24 15:00:00-05:00,1.99,1.99,1.97,1.99,19850000.0,1.98245,3258
2004-03-25 09:30:00-05:00,2.0,2.08,2.0,2.03,39460000.0,2.0226,5901
2004-03-25 11:00:00-05:00,2.03,2.09,2.03,2.08,63850000.0,2.0658,8991
2004-03-25 15:00:00-05:00,2.08,2.11,2.08,2.1,30904000.0,2.09945,4360
2004-03-26 09:30:00-05:00,2.1,2.12,2.07,2.09,45194000.0,2.09315,7312
2004-03-26 11:00:00-05:00,2.09,2.1,1.97,2.1,40308000.0,2.07935,5880
2004-03-26 15:00:00-05:00,2.1,2.11,2.08,2.09,23062000.0,2.09765,3869
2004-03-29 09:30:00-05:00,2.1,2.13,2.1,2.11,33164000.0,2.1145,4952
2004-03-29 11:00:00-05:00,2.11,2.14,2.11,2.13,39160000.0,2.1271,5003
2004-03-29 15:00:00-05:00,2.13,2.14,2.12,2.14,20788000.0,2.1313,2894
2004-03-30 09:30:00-05:00,2.13,2.17,2.13,2.16,36618000.0,2.14965,5242
2004-03-30 11:00:00-05:00,2.16,2.19,2.15,2.18,42080000.0,2.15955,6278
2004-03-30 15:00:00-05:00,2.18,2.2,2.18,2.19,24596000.0,2.1892,3585
2004-03-31 09:30:00-05:00,2.19,2.19,2.15,2.17,36000000.0,2.1696,5498
2004-03-31 11:00:00-05:00,2.17,2.2,2.16,2.2,29242000.0,2.179,4779
2004-03-31 15:00:00-05:00,2.2,2.2,2.16,2.16,21504000.0,2.1759,3024
2004-04-01 09:30:00-05:00,2.17,2.21,2.17,2.2,29382000.0,2.1838,4733
2004-04-01 11:00:00-05:00,2.2,2.23,2.2,2.23,57470000.0,2.2152,7461
2004-04-01 15:00:00-05:00,2.23,2.24,2.22,2.24,27314000.0,2.22815,3445
2004-04-02 09:30:00-05:00,2.3,2.31,2.26,2.28,52358000.0,2.2826,7804
2004-04-02 11:00:00-05:00,2.28,2.31,2.28,2.29,69642000.0,2.29735,10643
2004-04-02 15:00:00-05:00,2.29,2.31,2.29,2.3,22386000.0,2.29835,3316
2004-04-05 09:30:00-04:00,2.28,2.32,2.28,2.32,51580000.0,2.3054,7568
2004-04-05 12:00:00-04:00,2.32,2.35,2.32,2.35,57838000.0,2.33615,9001
2004-04-06 09:30:00-04:00,2.32,2.35,2.3,2.3,61122000.0,2.3228,8148
2004-04-06 12:00:00-04:00,2.3,2.33,2.29,2.32,49112000.0,2.30905,7453
2004-04-07 09:30:00-04:00,2.31,2.34,2.28,2.28,38410000.0,2.30625,6510
2004-04-07 12:00:00-04:00,2.28,2.31,2.27,2.29,47208000.0,2.2861,7797
2004-04-08 09:30:00-04:00,2.39,2.39,2.35,2.37,71638000.0,2.36955,9813
2004-04-08 12:00:00-04:00,2.37,2.41,2.37,2.41,74868000.0,2.38965,10444
2004-04-12 09:30:00-04:00,2.4,2.42,2.38,2.41,48078000.0,2.39495,7193
2004-04-12 12:00:00-04:00,2.41,2.42,2.38,2.4,36452000.0,2.39905,5505
2004-04-13 09:30:00-04:00,2.4,2.42,2.36,2.37,46058000.0,2.3824,7374
