date,open,high,low,close,volume,average,barCount
2015-10-05,31.6,32.16,31.34,32.07,-1.0,-1.0,-1
2015-10-06,32.05,32.48,31.84,32.28,-1.0,-1.0,-1
2015-10-07,32.55,32.61,31.63,32.12,-1.0,-1.0,-1
2015-10-08,32.13,32.24,31.29,31.96,-1.0,-1.0,-1
2015-10-09,32.05,32.3,31.77,32.18,-1.0,-1.0,-1
2015-10-12,32.14,32.44,32.0,32.34,-1.0,-1.0,-1
2015-10-13,32.23,32.9,32.17,32.62,-1.0,-1.0,-1
2015-10-14,32.7,32.98,32.45,32.56,-1.0,-1.0,-1
2015-10-15,32.76,33.16,32.75,33.09,-1.0,-1.0,-1
2015-10-16,33.23,33.25,32.88,33.11,-1.0,-1.0,-1
2015-10-19,33.1,33.34,33.01,33.32,-1.0,-1.0,-1
2015-10-20,33.25,33.27,32.21,32.52,-1.0,-1.0,-1
2015-10-21,32.7,32.8,32.09,32.14,-1.0,-1.0,-1
2015-10-22,32.42,32.9,32.21,32.59,-1.0,-1.0,-1
2015-10-23,36.43,36.5,35.12,35.19,-1.0,-1.0,-1
2015-10-26,35.16,35.96,35.1,35.64,-1.0,-1.0,-1
2015-10-27,35.39,35.68,35.24,35.43,-1.0,-1.0,-1
2015-10-28,35.48,35.65,35.19,35.65,-1.0,-1.0,-1
2015-10-29,35.57,35.92,35.52,35.85,-1.0,-1.0,-1
2015-10-30,35.82,35.9,35.51,35.54,-1.0,-1.0,-1
2015-11-02,35.67,36.08,35.31,36.06,-1.0,-1.0,-1
2015-11-03,36.0,36.24,35.74,36.11,-1.0,-1.0,-1
2015-11-04,36.16,36.66,36.1,36.41,-1.0,-1.0,-1
2015-11-05,36.5,36.97,36.5,36.58,-1.0,-1.0,-1
2015-11-06,36.56,36.78,36.36,36.69,-1.0,-1.0,-1
2015-11-09,36.55,36.74,35.99,36.24,-1.0,-1.0,-1
2015-11-10,36.29,36.53,35.94,36.42,-1.0,-1.0,-1
2015-11-11,36.63,37.05,36.53,36.78,-1.0,-1.0,-1
2015-11-12,36.56,36.9,36.45,36.56,-1.0,-1.0,-1
2015-11-13,36.58,36.58,35.84,35.86,-1.0,-1.0,-1
2015-11-16,35.8,36.48,35.59,36.45,-1.0,-1.0,-1
2015-11-17,36.54,36.59,36.16,36.27,-1.0,-1.0,-1
2015-11-18,36.46,37.07,36.36,37.0,-1.0,-1.0,-1
2015-11-19,37.01,37.1,36.9,36.91,-1.0,-1.0,-1
2015-11-20,37.38,37.9,37.2,37.83,-1.0,-1.0,-1
2015-11-23,37.88,38.14,37.61,37.8,-1.0,-1.0,-1
2015-11-24,37.66,37.77,36.9,37.41,-1.0,-1.0,-1
2015-11-25,37.48,37.62,37.32,37.44,-1.0,-1.0,-1
2015-11-27,37.54,37.67,37.39,37.52,-1.0,-1.0,-1
2015-11-30,37.53,37.75,37.08,37.16,-1.0,-1.0,-1
2015-12-01,37.41,38.45,37.37,38.36,-1.0,-1.0,-1
2015-12-02,38.44,38.81,37.95,38.13,-1.0,-1.0,-1
2015-12-03,38.38,38.45,37.29,37.65,-1.0,-1.0,-1
2015-12-04,37.8,38.43,37.53,38.34,-1.0,-1.0,-1
2015-12-07,38.4,38.44,37.76,38.16,-1.0,-1.0,-1
2015-12-08,37.94,38.24,37.71,38.12,-1.0,-1.0,-1
2015-12-09,38.02,38.22,36.86,37.58,-1.0,-1.0,-1
2015-12-10,37.7,37.8,37.23,37.47,-1.0,-1.0,-1
2015-12-11,37.17,37.29,36.85,36.94,-1.0,-1.0,-1
2015-12-14,37.15,37.44,36.25,37.41,-1.0,-1.0,-1
2015-12-15,37.69,37.91,37.17,37.19,-1.0,-1.0,-1
2015-12-16,37.54,38.04,36.99,37.91,-1.0,-1.0,-1
2015-12-17,38.13,38.15,37.47,37.5,-1.0,-1.0,-1
2015-12-18,37.44,37.71,36.94,36.99,-1.0,-1.0,-1
2015-12-21,37.33,37.5,37.01,37.39,-1.0,-1.0,-1
2015-12-22,37.61,37.75,37.29,37.5,-1.0,-1.0,-1
2015-12-23,37.72,37.72,37.2,37.52,-1.0,-1.0,-1
2015-12-24,37.52,37.57,37.34,37.42,-1.0,-1.0,-1
2015-12-28,37.66,38.15,37.48,38.14,-1.0,-1.0,-1
2015-12-29,38.35,39.0,38.33,38.84,-1.0,-1.0,-1
2015-12-30,38.83,38.89,38.38,38.55,-1.0,-1.0,-1
2015-12-31,38.5,38.5,37.92,37.95,-1.0,-1.0,-1
2016-01-04,37.22,37.22,36.58,37.09,-1.0,-1.0,-1
2016-01-05,37.33,37.6,36.95,37.13,-1.0,-1.0,-1
2016-01-06,36.55,37.36,36.45,37.2,-1.0,-1.0,-1
2016-01-07,36.62,36.93,35.98,36.22,-1.0,-1.0,-1
2016-01-08,36.7,36.7,35.66,35.73,-1.0,-1.0,-1
2016-01-11,35.84,35.95,35.18,35.79,-1.0,-1.0,-1
2016-01-12,36.19,36.44,35.88,36.31,-1.0,-1.0,-1
2016-01-13,36.57,36.74,34.96,35.05,-1.0,-1.0,-1
2016-01-14,35.33,36.11,34.47,35.74,-1.0,-1.0,-1
2016-01-15,34.77,35.35,34.29,34.73,-1.0,-1.0,-1
2016-01-19,35.22,35.5,34.69,35.1,-1.0,-1.0,-1
2016-01-20,34.54,35.35,33.67,34.93,-1.0,-1.0,-1
2016-01-21,35.22,35.96,34.75,35.35,-1.0,-1.0,-1
2016-01-22,36.2,36.41,36.05,36.26,-1.0,-1.0,-1
2016-01-25,36.15,36.49,35.52,35.6,-1.0,-1.0,-1
2016-01-26,35.81,35.93,35.35,35.66,-1.0,-1.0,-1
2016-01-27,35.75,35.91,34.73,35.0,-1.0,-1.0,-1
2016-01-28,36.16,36.69,35.63,36.56,-1.0,-1.0,-1
2016-01-29,36.6,37.25,36.38,37.15,-1.0,-1.0,-1
2016-02-01,37.57,37.9,37.18,37.53,-1.0,-1.0,-1
2016-02-02,39.43,39.5,38.23,38.24,-1.0,-1.0,-1
2016-02-03,38.6,38.74,36.04,36.35,-1.0,-1.0,-1
2016-02-04,36.25,36.35,35.1,35.41,-1.0,-1.0,-1
2016-02-05,35.22,35.22,34.02,34.18,-1.0,-1.0,-1
2016-02-08,33.4,34.2,33.17,34.18,-1.0,-1.0,-1
2016-02-09,33.63,35.0,33.46,33.91,-1.0,-1.0,-1
2016-02-10,34.42,35.07,34.16,34.22,-1.0,-1.0,-1
2016-02-11,33.83,34.47,33.46,34.14,-1.0,-1.0,-1
2016-02-12,34.59,34.69,33.95,34.12,-1.0,-1.0,-1
2016-02-16,34.75,34.9,34.28,34.55,-1.0,-1.0,-1
2016-02-17,34.95,35.49,34.58,35.42,-1.0,-1.0,-1
2016-02-18,35.55,35.62,34.8,34.87,-1.0,-1.0,-1
2016-02-19,34.8,35.16,34.73,35.04,-1.0,-1.0,-1
2016-02-22,35.43,35.67,35.14,35.34,-1.0,-1.0,-1
2016-02-23,35.21,35.44,34.7,34.79,-1.0,-1.0,-1
2016-02-24,34.47,35.0,34.06,34.98,-1.0,-1.0,-1
2016-02-25,35.01,35.3,34.55,35.29,-1.0,-1.0,-1
2016-02-26,35.46,35.67,35.04,35.25,-1.0,-1.0,-1
2016-02-29,35.03,35.55,34.9,34.9,-1.0,-1.0,-1
2016-03-01,35.2,35.94,35.0,35.94,-1.0,-1.0,-1
2016-03-02,36.0,36.0,35.62,35.94,-1.0,-1.0,-1
2016-03-03,35.93,35.99,35.38,35.62,-1.0,-1.0,-1
2016-03-04,35.74,35.83,35.31,35.55,-1.0,-1.0,-1
2016-03-07,35.31,35.41,34.35,34.76,-1.0,-1.0,-1
2016-03-08,34.65,35.2,34.28,34.7,-1.0,-1.0,-1
2016-03-09,34.95,35.29,34.74,35.26,-1.0,-1.0,-1
2016-03-10,35.49,35.83,35.24,35.66,-1.0,-1.0,-1
2016-03-11,36.02,36.35,35.87,36.34,-1.0,-1.0,-1
2016-03-14,36.34,36.77,36.33,36.53,-1.0,-1.0,-1
2016-03-15,36.4,36.62,36.24,36.42,-1.0,-1.0,-1
2016-03-16,36.33,36.87,36.24,36.82,-1.0,-1.0,-1
2016-03-17,36.85,37.16,36.8,36.89,-1.0,-1.0,-1
2016-03-18,37.09,37.13,36.61,36.88,-1.0,-1.0,-1
2016-03-21,36.83,37.14,36.69,37.11,-1.0,-1.0,-1
2016-03-22,36.96,37.25,36.9,37.05,-1.0,-1.0,-1
2016-03-23,37.2,37.3,36.81,36.91,-1.0,-1.0,-1
2016-03-24,36.61,36.89,36.55,36.77,-1.0,-1.0,-1
2016-03-28,36.9,36.95,36.64,36.68,-1.0,-1.0,-1
2016-03-29,36.71,37.37,36.45,37.24,-1.0,-1.0,-1
2016-03-30,37.52,37.89,37.45,37.54,-1.0,-1.0,-1
