date,open,high,low,close,volume,average,barCount
2015-10-05,31.57,32.14,31.33,32.06,-1.0,-1.0,-1
2015-10-06,31.91,32.46,31.83,32.25,-1.0,-1.0,-1
2015-10-07,32.45,32.51,31.61,32.11,-1.0,-1.0,-1
2015-10-08,31.91,32.21,31.28,31.95,-1.0,-1.0,-1
2015-10-09,31.9,32.29,31.72,32.17,-1.0,-1.0,-1
2015-10-12,32.07,32.43,31.95,32.33,-1.0,-1.0,-1
2015-10-13,32.15,32.88,32.13,32.6,-1.0,-1.0,-1
2015-10-14,32.6,32.95,32.43,32.55,-1.0,-1.0,-1
2015-10-15,32.66,33.15,32.66,33.08,-1.0,-1.0,-1
2015-10-16,33.07,33.22,32.86,33.1,-1.0,-1.0,-1
2015-10-19,33.03,33.33,32.98,33.31,-1.0,-1.0,-1
2015-10-20,33.19,33.22,32.2,32.5,-1.0,-1.0,-1
2015-10-21,32.65,32.75,32.09,32.12,-1.0,-1.0,-1
2015-10-22,32.33,32.87,32.2,32.57,-1.0,-1.0,-1
2015-10-23,36.38,36.45,35.05,35.09,-1.0,-1.0,-1
2015-10-26,35.06,35.95,35.02,35.63,-1.0,-1.0,-1
2015-10-27,35.36,35.68,35.23,35.42,-1.0,-1.0,-1
2015-10-28,35.35,35.65,35.15,35.65,-1.0,-1.0,-1
2015-10-29,35.5,35.91,35.44,35.84,-1.0,-1.0,-1
2015-10-30,35.75,35.88,35.5,35.54,-1.0,-1.0,-1
2015-11-02,35.56,36.08,35.28,36.04,-1.0,-1.0,-1
2015-11-03,35.93,36.23,35.73,36.09,-1.0,-1.0,-1
2015-11-04,36.05,36.65,36.0,36.41,-1.0,-1.0,-1
2015-11-05,36.46,36.96,36.46,36.56,-1.0,-1.0,-1
2015-11-06,36.51,36.77,36.35,36.68,-1.0,-1.0,-1
2015-11-09,36.48,36.73,35.97,36.23,-1.0,-1.0,-1
2015-11-10,36.12,36.52,35.93,36.42,-1.0,-1.0,-1
2015-11-11,36.56,37.05,36.5,36.77,-1.0,-1.0,-1
2015-11-12,36.5,36.87,36.43,36.56,-1.0,-1.0,-1
2015-11-13,36.46,36.55,35.83,35.85,-1.0,-1.0,-1
2015-11-16,35.7,36.47,35.55,36.44,-1.0,-1.0,-1
2015-11-17,36.41,36.57,36.15,36.26,-1.0,-1.0,-1
2015-11-18,36.4,37.07,36.33,37.0,-1.0,-1.0,-1
2015-11-19,36.93,37.08,36.87,36.91,-1.0,-1.0,-1
2015-11-20,37.27,37.89,37.15,37.82,-1.0,-1.0,-1
2015-11-23,37.85,38.14,37.59,37.78,-1.0,-1.0,-1
2015-11-24,37.58,37.76,36.88,37.41,-1.0,-1.0,-1
2015-11-25,37.39,37.6,37.3,37.41,-1.0,-1.0,-1
2015-11-27,37.42,37.67,37.35,37.51,-1.0,-1.0,-1
2015-11-30,37.45,37.73,37.06,37.13,-1.0,-1.0,-1
2015-12-01,37.26,38.45,37.26,38.35,-1.0,-1.0,-1
2015-12-02,38.36,38.79,37.93,38.12,-1.0,-1.0,-1
2015-12-03,38.26,38.43,37.27,37.63,-1.0,-1.0,-1
2015-12-04,37.67,38.42,37.5,38.32,-1.0,-1.0,-1
2015-12-07,38.33,38.41,37.75,38.15,-1.0,-1.0,-1
2015-12-08,37.8,38.24,37.7,38.12,-1.0,-1.0,-1
2015-12-09,37.89,38.21,36.85,37.57,-1.0,-1.0,-1
2015-12-10,37.6,37.79,37.18,37.47,-1.0,-1.0,-1
2015-12-11,36.95,37.29,36.84,36.94,-1.0,-1.0,-1
2015-12-14,37.0,37.43,36.2,37.41,-1.0,-1.0,-1
2015-12-15,37.6,37.89,37.15,37.17,-1.0,-1.0,-1
2015-12-16,37.38,38.02,36.96,37.9,-1.0,-1.0,-1
2015-12-17,38.07,38.1,37.45,37.47,-1.0,-1.0,-1
2015-12-18,37.27,37.7,36.9,36.97,-1.0,-1.0,-1
2015-12-21,37.25,37.47,37.0,37.37,-1.0,-1.0,-1
2015-12-22,37.48,37.74,37.28,37.5,-1.0,-1.0,-1
2015-12-23,37.65,37.7,37.2,37.52,-1.0,-1.0,-1
2015-12-24,37.38,37.56,37.32,37.41,-1.0,-1.0,-1
2015-12-28,37.52,38.15,37.47,38.13,-1.0,-1.0,-1
2015-12-29,38.25,38.99,38.25,38.83,-1.0,-1.0,-1
2015-12-30,38.75,38.85,38.35,38.54,-1.0,-1.0,-1
2015-12-31,38.39,38.46,37.91,37.95,-1.0,-1.0,-1
2016-01-04,37.08,37.15,36.56,37.09,-1.0,-1.0,-1
2016-01-05,37.2,37.59,36.91,37.12,-1.0,-1.0,-1
2016-01-06,36.49,37.35,36.44,37.18,-1.0,-1.0,-1
2016-01-07,36.51,36.9,35.95,36.21,-1.0,-1.0,-1
2016-01-08,36.57,36.64,35.65,35.71,-1.0,-1.0,-1
2016-01-11,35.72,35.94,35.15,35.79,-1.0,-1.0,-1
2016-01-12,36.08,36.44,35.86,36.3,-1.0,-1.0,-1
2016-01-13,36.5,36.72,34.92,35.03,-1.0,-1.0,-1
2016-01-14,35.18,36.09,34.45,35.72,-1.0,-1.0,-1
2016-01-15,34.6,35.33,34.26,34.73,-1.0,-1.0,-1
2016-01-19,35.18,35.46,34.67,35.09,-1.0,-1.0,-1
2016-01-20,34.43,35.32,33.65,34.92,-1.0,-1.0,-1
2016-01-21,35.04,35.95,34.72,35.33,-1.0,-1.0,-1
2016-01-22,36.1,36.4,36.0,36.23,-1.0,-1.0,-1
2016-01-25,36.12,36.47,35.5,35.57,-1.0,-1.0,-1
2016-01-26,35.64,35.91,35.31,35.65,-1.0,-1.0,-1
2016-01-27,35.54,35.89,34.7,34.98,-1.0,-1.0,-1
2016-01-28,35.93,36.66,35.6,36.54,-1.0,-1.0,-1
2016-01-29,36.3,37.23,36.25,37.13,-1.0,-1.0,-1
2016-02-01,37.46,37.89,37.15,37.5,-1.0,-1.0,-1
2016-02-02,39.2,39.49,38.23,38.23,-1.0,-1.0,-1
2016-02-03,38.39,38.71,36.02,36.34,-1.0,-1.0,-1
2016-02-04,36.12,36.33,35.09,35.4,-1.0,-1.0,-1
2016-02-05,35.14,35.2,34.01,34.17,-1.0,-1.0,-1
2016-02-08,33.39,34.18,33.15,34.15,-1.0,-1.0,-1
2016-02-09,33.59,34.98,33.43,33.88,-1.0,-1.0,-1
2016-02-10,34.36,35.05,34.1,34.2,-1.0,-1.0,-1
2016-02-11,33.71,34.44,33.44,34.13,-1.0,-1.0,-1
2016-02-12,34.51,34.63,33.91,34.1,-1.0,-1.0,-1
2016-02-16,34.58,34.86,34.25,34.53,-1.0,-1.0,-1
2016-02-17,34.9,35.48,34.56,35.42,-1.0,-1.0,-1
2016-02-18,35.48,35.59,34.8,34.86,-1.0,-1.0,-1
2016-02-19,34.75,35.15,34.7,35.04,-1.0,-1.0,-1
2016-02-22,35.41,35.66,35.1,35.31,-1.0,-1.0,-1
2016-02-23,35.02,35.4,34.68,34.77,-1.0,-1.0,-1
2016-02-24,34.47,34.99,34.04,34.96,-1.0,-1.0,-1
2016-02-25,35.0,35.29,34.53,35.28,-1.0,-1.0,-1
2016-02-26,35.42,35.66,35.04,35.25,-1.0,-1.0,-1
2016-02-29,35.02,35.54,34.88,34.88,-1.0,-1.0,-1
2016-03-01,35.09,35.94,34.98,35.93,-1.0,-1.0,-1
2016-03-02,35.97,35.98,35.6,35.93,-1.0,-1.0,-1
