date,open,high,low,close,volume,average,barCount
2015-10-05,31.59,32.15,31.33,32.07,-1.0,-1.0,-1
2015-10-06,31.98,32.47,31.84,32.26,-1.0,-1.0,-1
2015-10-07,32.5,32.53,31.62,32.11,-1.0,-1.0,-1
2015-10-08,32.02,32.21,31.29,31.96,-1.0,-1.0,-1
2015-10-09,31.98,32.29,31.76,32.17,-1.0,-1.0,-1
2015-10-12,32.1,32.43,31.97,32.34,-1.0,-1.0,-1
2015-10-13,32.19,32.89,32.16,32.61,-1.0,-1.0,-1
2015-10-14,32.65,32.96,32.44,32.55,-1.0,-1.0,-1
2015-10-15,32.71,33.15,32.71,33.08,-1.0,-1.0,-1
2015-10-16,33.15,33.24,32.87,33.11,-1.0,-1.0,-1
2015-10-19,33.06,33.33,33.0,33.31,-1.0,-1.0,-1
2015-10-20,33.22,33.24,32.21,32.51,-1.0,-1.0,-1
2015-10-21,32.68,32.76,32.09,32.13,-1.0,-1.0,-1
2015-10-22,32.37,32.88,32.21,32.58,-1.0,-1.0,-1
2015-10-23,36.4,36.48,35.08,35.14,-1.0,-1.0,-1
2015-10-26,35.11,35.96,35.08,35.64,-1.0,-1.0,-1
2015-10-27,35.37,35.68,35.23,35.43,-1.0,-1.0,-1
2015-10-28,35.42,35.65,35.17,35.65,-1.0,-1.0,-1
2015-10-29,35.54,35.91,35.51,35.84,-1.0,-1.0,-1
2015-10-30,35.79,35.89,35.51,35.54,-1.0,-1.0,-1
2015-11-02,35.61,36.08,35.3,36.05,-1.0,-1.0,-1
2015-11-03,35.96,36.23,35.73,36.1,-1.0,-1.0,-1
2015-11-04,36.1,36.65,36.05,36.41,-1.0,-1.0,-1
2015-11-05,36.48,36.96,36.48,36.57,-1.0,-1.0,-1
2015-11-06,36.53,36.77,36.36,36.68,-1.0,-1.0,-1
2015-11-09,36.51,36.73,35.98,36.24,-1.0,-1.0,-1
2015-11-10,36.21,36.52,35.94,36.42,-1.0,-1.0,-1
2015-11-11,36.6,37.05,36.52,36.77,-1.0,-1.0,-1
2015-11-12,36.53,36.88,36.44,36.56,-1.0,-1.0,-1
2015-11-13,36.52,36.55,35.84,35.85,-1.0,-1.0,-1
2015-11-16,35.75,36.48,35.57,36.44,-1.0,-1.0,-1
2015-11-17,36.47,36.58,36.15,36.26,-1.0,-1.0,-1
2015-11-18,36.43,37.07,36.35,37.0,-1.0,-1.0,-1
2015-11-19,36.97,37.09,36.88,36.91,-1.0,-1.0,-1
2015-11-20,37.33,37.89,37.17,37.82,-1.0,-1.0,-1
2015-11-23,37.87,38.14,37.6,37.79,-1.0,-1.0,-1
2015-11-24,37.62,37.76,36.89,37.41,-1.0,-1.0,-1
2015-11-25,37.43,37.61,37.31,37.42,-1.0,-1.0,-1
2015-11-27,37.48,37.67,37.37,37.52,-1.0,-1.0,-1
2015-11-30,37.49,37.74,37.07,37.15,-1.0,-1.0,-1
2015-12-01,37.33,38.45,37.32,38.35,-1.0,-1.0,-1
2015-12-02,38.4,38.8,37.94,38.13,-1.0,-1.0,-1
2015-12-03,38.32,38.43,37.29,37.64,-1.0,-1.0,-1
2015-12-04,37.73,38.42,37.52,38.33,-1.0,-1.0,-1
2015-12-07,38.37,38.42,37.76,38.16,-1.0,-1.0,-1
2015-12-08,37.87,38.24,37.71,38.12,-1.0,-1.0,-1
2015-12-09,37.95,38.21,36.85,37.58,-1.0,-1.0,-1
2015-12-10,37.65,37.79,37.21,37.47,-1.0,-1.0,-1
2015-12-11,37.06,37.29,36.85,36.94,-1.0,-1.0,-1
2015-12-14,37.08,37.43,36.23,37.41,-1.0,-1.0,-1
2015-12-15,37.65,37.9,37.16,37.18,-1.0,-1.0,-1
2015-12-16,37.46,38.03,36.97,37.91,-1.0,-1.0,-1
2015-12-17,38.1,38.12,37.47,37.48,-1.0,-1.0,-1
2015-12-18,37.36,37.71,36.93,36.98,-1.0,-1.0,-1
2015-12-21,37.29,37.48,37.0,37.38,-1.0,-1.0,-1
2015-12-22,37.54,37.74,37.29,37.5,-1.0,-1.0,-1
2015-12-23,37.69,37.71,37.2,37.52,-1.0,-1.0,-1
2015-12-24,37.45,37.57,37.33,37.41,-1.0,-1.0,-1
2015-12-28,37.59,38.15,37.48,38.13,-1.0,-1.0,-1
2015-12-29,38.3,39.0,38.3,38.84,-1.0,-1.0,-1
2015-12-30,38.79,38.87,38.36,38.55,-1.0,-1.0,-1
2015-12-31,38.45,38.48,37.92,37.95,-1.0,-1.0,-1
2016-01-04,37.15,37.19,36.57,37.09,-1.0,-1.0,-1
2016-01-05,37.27,37.59,36.93,37.12,-1.0,-1.0,-1
2016-01-06,36.52,37.36,36.44,37.19,-1.0,-1.0,-1
2016-01-07,36.57,36.91,35.97,36.21,-1.0,-1.0,-1
2016-01-08,36.64,36.66,35.65,35.72,-1.0,-1.0,-1
2016-01-11,35.78,35.94,35.17,35.79,-1.0,-1.0,-1
2016-01-12,36.13,36.44,35.87,36.31,-1.0,-1.0,-1
