date,open,high,low,close,volume,average,barCount
2012-05-18,42.1,44.67,38.01,38.2,-1.0,-1.0,-1
2012-05-21,36.55,36.61,33.01,34.03,-1.0,-1.0,-1
2012-05-22,32.64,33.59,30.96,31.1,-1.0,-1.0,-1
2012-05-23,31.41,32.5,31.36,32.0,-1.0,-1.0,-1
2012-05-24,32.99,33.21,31.79,33.03,-1.0,-1.0,-1
2012-05-25,32.9,32.94,31.12,31.9,-1.0,-1.0,-1
2012-05-29,31.48,31.7,28.66,28.83,-1.0,-1.0,-1
2012-05-30,28.7,29.55,27.87,28.18,-1.0,-1.0,-1
2012-05-31,28.55,29.62,26.84,29.62,-1.0,-1.0,-1
2012-06-01,28.93,29.15,27.4,27.7,-1.0,-1.0,-1
2012-06-04,27.22,27.65,26.45,26.9,-1.0,-1.0,-1
2012-06-05,26.69,27.76,25.76,25.87,-1.0,-1.0,-1
2012-06-06,26.09,27.17,25.52,26.81,-1.0,-1.0,-1
2012-06-07,27.0,27.35,26.16,26.3,-1.0,-1.0,-1
2012-06-08,26.57,27.76,26.45,27.09,-1.0,-1.0,-1
2012-06-11,27.18,28.07,26.84,27.02,-1.0,-1.0,-1
2012-06-12,27.47,27.77,26.97,27.39,-1.0,-1.0,-1
2012-06-13,27.65,28.1,27.11,27.27,-1.0,-1.0,-1
2012-06-14,27.67,28.32,27.39,28.3,-1.0,-1.0,-1
2012-06-15,28.53,30.1,28.38,30.02,-1.0,-1.0,-1
2012-06-18,29.97,32.08,29.42,31.41,-1.0,-1.0,-1
2012-06-19,31.56,32.18,30.71,31.92,-1.0,-1.0,-1
2012-06-20,31.89,31.93,31.16,31.6,-1.0,-1.0,-1
2012-06-21,31.69,32.5,31.51,31.84,-1.0,-1.0,-1
2012-06-22,32.35,33.45,32.07,33.19,-1.0,-1.0,-1
2012-06-25,32.88,33.03,31.56,32.06,-1.0,-1.0,-1
2012-06-26,32.7,33.44,32.51,33.1,-1.0,-1.0,-1
2012-06-27,32.49,32.9,31.91,32.22,-1.0,-1.0,-1
