date,open,high,low,close,volume,average,barCount
2012-05-18 09:30:00-04:00,42.1,44.67,38.01,38.85,-1.0,-1.0,-1
2012-05-18 12:00:00-04:00,38.85,41.95,38.01,38.2,-1.0,-1.0,-1
2012-05-21 09:30:00-04:00,36.55,36.61,33.01,33.74,-1.0,-1.0,-1
2012-05-21 12:00:00-04:00,33.74,35.05,33.51,34.03,-1.0,-1.0,-1
2012-05-22 09:30:00-04:00,32.64,33.59,31.0,32.94,-1.0,-1.0,-1
2012-05-22 12:00:00-04:00,32.94,33.15,30.96,31.1,-1.0,-1.0,-1
2012-05-23 09:30:00-04:00,31.41,32.5,31.36,31.65,-1.0,-1.0,-1
2012-05-23 12:00:00-04:00,31.65,32.4,31.46,32.0,-1.0,-1.0,-1
2012-05-24 09:30:00-04:00,32.99,33.21,31.79,32.01,-1.0,-1.0,-1
2012-05-24 12:00:00-04:00,32.01,33.03,31.97,33.03,-1.0,-1.0,-1
2012-05-25 09:30:00-04:00,32.9,32.94,31.75,31.89,-1.0,-1.0,-1
2012-05-25 12:00:00-04:00,31.89,31.97,31.12,31.9,-1.0,-1.0,-1
2012-05-29 09:30:00-04:00,31.48,31.7,29.8,29.8,-1.0,-1.0,-1
2012-05-29 12:00:00-04:00,29.8,29.94,28.66,28.83,-1.0,-1.0,-1
2012-05-30 09:30:00-04:00,28.7,29.55,28.26,28.83,-1.0,-1.0,-1
2012-05-30 12:00:00-04:00,28.83,28.85,27.87,28.18,-1.0,-1.0,-1
2012-05-31 09:30:00-04:00,28.55,28.66,26.84,27.18,-1.0,-1.0,-1
2012-05-31 12:00:00-04:00,27.18,29.62,26.86,29.62,-1.0,-1.0,-1
2012-06-01 09:30:00-04:00,28.93,29.15,27.66,28.08,-1.0,-1.0,-1
2012-06-01 12:00:00-04:00,28.08,28.25,27.4,27.7,-1.0,-1.0,-1
2012-06-04 09:30:00-04:00,27.22,27.65,26.58,26.84,-1.0,-1.0,-1
2012-06-04 12:00:00-04:00,26.84,27.53,26.45,26.9,-1.0,-1.0,-1
2012-06-05 09:30:00-04:00,26.69,27.76,26.51,26.55,-1.0,-1.0,-1
2012-06-05 12:00:00-04:00,26.55,26.64,25.76,25.87,-1.0,-1.0,-1
2012-06-06 09:30:00-04:00,26.09,26.64,25.52,26.15,-1.0,-1.0,-1
2012-06-06 12:00:00-04:00,26.15,27.17,25.7,26.81,-1.0,-1.0,-1
2012-06-07 09:30:00-04:00,27.0,27.35,26.28,26.58,-1.0,-1.0,-1
2012-06-07 12:00:00-04:00,26.58,27.13,26.16,26.3,-1.0,-1.0,-1
2012-06-08 09:30:00-04:00,26.57,27.76,26.45,27.26,-1.0,-1.0,-1
2012-06-08 12:00:00-04:00,27.26,27.37,26.89,27.09,-1.0,-1.0,-1
2012-06-11 09:30:00-04:00,27.18,28.07,27.15,27.61,-1.0,-1.0,-1
2012-06-11 12:00:00-04:00,27.61,28.01,26.84,27.02,-1.0,-1.0,-1
2012-06-12 09:30:00-04:00,27.47,27.77,27.07,27.59,-1.0,-1.0,-1
2012-06-12 12:00:00-04:00,27.59,27.63,26.97,27.39,-1.0,-1.0,-1
2012-06-13 09:30:00-04:00,27.65,28.1,27.45,27.58,-1.0,-1.0,-1
2012-06-13 12:00:00-04:00,27.58,27.59,27.11,27.27,-1.0,-1.0,-1
2012-06-14 09:30:00-04:00,27.67,27.86,27.39,27.74,-1.0,-1.0,-1
2012-06-14 12:00:00-04:00,27.74,28.32,27.62,28.3,-1.0,-1.0,-1
2012-06-15 09:30:00-04:00,28.53,29.09,28.38,28.62,-1.0,-1.0,-1
2012-06-15 12:00:00-04:00,28.62,30.1,28.62,30.02,-1.0,-1.0,-1
2012-06-18 09:30:00-04:00,29.97,31.19,29.42,31.12,-1.0,-1.0,-1
2012-06-18 12:00:00-04:00,31.12,32.08,31.11,31.41,-1.0,-1.0,-1
2012-06-19 09:30:00-04:00,31.56,31.77,30.71,31.5,-1.0,-1.0,-1
2012-06-19 12:00:00-04:00,31.5,32.18,31.32,31.92,-1.0,-1.0,-1
2012-06-20 09:30:00-04:00,31.89,31.93,31.26,31.31,-1.0,-1.0,-1
2012-06-20 12:00:00-04:00,31.31,31.75,31.16,31.6,-1.0,-1.0,-1
2012-06-21 09:30:00-04:00,31.69,32.5,31.58,31.95,-1.0,-1.0,-1
2012-06-21 12:00:00-04:00,31.95,32.07,31.51,31.84,-1.0,-1.0,-1
2012-06-22 09:30:00-04:00,32.35,32.99,32.07,32.78,-1.0,-1.0,-1
2012-06-22 12:00:00-04:00,32.78,33.45,32.59,33.19,-1.0,-1.0,-1
2012-06-25 09:30:00-04:00,32.88,33.03,31.63,31.64,-1.0,-1.0,-1
2012-06-25 12:00:00-04:00,31.64,32.31,31.56,32.06,-1.0,-1.0,-1
2012-06-26 09:30:00-04:00,32.7,32.93,32.51,32.79,-1.0,-1.0,-1
2012-06-26 12:00:00-04:00,32.79,33.44,32.74,33.1,-1.0,-1.0,-1
2012-06-27 09:30:00-04:00,32.49,32.9,31.91,32.74,-1.0,-1.0,-1
2012-06-27 12:00:00-04:00,32.74,32.84,31.94,32.22,-1.0,-1.0,-1
2012-06-28 09:30:00-04:00,31.96,32.19,30.94,31.34,-1.0,-1.0,-1
2012-06-28 12:00:00-04:00,31.34,31.58,31.11,31.35,-1.0,-1.0,-1
2012-06-29 09:30:00-04:00,31.97,31.99,30.77,31.15,-1.0,-1.0,-1
2012-06-29 12:00:00-04:00,31.15,31.21,30.91,31.11,-1.0,-1.0,-1
2012-07-02 09:30:00-04:00,31.24,31.73,30.7,31.1,-1.0,-1.0,-1
2012-07-02 12:00:00-04:00,31.1,31.16,30.56,30.78,-1.0,-1.0,-1
2012-07-03 09:30:00-04:00,30.93,31.44,30.83,31.06,-1.0,-1.0,-1
2012-07-03 12:00:00-04:00,31.06,31.3,31.01,31.2,-1.0,-1.0,-1
2012-07-05 09:30:00-04:00,31.32,31.32,31.03,31.08,-1.0,-1.0,-1
2012-07-05 12:00:00-04:00,31.08,31.63,31.04,31.48,-1.0,-1.0,-1
2012-07-06 09:30:00-04:00,31.43,31.9,31.32,31.51,-1.0,-1.0,-1
2012-07-06 12:00:00-04:00,31.51,31.8,31.27,31.73,-1.0,-1.0,-1
2012-07-09 09:30:00-04:00,32.13,32.88,31.99,32.83,-1.0,-1.0,-1
2012-07-09 12:00:00-04:00,32.83,32.83,32.0,32.2,-1.0,-1.0,-1
2012-07-10 09:30:00-04:00,32.47,32.48,31.62,31.71,-1.0,-1.0,-1
2012-07-10 12:00:00-04:00,31.71,31.99,31.16,31.44,-1.0,-1.0,-1
2012-07-11 09:30:00-04:00,31.54,31.57,31.14,31.23,-1.0,-1.0,-1
2012-07-11 12:00:00-04:00,31.23,31.29,30.56,30.97,-1.0,-1.0,-1
2012-07-12 09:30:00-04:00,30.74,31.4,30.6,31.07,-1.0,-1.0,-1
2012-07-12 12:00:00-04:00,31.07,31.19,30.76,30.82,-1.0,-1.0,-1
2012-07-13 09:30:00-04:00,31.05,31.08,30.57,30.85,-1.0,-1.0,-1
2012-07-13 12:00:00-04:00,30.85,30.97,30.58,30.7,-1.0,-1.0,-1
2012-07-16 09:30:00-04:00,30.59,30.59,29.4,29.58,-1.0,-1.0,-1
2012-07-16 12:00:00-04:00,29.58,29.63,28.21,28.28,-1.0,-1.0,-1
2012-07-17 09:30:00-04:00,28.5,28.5,27.16,27.43,-1.0,-1.0,-1
2012-07-17 12:00:00-04:00,27.43,28.59,27.17,28.09,-1.0,-1.0,-1
2012-07-18 09:30:00-04:00,28.39,28.87,28.16,28.66,-1.0,-1.0,-1
2012-07-18 12:00:00-04:00,28.66,29.29,28.6,29.13,-1.0,-1.0,-1
2012-07-19 09:30:00-04:00,29.42,29.5,28.64,28.94,-1.0,-1.0,-1
2012-07-19 12:00:00-04:00,28.94,29.4,28.73,29.01,-1.0,-1.0,-1
2012-07-20 09:30:00-04:00,29.0,29.47,28.87,29.25,-1.0,-1.0,-1
2012-07-20 12:00:00-04:00,29.25,29.25,28.73,28.74,-1.0,-1.0,-1
2012-07-23 09:30:00-04:00,28.14,29.0,28.02,28.52,-1.0,-1.0,-1
2012-07-23 12:00:00-04:00,28.52,28.82,28.37,28.75,-1.0,-1.0,-1
2012-07-24 09:30:00-04:00,28.86,29.45,28.7,28.71,-1.0,-1.0,-1
2012-07-24 12:00:00-04:00,28.71,29.0,28.11,28.45,-1.0,-1.0,-1
2012-07-25 09:30:00-04:00,28.47,28.99,28.09,28.6,-1.0,-1.0,-1
2012-07-25 12:00:00-04:00,28.6,29.49,28.58,29.34,-1.0,-1.0,-1
2012-07-26 09:30:00-04:00,27.76,28.23,27.14,27.85,-1.0,-1.0,-1
2012-07-26 12:00:00-04:00,27.85,27.88,26.74,26.98,-1.0,-1.0,-1
2012-07-27 09:30:00-04:00,23.2,23.88,22.29,23.71,-1.0,-1.0,-1
2012-07-27 12:00:00-04:00,23.71,24.54,23.22,23.71,-1.0,-1.0,-1
2012-07-30 09:30:00-04:00,24.0,24.04,23.04,23.44,-1.0,-1.0,-1
2012-07-30 12:00:00-04:00,23.44,23.47,23.05,23.15,-1.0,-1.0,-1
2012-07-31 09:30:00-04:00,23.37,23.37,21.87,22.12,-1.0,-1.0,-1
2012-07-31 12:00:00-04:00,22.12,22.12,21.62,21.68,-1.0,-1.0,-1
2012-08-01 09:30:00-04:00,21.54,21.58,20.88,21.48,-1.0,-1.0,-1
2012-08-01 12:00:00-04:00,21.48,21.49,20.85,20.88,-1.0,-1.0,-1
