date,open,high,low,close,volume,average,barCount
2012-05-18,42.0,43.1,38.0,38.18,-1.0,-1.0,-1
2012-05-21,36.53,36.65,33.0,34.01,-1.0,-1.0,-1
2012-05-22,32.6,33.57,30.95,31.11,-1.0,-1.0,-1
2012-05-23,31.37,32.49,31.36,31.99,-1.0,-1.0,-1
2012-05-24,32.98,33.2,31.78,33.02,-1.0,-1.0,-1
2012-05-25,32.89,32.92,31.11,31.89,-1.0,-1.0,-1
2012-05-29,31.45,31.66,28.65,28.82,-1.0,-1.0,-1
2012-05-30,28.68,29.54,27.86,28.17,-1.0,-1.0,-1
2012-05-31,28.55,29.63,26.83,29.62,-1.0,-1.0,-1
2012-06-01,28.88,29.14,27.39,27.69,-1.0,-1.0,-1
2012-06-04,27.16,27.64,26.44,26.89,-1.0,-1.0,-1
2012-06-05,26.65,27.75,25.75,25.86,-1.0,-1.0,-1
2012-06-06,26.07,27.17,25.51,26.8,-1.0,-1.0,-1
2012-06-07,26.97,27.34,26.15,26.29,-1.0,-1.0,-1
2012-06-08,26.57,27.75,26.44,27.07,-1.0,-1.0,-1
2012-06-11,27.15,28.06,26.83,27.01,-1.0,-1.0,-1
2012-06-12,27.46,27.76,26.96,27.38,-1.0,-1.0,-1
2012-06-13,27.62,28.09,27.1,27.26,-1.0,-1.0,-1
2012-06-14,27.65,28.32,27.38,28.29,-1.0,-1.0,-1
2012-06-15,28.5,30.08,28.37,30.01,-1.0,-1.0,-1
2012-06-18,29.94,32.07,29.41,31.4,-1.0,-1.0,-1
2012-06-19,31.51,32.17,30.7,31.91,-1.0,-1.0,-1
2012-06-20,31.86,31.91,31.15,31.59,-1.0,-1.0,-1
2012-06-21,31.64,32.49,31.51,31.83,-1.0,-1.0,-1
2012-06-22,32.32,33.44,32.06,33.18,-1.0,-1.0,-1
2012-06-25,32.86,33.02,31.55,32.05,-1.0,-1.0,-1
2012-06-26,32.69,33.43,32.5,33.06,-1.0,-1.0,-1
2012-06-27,32.45,32.89,31.9,32.21,-1.0,-1.0,-1
2012-06-28,31.91,32.17,30.93,31.33,-1.0,-1.0,-1
2012-06-29,31.92,31.97,30.76,31.1,-1.0,-1.0,-1
2012-07-02,31.18,31.72,30.55,30.77,-1.0,-1.0,-1
2012-07-03,30.91,31.43,30.8,31.18,-1.0,-1.0,-1
2012-07-05,31.28,31.62,31.02,31.47,-1.0,-1.0,-1
2012-07-06,31.39,31.89,31.26,31.72,-1.0,-1.0,-1
2012-07-09,32.11,32.87,31.98,32.17,-1.0,-1.0,-1
2012-07-10,32.45,32.46,31.15,31.43,-1.0,-1.0,-1
2012-07-11,31.48,31.55,30.55,30.95,-1.0,-1.0,-1
2012-07-12,30.68,31.4,30.59,30.81,-1.0,-1.0,-1
2012-07-13,31.03,31.05,30.56,30.69,-1.0,-1.0,-1
2012-07-16,30.45,30.56,28.2,28.26,-1.0,-1.0,-1
2012-07-17,28.48,28.58,27.15,28.08,-1.0,-1.0,-1
2012-07-18,28.3,29.28,28.15,29.12,-1.0,-1.0,-1
2012-07-19,29.4,29.48,28.63,29.0,-1.0,-1.0,-1
2012-07-20,28.94,29.46,28.72,28.73,-1.0,-1.0,-1
2012-07-23,28.11,28.99,28.01,28.74,-1.0,-1.0,-1
2012-07-24,28.79,29.44,28.1,28.44,-1.0,-1.0,-1
2012-07-25,28.38,29.48,28.08,29.32,-1.0,-1.0,-1
2012-07-26,27.73,28.22,26.73,26.92,-1.0,-1.0,-1
2012-07-27,23.18,24.53,22.28,23.7,-1.0,-1.0,-1
2012-07-30,23.99,24.03,23.03,23.14,-1.0,-1.0,-1
2012-07-31,23.33,23.35,21.61,21.68,-1.0,-1.0,-1
2012-08-01,21.52,21.57,20.84,20.86,-1.0,-1.0,-1
2012-08-02,20.76,20.82,19.82,20.04,-1.0,-1.0,-1
2012-08-03,20.34,22.15,19.9,21.07,-1.0,-1.0,-1
2012-08-06,21.34,22.14,21.3,21.92,-1.0,-1.0,-1
2012-08-07,22.13,22.44,20.5,20.73,-1.0,-1.0,-1
2012-08-08,20.7,21.14,20.22,20.71,-1.0,-1.0,-1
2012-08-09,20.75,21.16,20.61,21.0,-1.0,-1.0,-1
2012-08-10,21.4,21.81,21.13,21.8,-1.0,-1.0,-1
2012-08-13,22.17,22.45,21.4,21.59,-1.0,-1.0,-1
2012-08-14,21.41,21.59,20.25,20.36,-1.0,-1.0,-1
2012-08-15,20.62,21.4,20.4,21.17,-1.0,-1.0,-1
2012-08-16,20.41,20.47,19.69,19.86,-1.0,-1.0,-1
2012-08-17,20.0,20.07,19.0,19.06,-1.0,-1.0,-1
2012-08-20,19.04,20.12,18.75,20.01,-1.0,-1.0,-1
2012-08-21,19.57,19.96,19.09,19.16,-1.0,-1.0,-1
2012-08-22,19.35,19.52,18.96,19.43,-1.0,-1.0,-1
2012-08-23,19.48,19.72,19.36,19.43,-1.0,-1.0,-1
2012-08-24,19.52,19.67,19.25,19.4,-1.0,-1.0,-1
2012-08-27,19.47,19.52,19.1,19.14,-1.0,-1.0,-1
2012-08-28,19.1,19.37,18.95,19.33,-1.0,-1.0,-1
2012-08-29,19.32,19.38,19.07,19.1,-1.0,-1.0,-1
2012-08-30,19.26,19.44,19.06,19.08,-1.0,-1.0,-1
2012-08-31,18.68,18.68,18.03,18.05,-1.0,-1.0,-1
2012-09-04,18.07,18.27,17.55,17.72,-1.0,-1.0,-1
2012-09-05,18.26,18.74,18.18,18.59,-1.0,-1.0,-1
2012-09-06,18.73,19.25,18.72,18.97,-1.0,-1.0,-1
2012-09-07,19.07,19.41,18.78,19.0,-1.0,-1.0,-1
2012-09-10,19.06,19.2,18.55,18.8,-1.0,-1.0,-1
2012-09-11,18.89,19.58,18.85,19.43,-1.0,-1.0,-1
2012-09-12,20.75,21.15,20.28,20.93,-1.0,-1.0,-1
2012-09-13,20.95,21.47,20.61,20.72,-1.0,-1.0,-1
2012-09-14,21.14,22.07,20.9,21.99,-1.0,-1.0,-1
2012-09-17,22.66,22.71,21.5,21.52,-1.0,-1.0,-1
2012-09-18,21.6,21.97,21.37,21.85,-1.0,-1.0,-1
2012-09-19,21.96,23.36,21.77,23.29,-1.0,-1.0,-1
2012-09-20,23.02,23.23,22.54,22.58,-1.0,-1.0,-1
2012-09-21,22.97,23.23,22.6,22.85,-1.0,-1.0,-1
2012-09-24,21.72,21.97,20.51,20.78,-1.0,-1.0,-1
2012-09-25,21.19,21.2,20.22,20.27,-1.0,-1.0,-1
2012-09-26,20.14,20.77,19.8,20.61,-1.0,-1.0,-1
2012-09-27,20.99,20.99,20.16,20.32,-1.0,-1.0,-1
2012-09-28,20.57,21.94,20.5,21.65,-1.0,-1.0,-1
2012-10-01,22.04,22.58,21.73,21.95,-1.0,-1.0,-1
2012-10-02,22.07,22.48,21.82,22.27,-1.0,-1.0,-1
2012-10-03,22.28,22.48,21.8,21.8,-1.0,-1.0,-1
2012-10-04,22.32,22.39,21.41,21.94,-1.0,-1.0,-1
2012-10-05,21.49,21.62,20.88,20.89,-1.0,-1.0,-1
2012-10-08,20.39,20.75,20.15,20.39,-1.0,-1.0,-1
2012-10-09,20.38,20.54,19.97,20.22,-1.0,-1.0,-1
2012-10-10,19.91,19.93,19.45,19.63,-1.0,-1.0,-1
2012-10-11,19.88,19.95,19.61,19.75,-1.0,-1.0,-1
2012-10-12,19.74,19.78,19.48,19.51,-1.0,-1.0,-1
2012-10-15,19.6,19.87,19.49,19.51,-1.0,-1.0,-1
2012-10-16,19.66,19.68,19.3,19.47,-1.0,-1.0,-1
2012-10-17,19.46,20.47,19.37,19.88,-1.0,-1.0,-1
2012-10-18,19.69,19.78,18.89,18.98,-1.0,-1.0,-1
2012-10-19,18.98,19.05,18.8,18.99,-1.0,-1.0,-1
2012-10-22,19.2,19.42,19.05,19.31,-1.0,-1.0,-1
2012-10-23,19.24,19.79,19.1,19.49,-1.0,-1.0,-1
2012-10-24,24.12,24.24,22.85,23.21,-1.0,-1.0,-1
2012-10-25,23.29,23.3,22.47,22.52,-1.0,-1.0,-1
2012-10-26,22.38,22.87,21.88,21.94,-1.0,-1.0,-1
2012-10-31,20.81,21.49,20.73,21.11,-1.0,-1.0,-1
2012-11-01,21.06,21.43,21.01,21.21,-1.0,-1.0,-1
2012-11-02,21.26,21.68,21.06,21.18,-1.0,-1.0,-1
2012-11-05,21.08,21.47,20.92,21.24,-1.0,-1.0,-1
2012-11-06,21.24,21.36,20.99,21.18,-1.0,-1.0,-1
2012-11-07,20.84,20.94,20.37,20.47,-1.0,-1.0,-1
2012-11-08,20.47,20.72,19.98,19.99,-1.0,-1.0,-1
2012-11-09,19.94,19.99,19.13,19.18,-1.0,-1.0,-1
2012-11-12,19.16,20.16,18.87,20.08,-1.0,-1.0,-1
2012-11-13,19.6,20.1,19.56,19.88,-1.0,-1.0,-1
2012-11-14,20.08,22.49,19.93,22.35,-1.0,-1.0,-1
2012-11-15,22.34,22.49,21.65,22.17,-1.0,-1.0,-1
2012-11-16,22.22,23.92,22.18,23.56,-1.0,-1.0,-1
2012-11-19,23.95,24.11,22.82,22.9,-1.0,-1.0,-1
2012-11-20,22.71,23.22,22.7,23.09,-1.0,-1.0,-1
2012-11-21,23.21,24.52,23.05,24.32,-1.0,-1.0,-1
2012-11-23,24.57,24.67,23.88,23.99,-1.0,-1.0,-1
2012-11-26,24.93,26.08,24.81,25.95,-1.0,-1.0,-1
2012-11-27,26.05,26.49,25.46,26.15,-1.0,-1.0,-1
2012-11-28,25.92,26.48,25.75,26.33,-1.0,-1.0,-1
2012-11-29,26.51,27.51,26.16,27.3,-1.0,-1.0,-1
2012-11-30,27.26,27.97,26.76,27.97,-1.0,-1.0,-1
2012-12-03,27.99,28.87,26.98,27.03,-1.0,-1.0,-1
2012-12-04,27.06,27.75,26.68,27.45,-1.0,-1.0,-1
2012-12-05,27.75,27.89,27.26,27.7,-1.0,-1.0,-1
2012-12-06,27.68,27.74,26.82,26.96,-1.0,-1.0,-1
2012-12-07,27.07,27.77,26.84,27.49,-1.0,-1.0,-1
2012-12-10,27.16,28.16,27.1,27.83,-1.0,-1.0,-1
2012-12-11,28.07,28.23,27.66,27.97,-1.0,-1.0,-1
2012-12-12,27.97,28.13,27.37,27.57,-1.0,-1.0,-1
2012-12-13,27.54,28.74,27.43,28.23,-1.0,-1.0,-1
2012-12-14,28.15,28.32,26.77,26.8,-1.0,-1.0,-1
2012-12-17,26.75,27.0,26.32,26.78,-1.0,-1.0,-1
2012-12-18,26.95,27.9,26.9,27.72,-1.0,-1.0,-1
2012-12-19,27.81,28.21,26.95,27.41,-1.0,-1.0,-1
2012-12-20,27.47,27.59,27.13,27.36,-1.0,-1.0,-1
2012-12-21,26.65,27.0,26.12,26.26,-1.0,-1.0,-1
2012-12-24,26.47,26.95,26.2,26.92,-1.0,-1.0,-1
2012-12-26,27.02,27.17,26.37,26.48,-1.0,-1.0,-1
2012-12-27,26.54,26.79,25.52,26.03,-1.0,-1.0,-1
2012-12-28,25.48,26.1,25.15,25.9,-1.0,-1.0,-1
2012-12-31,26.19,26.98,26.11,26.62,-1.0,-1.0,-1
2013-01-02,27.45,28.17,27.42,27.99,-1.0,-1.0,-1
2013-01-03,27.87,28.46,27.59,27.76,-1.0,-1.0,-1
