date,open,high,low,close,volume,average,barCount
2012-05-18 09:30:00-04:00,42.0,43.1,38.0,38.84,-1.0,-1.0,-1
2012-05-18 12:00:00-04:00,38.84,41.93,38.0,38.18,-1.0,-1.0,-1
2012-05-21 09:30:00-04:00,36.53,36.65,33.0,33.72,-1.0,-1.0,-1
2012-05-21 12:00:00-04:00,33.72,35.04,33.5,34.01,-1.0,-1.0,-1
2012-05-22 09:30:00-04:00,32.6,33.57,31.0,32.92,-1.0,-1.0,-1
2012-05-22 12:00:00-04:00,32.92,33.14,30.95,31.11,-1.0,-1.0,-1
2012-05-23 09:30:00-04:00,31.37,32.49,31.36,31.62,-1.0,-1.0,-1
2012-05-23 12:00:00-04:00,31.62,32.39,31.45,31.99,-1.0,-1.0,-1
2012-05-24 09:30:00-04:00,32.98,33.2,31.78,32.0,-1.0,-1.0,-1
2012-05-24 12:00:00-04:00,32.0,33.02,31.99,33.02,-1.0,-1.0,-1
2012-05-25 09:30:00-04:00,32.89,32.92,31.75,31.88,-1.0,-1.0,-1
2012-05-25 12:00:00-04:00,31.88,31.96,31.11,31.89,-1.0,-1.0,-1
2012-05-29 09:30:00-04:00,31.45,31.66,29.79,29.79,-1.0,-1.0,-1
2012-05-29 12:00:00-04:00,29.79,29.93,28.65,28.82,-1.0,-1.0,-1
2012-05-30 09:30:00-04:00,28.68,29.54,28.25,28.82,-1.0,-1.0,-1
2012-05-30 12:00:00-04:00,28.82,28.84,27.86,28.17,-1.0,-1.0,-1
2012-05-31 09:30:00-04:00,28.55,28.65,26.83,27.17,-1.0,-1.0,-1
2012-05-31 12:00:00-04:00,27.17,29.63,26.85,29.62,-1.0,-1.0,-1
2012-06-01 09:30:00-04:00,28.88,29.14,27.65,28.07,-1.0,-1.0,-1
2012-06-01 12:00:00-04:00,28.07,28.24,27.39,27.69,-1.0,-1.0,-1
2012-06-04 09:30:00-04:00,27.16,27.64,26.57,26.83,-1.0,-1.0,-1
2012-06-04 12:00:00-04:00,26.83,27.53,26.44,26.89,-1.0,-1.0,-1
2012-06-05 09:30:00-04:00,26.65,27.75,26.5,26.54,-1.0,-1.0,-1
2012-06-05 12:00:00-04:00,26.54,26.63,25.75,25.86,-1.0,-1.0,-1
2012-06-06 09:30:00-04:00,26.07,26.64,25.51,26.14,-1.0,-1.0,-1
2012-06-06 12:00:00-04:00,26.14,27.17,25.7,26.8,-1.0,-1.0,-1
2012-06-07 09:30:00-04:00,26.97,27.34,26.27,26.57,-1.0,-1.0,-1
2012-06-07 12:00:00-04:00,26.57,27.12,26.15,26.29,-1.0,-1.0,-1
2012-06-08 09:30:00-04:00,26.57,27.75,26.44,27.25,-1.0,-1.0,-1
