date,open,high,low,close,volume,average,barCount
2012-05-18,42.26,43.0,38.0,38.19,-1.0,-1.0,-1
2012-05-21,36.54,36.54,33.0,34.02,-1.0,-1.0,-1
2012-05-22,32.62,33.57,30.95,31.11,-1.0,-1.0,-1
2012-05-23,31.39,32.5,31.36,32.0,-1.0,-1.0,-1
2012-05-24,32.98,33.2,31.8,33.02,-1.0,-1.0,-1
2012-05-25,32.9,32.93,31.11,31.89,-1.0,-1.0,-1
2012-05-29,31.46,31.67,28.65,28.82,-1.0,-1.0,-1
2012-05-30,28.69,29.54,27.86,28.18,-1.0,-1.0,-1
2012-05-31,28.55,29.62,26.83,29.62,-1.0,-1.0,-1
2012-06-01,28.91,29.15,27.39,27.7,-1.0,-1.0,-1
2012-06-04,27.19,27.65,26.44,26.89,-1.0,-1.0,-1
2012-06-05,26.67,27.75,25.75,25.87,-1.0,-1.0,-1
2012-06-06,26.08,27.17,25.52,26.8,-1.0,-1.0,-1
2012-06-07,26.98,27.34,26.15,26.3,-1.0,-1.0,-1
2012-06-08,26.57,27.76,26.44,27.08,-1.0,-1.0,-1
2012-06-11,27.16,28.07,26.83,27.02,-1.0,-1.0,-1
2012-06-12,27.46,27.77,26.96,27.39,-1.0,-1.0,-1
2012-06-13,27.64,28.1,27.1,27.27,-1.0,-1.0,-1
2012-06-14,27.66,28.32,27.38,28.3,-1.0,-1.0,-1
2012-06-15,28.52,30.03,28.37,30.02,-1.0,-1.0,-1
2012-06-18,29.96,32.07,29.42,31.41,-1.0,-1.0,-1
2012-06-19,31.54,32.18,30.7,31.91,-1.0,-1.0,-1
2012-06-20,31.88,31.92,31.15,31.6,-1.0,-1.0,-1
2012-06-21,31.66,32.47,31.51,31.84,-1.0,-1.0,-1
2012-06-22,32.34,33.45,32.06,33.19,-1.0,-1.0,-1
2012-06-25,32.87,33.02,31.55,32.05,-1.0,-1.0,-1
2012-06-26,32.7,33.44,32.5,33.08,-1.0,-1.0,-1
2012-06-27,32.47,32.9,31.91,32.22,-1.0,-1.0,-1
2012-06-28,31.94,32.18,30.93,31.34,-1.0,-1.0,-1
2012-06-29,31.95,31.98,30.76,31.11,-1.0,-1.0,-1
2012-07-02,31.21,31.73,30.55,30.78,-1.0,-1.0,-1
2012-07-03,30.92,31.44,30.84,31.19,-1.0,-1.0,-1
2012-07-05,31.3,31.62,31.02,31.48,-1.0,-1.0,-1
2012-07-06,31.41,31.9,31.26,31.73,-1.0,-1.0,-1
2012-07-09,32.12,32.88,31.99,32.19,-1.0,-1.0,-1
2012-07-10,32.46,32.47,31.16,31.44,-1.0,-1.0,-1
2012-07-11,31.51,31.56,30.55,30.96,-1.0,-1.0,-1
2012-07-12,30.71,31.4,30.6,30.82,-1.0,-1.0,-1
2012-07-13,31.04,31.06,30.56,30.7,-1.0,-1.0,-1
2012-07-16,30.52,30.52,28.21,28.27,-1.0,-1.0,-1
2012-07-17,28.49,28.58,27.15,28.09,-1.0,-1.0,-1
2012-07-18,28.34,29.29,28.16,29.13,-1.0,-1.0,-1
2012-07-19,29.41,29.49,28.63,29.0,-1.0,-1.0,-1
2012-07-20,28.97,29.46,28.72,28.73,-1.0,-1.0,-1
2012-07-23,28.13,29.0,28.01,28.75,-1.0,-1.0,-1
2012-07-24,28.82,29.45,28.1,28.45,-1.0,-1.0,-1
2012-07-25,28.43,29.47,28.08,29.33,-1.0,-1.0,-1
2012-07-26,27.75,28.22,26.73,26.95,-1.0,-1.0,-1
2012-07-27,23.19,24.53,22.28,23.71,-1.0,-1.0,-1
2012-07-30,24.0,24.04,23.03,23.14,-1.0,-1.0,-1
2012-07-31,23.35,23.35,21.61,21.68,-1.0,-1.0,-1
2012-08-01,21.53,21.58,20.84,20.87,-1.0,-1.0,-1
2012-08-02,20.79,20.83,19.82,20.05,-1.0,-1.0,-1
2012-08-03,20.36,22.16,19.91,21.07,-1.0,-1.0,-1
2012-08-06,21.36,22.15,21.31,21.93,-1.0,-1.0,-1
2012-08-07,22.16,22.45,20.51,20.73,-1.0,-1.0,-1
2012-08-08,20.71,21.15,20.22,20.71,-1.0,-1.0,-1
2012-08-09,20.77,21.17,20.62,21.0,-1.0,-1.0,-1
2012-08-10,21.43,21.82,21.13,21.8,-1.0,-1.0,-1
2012-08-13,22.17,22.46,21.4,21.59,-1.0,-1.0,-1
2012-08-14,21.41,21.59,20.25,20.37,-1.0,-1.0,-1
2012-08-15,20.63,21.41,20.41,21.19,-1.0,-1.0,-1
2012-08-16,20.41,20.46,19.69,19.87,-1.0,-1.0,-1
2012-08-17,20.0,20.08,19.0,19.06,-1.0,-1.0,-1
2012-08-20,19.05,20.13,18.75,20.02,-1.0,-1.0,-1
2012-08-21,19.57,19.97,19.09,19.16,-1.0,-1.0,-1
2012-08-22,19.36,19.53,18.96,19.43,-1.0,-1.0,-1
2012-08-23,19.48,19.73,19.36,19.43,-1.0,-1.0,-1
2012-08-24,19.53,19.68,19.25,19.41,-1.0,-1.0,-1
2012-08-27,19.48,19.53,19.1,19.14,-1.0,-1.0,-1
2012-08-28,19.11,19.38,18.95,19.34,-1.0,-1.0,-1
2012-08-29,19.32,19.38,19.07,19.11,-1.0,-1.0,-1
2012-08-30,19.27,19.45,19.06,19.09,-1.0,-1.0,-1
2012-08-31,18.68,18.69,18.03,18.05,-1.0,-1.0,-1
2012-09-04,18.08,18.27,17.55,17.73,-1.0,-1.0,-1
2012-09-05,18.27,18.75,18.18,18.59,-1.0,-1.0,-1
2012-09-06,18.73,19.26,18.73,18.98,-1.0,-1.0,-1
2012-09-07,19.09,19.42,18.78,19.0,-1.0,-1.0,-1
2012-09-10,19.06,19.19,18.55,18.8,-1.0,-1.0,-1
2012-09-11,18.89,19.59,18.85,19.43,-1.0,-1.0,-1
2012-09-12,20.75,21.16,20.28,20.93,-1.0,-1.0,-1
2012-09-13,20.96,21.48,20.62,20.73,-1.0,-1.0,-1
2012-09-14,21.14,22.07,20.91,22.0,-1.0,-1.0,-1
2012-09-17,22.67,22.72,21.5,21.53,-1.0,-1.0,-1
2012-09-18,21.61,21.97,21.37,21.86,-1.0,-1.0,-1
2012-09-19,21.96,23.37,21.77,23.3,-1.0,-1.0,-1
2012-09-20,23.03,23.24,22.54,22.59,-1.0,-1.0,-1
2012-09-21,22.98,23.23,22.6,22.86,-1.0,-1.0,-1
2012-09-24,21.73,21.98,20.51,20.79,-1.0,-1.0,-1
2012-09-25,21.19,21.21,20.22,20.28,-1.0,-1.0,-1
2012-09-26,20.14,20.78,19.8,20.62,-1.0,-1.0,-1
2012-09-27,21.0,21.0,20.16,20.32,-1.0,-1.0,-1
2012-09-28,20.58,21.95,20.51,21.66,-1.0,-1.0,-1
2012-10-01,22.06,22.59,21.74,21.96,-1.0,-1.0,-1
2012-10-02,22.08,22.49,21.82,22.28,-1.0,-1.0,-1
2012-10-03,22.3,22.48,21.8,21.8,-1.0,-1.0,-1
2012-10-04,22.32,22.39,21.41,21.95,-1.0,-1.0,-1
2012-10-05,21.49,21.62,20.88,20.89,-1.0,-1.0,-1
2012-10-08,20.39,20.74,20.16,20.39,-1.0,-1.0,-1
2012-10-09,20.39,20.54,19.97,20.23,-1.0,-1.0,-1
2012-10-10,19.91,19.94,19.46,19.64,-1.0,-1.0,-1
2012-10-11,19.89,19.96,19.61,19.75,-1.0,-1.0,-1
2012-10-12,19.75,19.79,19.48,19.52,-1.0,-1.0,-1
2012-10-15,19.64,19.88,19.49,19.52,-1.0,-1.0,-1
2012-10-16,19.67,19.69,19.3,19.48,-1.0,-1.0,-1
2012-10-17,19.47,20.48,19.37,19.89,-1.0,-1.0,-1
2012-10-18,19.7,19.79,18.89,18.98,-1.0,-1.0,-1
2012-10-19,18.98,19.06,18.8,19.0,-1.0,-1.0,-1
2012-10-22,19.21,19.43,19.05,19.32,-1.0,-1.0,-1
2012-10-23,19.25,19.8,19.1,19.5,-1.0,-1.0,-1
2012-10-24,24.13,24.24,22.85,23.21,-1.0,-1.0,-1
2012-10-25,23.3,23.3,22.47,22.53,-1.0,-1.0,-1
2012-10-26,22.39,22.88,21.88,21.95,-1.0,-1.0,-1
2012-10-31,20.82,21.5,20.75,21.12,-1.0,-1.0,-1
2012-11-01,21.07,21.44,21.01,21.21,-1.0,-1.0,-1
2012-11-02,21.27,21.69,21.06,21.18,-1.0,-1.0,-1
2012-11-05,21.09,21.48,20.93,21.25,-1.0,-1.0,-1
2012-11-06,21.25,21.37,20.99,21.18,-1.0,-1.0,-1
2012-11-07,20.84,20.95,20.37,20.48,-1.0,-1.0,-1
2012-11-08,20.5,20.73,19.98,20.0,-1.0,-1.0,-1
2012-11-09,19.96,20.0,19.14,19.18,-1.0,-1.0,-1
2012-11-12,19.16,20.17,18.88,20.09,-1.0,-1.0,-1
2012-11-13,19.61,20.11,19.56,19.89,-1.0,-1.0,-1
2012-11-14,20.09,22.5,19.95,22.36,-1.0,-1.0,-1
2012-11-15,22.36,22.5,21.65,22.18,-1.0,-1.0,-1
2012-11-16,22.23,23.92,22.18,23.57,-1.0,-1.0,-1
2012-11-19,23.96,24.12,22.82,22.91,-1.0,-1.0,-1
2012-11-20,22.72,23.23,22.7,23.09,-1.0,-1.0,-1
2012-11-21,23.21,24.53,23.05,24.32,-1.0,-1.0,-1
2012-11-23,24.57,24.68,23.88,24.0,-1.0,-1.0,-1
2012-11-26,24.94,26.09,24.81,25.96,-1.0,-1.0,-1
2012-11-27,26.05,26.5,25.46,26.16,-1.0,-1.0,-1
2012-11-28,25.93,26.49,25.75,26.34,-1.0,-1.0,-1
2012-11-29,26.52,27.52,26.18,27.3,-1.0,-1.0,-1
2012-11-30,27.27,27.98,26.76,27.98,-1.0,-1.0,-1
2012-12-03,28.0,28.87,26.98,27.04,-1.0,-1.0,-1
2012-12-04,27.07,27.75,26.69,27.46,-1.0,-1.0,-1
2012-12-05,27.75,27.9,27.26,27.71,-1.0,-1.0,-1
2012-12-06,27.69,27.75,26.83,26.96,-1.0,-1.0,-1
2012-12-07,27.09,27.78,26.84,27.5,-1.0,-1.0,-1
2012-12-10,27.16,28.16,27.1,27.84,-1.0,-1.0,-1
2012-12-11,28.08,28.24,27.67,27.98,-1.0,-1.0,-1
2012-12-12,27.98,28.14,27.37,27.57,-1.0,-1.0,-1
2012-12-13,27.57,28.74,27.43,28.23,-1.0,-1.0,-1
2012-12-14,28.16,28.33,26.77,26.8,-1.0,-1.0,-1
2012-12-17,26.75,27.0,26.32,26.79,-1.0,-1.0,-1
2012-12-18,26.96,27.91,26.93,27.73,-1.0,-1.0,-1
2012-12-19,27.82,28.22,26.95,27.41,-1.0,-1.0,-1
2012-12-20,27.48,27.59,27.13,27.37,-1.0,-1.0,-1
2012-12-21,26.66,27.0,26.12,26.27,-1.0,-1.0,-1
2012-12-24,26.48,26.96,26.2,26.93,-1.0,-1.0,-1
2012-12-26,27.03,27.18,26.38,26.48,-1.0,-1.0,-1
2012-12-27,26.55,26.8,25.52,26.04,-1.0,-1.0,-1
2012-12-28,25.48,26.11,25.16,25.91,-1.0,-1.0,-1
2012-12-31,26.2,26.99,26.11,26.63,-1.0,-1.0,-1
