date,open,high,low,close,volume,average,barCount
2012-05-18 09:30:00-04:00,42.26,43.0,38.0,38.84,-1.0,-1.0,-1
2012-05-18 12:00:00-04:00,38.84,41.88,38.0,38.19,-1.0,-1.0,-1
2012-05-21 09:30:00-04:00,36.54,36.54,33.0,33.73,-1.0,-1.0,-1
2012-05-21 12:00:00-04:00,33.73,35.05,33.5,34.02,-1.0,-1.0,-1
2012-05-22 09:30:00-04:00,32.62,33.57,31.0,32.93,-1.0,-1.0,-1
2012-05-22 12:00:00-04:00,32.93,33.12,30.95,31.11,-1.0,-1.0,-1
2012-05-23 09:30:00-04:00,31.39,32.5,31.36,31.64,-1.0,-1.0,-1
2012-05-23 12:00:00-04:00,31.64,32.4,31.48,32.0,-1.0,-1.0,-1
2012-05-24 09:30:00-04:00,32.98,33.2,31.8,32.01,-1.0,-1.0,-1
2012-05-24 12:00:00-04:00,32.01,33.03,31.98,33.02,-1.0,-1.0,-1
2012-05-25 09:30:00-04:00,32.9,32.93,31.75,31.89,-1.0,-1.0,-1
2012-05-25 12:00:00-04:00,31.89,31.97,31.11,31.89,-1.0,-1.0,-1
2012-05-29 09:30:00-04:00,31.46,31.67,29.79,29.8,-1.0,-1.0,-1
2012-05-29 12:00:00-04:00,29.8,29.94,28.65,28.82,-1.0,-1.0,-1
2012-05-30 09:30:00-04:00,28.69,29.54,28.25,28.82,-1.0,-1.0,-1
2012-05-30 12:00:00-04:00,28.82,28.85,27.86,28.18,-1.0,-1.0,-1
2012-05-31 09:30:00-04:00,28.55,28.66,26.83,27.18,-1.0,-1.0,-1
2012-05-31 12:00:00-04:00,27.18,29.62,26.85,29.62,-1.0,-1.0,-1
2012-06-01 09:30:00-04:00,28.91,29.15,27.65,28.07,-1.0,-1.0,-1
2012-06-01 12:00:00-04:00,28.07,28.25,27.39,27.7,-1.0,-1.0,-1
2012-06-04 09:30:00-04:00,27.19,27.65,26.58,26.84,-1.0,-1.0,-1
2012-06-04 12:00:00-04:00,26.84,27.52,26.44,26.89,-1.0,-1.0,-1
2012-06-05 09:30:00-04:00,26.67,27.75,26.5,26.55,-1.0,-1.0,-1
2012-06-05 12:00:00-04:00,26.55,26.64,25.75,25.87,-1.0,-1.0,-1
2012-06-06 09:30:00-04:00,26.08,26.64,25.52,26.14,-1.0,-1.0,-1
2012-06-06 12:00:00-04:00,26.14,27.17,25.7,26.8,-1.0,-1.0,-1
2012-06-07 09:30:00-04:00,26.98,27.34,26.29,26.57,-1.0,-1.0,-1
2012-06-07 12:00:00-04:00,26.57,27.13,26.15,26.3,-1.0,-1.0,-1
2012-06-08 09:30:00-04:00,26.57,27.76,26.44,27.25,-1.0,-1.0,-1
2012-06-08 12:00:00-04:00,27.25,27.37,26.88,27.08,-1.0,-1.0,-1
2012-06-11 09:30:00-04:00,27.16,28.07,27.15,27.61,-1.0,-1.0,-1
2012-06-11 12:00:00-04:00,27.61,28.01,26.83,27.02,-1.0,-1.0,-1
2012-06-12 09:30:00-04:00,27.46,27.77,27.06,27.59,-1.0,-1.0,-1
2012-06-12 12:00:00-04:00,27.59,27.63,26.96,27.39,-1.0,-1.0,-1
