date,open,high,low,close,volume,average,barCount
2012-05-18 09:30:00-04:00,42.05,45.0,38.0,38.86,211993500.0,40.464,422063
2012-05-18 12:00:00-04:00,38.85,42.0,38.0,38.18,324973500.0,39.742,1044387
2012-05-21 09:30:00-04:00,36.53,36.66,33.0,33.74,95656800.0,34.361,336763
2012-05-21 12:00:00-04:00,33.74,35.05,33.5,34.03,57428500.0,34.269,202963
2012-05-22 09:30:00-04:00,32.66,33.59,30.98,32.94,56385700.0,32.204,209401
2012-05-22 12:00:00-04:00,32.94,33.15,30.94,31.11,38424100.0,31.721,151373
2012-05-23 09:30:00-04:00,31.37,32.5,31.36,31.65,37827700.0,31.952,150911
2012-05-23 12:00:00-04:00,31.62,32.4,31.45,32.0,29016900.0,31.912,119561
2012-05-24 09:30:00-04:00,32.98,33.21,31.77,32.0,22487100.0,32.389,86214
2012-05-24 12:00:00-04:00,32.0,33.03,31.95,33.02,21592900.0,32.48,73547
2012-05-25 09:30:00-04:00,32.9,32.95,31.75,31.89,17415900.0,32.154,64030
2012-05-25 12:00:00-04:00,31.89,31.97,31.11,31.9,17475900.0,31.608,70619
2012-05-29 09:30:00-04:00,31.46,31.69,29.79,29.79,30083800.0,30.382,108200
2012-05-29 12:00:00-04:00,29.79,29.94,28.65,28.82,43504700.0,29.148,169586
2012-05-30 09:30:00-04:00,28.73,29.55,28.25,28.83,28284600.0,29.024,106418
2012-05-30 12:00:00-04:00,28.85,28.85,27.86,28.18,26061200.0,28.2,99394
2012-05-31 09:30:00-04:00,28.56,28.66,26.83,27.17,31082900.0,27.482,119330
2012-05-31 12:00:00-04:00,27.17,29.64,26.85,29.6,50738700.0,28.145,195230
2012-06-01 09:30:00-04:00,28.92,29.15,27.66,28.07,21465500.0,28.264,85022
2012-06-01 12:00:00-04:00,28.08,28.25,27.39,27.7,17017400.0,27.807,66004
2012-06-04 09:30:00-04:00,27.22,27.65,26.57,26.84,16792700.0,27.105,66038
2012-06-04 12:00:00-04:00,26.83,27.53,26.44,26.89,16470700.0,26.976,65488
2012-06-05 09:30:00-04:00,26.7,27.76,26.5,26.55,17557200.0,26.962,65835
2012-06-05 12:00:00-04:00,26.54,26.64,25.75,25.87,23324700.0,26.135,82397
2012-06-06 09:30:00-04:00,26.12,26.64,25.52,26.15,32169900.0,26.042,118942
2012-06-06 12:00:00-04:00,26.14,27.17,25.7,26.8,27182000.0,26.552,99952
2012-06-07 09:30:00-04:00,27.0,27.35,26.28,26.57,12827700.0,26.74,47525
2012-06-07 12:00:00-04:00,26.58,27.13,26.15,26.28,12283100.0,26.62,43048
2012-06-08 09:30:00-04:00,26.57,27.76,26.44,27.25,19136600.0,27.237,71529
2012-06-08 12:00:00-04:00,27.25,27.37,26.88,27.07,17162900.0,27.114,62782
2012-06-11 09:30:00-04:00,27.18,28.07,27.14,27.6,11970000.0,27.57,45779
2012-06-11 12:00:00-04:00,27.6,28.01,26.84,27.01,14974100.0,27.447,62355
2012-06-12 09:30:00-04:00,27.45,27.77,27.06,27.6,7854100.0,27.433,31793
2012-06-12 12:00:00-04:00,27.59,27.63,26.96,27.38,6887700.0,27.264,30491
2012-06-13 09:30:00-04:00,27.66,28.1,27.44,27.58,7781800.0,27.7,30743
2012-06-13 12:00:00-04:00,27.58,27.59,27.1,27.26,8812400.0,27.299,38715
2012-06-14 09:30:00-04:00,27.65,27.86,27.38,27.74,6763700.0,27.644,24939
2012-06-14 12:00:00-04:00,27.73,28.32,27.61,28.3,9311700.0,27.901,36622
2012-06-15 09:30:00-04:00,28.52,29.09,28.35,28.62,11998900.0,28.772,45743
2012-06-15 12:00:00-04:00,28.62,30.1,28.61,29.94,18270500.0,29.392,56617
2012-06-18 09:30:00-04:00,29.94,31.19,29.41,31.12,20433000.0,30.579,71689
2012-06-18 12:00:00-04:00,31.1,32.08,31.1,31.41,20953500.0,31.682,75226
