date,open,high,low,close,volume,average,barCount
2004-01-23,11.07,11.25,10.72,11.07,-1.0,-1.0,-1
2004-01-26,10.93,11.01,10.76,10.9,-1.0,-1.0,-1
2004-01-27,10.87,11.36,10.71,10.74,-1.0,-1.0,-1
2004-01-28,10.73,10.91,10.11,10.29,-1.0,-1.0,-1
2004-01-29,14.4,14.4,14.4,14.4,-1.0,-1.0,-1
2004-02-02,10.6,10.77,10.43,10.57,-1.0,-1.0,-1
2004-02-03,10.37,10.53,10.01,10.27,-1.0,-1.0,-1
2004-02-04,10.18,10.3,9.92,9.97,-1.0,-1.0,-1
2004-02-05,9.92,10.51,9.9,10.44,-1.0,-1.0,-1
2004-02-06,10.49,10.97,10.37,10.95,-1.0,-1.0,-1
2004-02-09,15.28,15.28,15.28,15.28,-1.0,-1.0,-1
2004-02-11,10.33,10.73,10.01,10.28,-1.0,-1.0,-1
2004-02-12,5.21,5.4,5.04,5.33,-1.0,-1.0,-1
2004-02-13,5.37,5.44,5.07,5.08,-1.0,-1.0,-1
2004-02-16,7.47,7.47,7.47,7.47,-1.0,-1.0,-1
2004-02-17,5.16,5.17,4.97,5.04,-1.0,-1.0,-1
2004-02-18,5.08,5.16,4.98,5.04,-1.0,-1.0,-1
2004-02-19,5.1,5.14,4.85,4.88,-1.0,-1.0,-1
2004-02-20,4.83,5.05,4.65,5.05,-1.0,-1.0,-1
2004-02-23,4.86,5.12,4.84,5.0,-1.0,-1.0,-1
2004-02-24,4.52,4.59,4.33,4.45,-1.0,-1.0,-1
2004-02-25,4.44,4.5,4.37,4.44,-1.0,-1.0,-1
2004-02-26,4.44,4.87,4.41,4.8,-1.0,-1.0,-1
2004-02-27,4.86,4.99,4.72,4.92,-1.0,-1.0,-1
2004-03-01,4.91,5.06,4.89,4.97,-1.0,-1.0,-1
2004-03-02,4.96,5.02,4.92,4.92,-1.0,-1.0,-1
2004-03-03,4.92,4.94,4.72,4.72,-1.0,-1.0,-1
2004-03-04,4.73,4.75,4.65,4.67,-1.0,-1.0,-1
2004-03-05,4.65,4.87,4.62,4.75,-1.0,-1.0,-1
2004-03-08,4.73,4.8,4.54,4.57,-1.0,-1.0,-1
2004-03-09,4.59,4.59,4.42,4.44,-1.0,-1.0,-1
2004-03-10,4.43,4.55,4.36,4.37,-1.0,-1.0,-1
2004-03-11,4.35,4.5,4.19,4.3,-1.0,-1.0,-1
2004-03-12,4.34,4.41,4.3,4.4,-1.0,-1.0,-1
2004-03-15,4.33,4.38,4.21,4.22,-1.0,-1.0,-1
2004-03-16,4.23,4.31,4.08,4.16,-1.0,-1.0,-1
2004-03-17,4.2,4.41,4.19,4.38,-1.0,-1.0,-1
2004-03-18,4.35,4.48,4.31,4.42,-1.0,-1.0,-1
2004-03-19,4.44,4.5,4.37,4.39,-1.0,-1.0,-1
2004-03-22,4.3,4.34,4.17,4.19,-1.0,-1.0,-1
2004-03-23,4.28,4.32,3.96,4.08,-1.0,-1.0,-1
2004-03-24,5.57,5.57,5.57,5.57,-1.0,-1.0,-1
2004-03-25,4.08,4.27,4.06,4.24,-1.0,-1.0,-1
2004-03-26,4.24,4.25,4.12,4.14,-1.0,-1.0,-1
2004-03-29,4.39,4.77,4.31,4.77,-1.0,-1.0,-1
2004-03-30,4.75,4.98,4.69,4.91,-1.0,-1.0,-1
2004-03-31,4.92,4.99,4.8,4.87,-1.0,-1.0,-1
2004-04-01,5.16,5.17,4.82,5.03,-1.0,-1.0,-1
2004-04-02,5.16,5.23,5.02,5.03,-1.0,-1.0,-1
2004-04-05,5.01,5.2,4.99,5.1,-1.0,-1.0,-1
2004-04-06,5.1,5.14,5.01,5.09,-1.0,-1.0,-1
2004-04-07,5.11,5.19,5.0,5.09,-1.0,-1.0,-1
2004-04-08,5.26,5.45,5.24,5.38,-1.0,-1.0,-1
2004-04-12,5.42,5.52,5.3,5.39,-1.0,-1.0,-1
2004-04-13,5.43,5.48,5.15,5.23,-1.0,-1.0,-1
2004-04-14,5.14,5.22,5.12,5.22,-1.0,-1.0,-1
2004-04-15,5.25,5.42,5.12,5.29,-1.0,-1.0,-1
2004-04-16,4.69,4.69,4.18,4.4,-1.0,-1.0,-1
2004-04-19,4.28,4.42,3.87,4.38,-1.0,-1.0,-1
2004-04-20,4.42,4.46,4.14,4.17,-1.0,-1.0,-1
2004-04-21,4.19,4.25,4.03,4.15,-1.0,-1.0,-1
2004-04-22,4.12,4.34,4.12,4.26,-1.0,-1.0,-1
2004-04-23,4.3,4.32,4.15,4.23,-1.0,-1.0,-1
2004-04-26,4.22,4.28,4.09,4.1,-1.0,-1.0,-1
2004-04-27,4.11,4.14,3.96,4.0,-1.0,-1.0,-1
2004-04-28,3.99,4.1,3.91,3.95,-1.0,-1.0,-1
2004-04-29,3.9,3.95,3.69,3.72,-1.0,-1.0,-1
2004-04-30,3.76,3.79,3.6,3.62,-1.0,-1.0,-1
2004-05-03,3.61,3.86,3.61,3.84,-1.0,-1.0,-1
2004-05-04,3.82,3.99,3.72,3.85,-1.0,-1.0,-1
2004-05-05,3.88,4.13,3.86,4.13,-1.0,-1.0,-1
2004-05-06,4.07,4.1,3.9,4.04,-1.0,-1.0,-1
