date,open,high,low,close,volume,average,barCount
2004-01-23 09:30:00-05:00,11.05,11.25,10.96,11.05,-1.0,-1.0,-1
2004-01-23 11:00:00-05:00,11.05,11.06,10.72,10.91,-1.0,-1.0,-1
2004-01-23 15:00:00-05:00,10.91,11.06,10.88,11.06,-1.0,-1.0,-1
2004-01-26 09:30:00-05:00,10.93,11.0,10.79,10.9,-1.0,-1.0,-1
2004-01-26 11:00:00-05:00,10.9,10.93,10.75,10.87,-1.0,-1.0,-1
2004-01-26 15:00:00-05:00,10.87,10.94,10.85,10.89,-1.0,-1.0,-1
2004-01-27 09:30:00-05:00,10.86,11.36,10.8,11.19,-1.0,-1.0,-1
2004-01-27 11:00:00-05:00,11.19,11.22,10.81,10.87,-1.0,-1.0,-1
2004-01-27 15:00:00-05:00,10.87,10.88,10.7,10.74,-1.0,-1.0,-1
2004-01-28 09:30:00-05:00,10.72,10.9,10.51,10.58,-1.0,-1.0,-1
2004-01-28 11:00:00-05:00,10.58,10.68,10.39,10.44,-1.0,-1.0,-1
2004-01-28 15:00:00-05:00,10.44,10.46,10.11,10.27,-1.0,-1.0,-1
2004-02-02 09:30:00-05:00,10.57,10.76,10.43,10.57,-1.0,-1.0,-1
2004-02-02 11:00:00-05:00,10.57,10.57,10.57,10.57,-1.0,-1.0,-1
2004-02-02 15:00:00-05:00,10.57,10.57,10.57,10.57,-1.0,-1.0,-1
2004-02-03 09:30:00-05:00,10.37,10.52,10.19,10.33,-1.0,-1.0,-1
2004-02-03 11:00:00-05:00,10.33,10.34,10.01,10.08,-1.0,-1.0,-1
2004-02-03 15:00:00-05:00,10.08,10.28,10.05,10.27,-1.0,-1.0,-1
2004-02-04 09:30:00-05:00,10.18,10.29,10.07,10.15,-1.0,-1.0,-1
2004-02-04 11:00:00-05:00,10.15,10.21,9.91,9.97,-1.0,-1.0,-1
2004-02-04 15:00:00-05:00,9.97,10.06,9.94,9.95,-1.0,-1.0,-1
2004-02-05 09:30:00-05:00,9.92,10.18,9.9,10.12,-1.0,-1.0,-1
2004-02-05 11:00:00-05:00,10.12,10.49,10.06,10.37,-1.0,-1.0,-1
2004-02-05 15:00:00-05:00,10.37,10.51,10.32,10.46,-1.0,-1.0,-1
2004-02-06 09:30:00-05:00,10.47,10.69,10.36,10.64,-1.0,-1.0,-1
2004-02-06 11:00:00-05:00,10.64,10.82,10.64,10.77,-1.0,-1.0,-1
2004-02-06 15:00:00-05:00,10.77,10.97,10.74,10.95,-1.0,-1.0,-1
2004-02-11 09:30:00-05:00,10.33,10.72,10.29,10.36,-1.0,-1.0,-1
2004-02-11 11:00:00-05:00,10.36,10.58,10.01,10.19,-1.0,-1.0,-1
2004-02-11 15:00:00-05:00,10.19,10.31,10.14,10.28,-1.0,-1.0,-1
2004-02-12 09:30:00-05:00,5.2,5.34,5.04,5.2,-1.0,-1.0,-1
2004-02-12 11:00:00-05:00,5.2,5.39,5.15,5.31,-1.0,-1.0,-1
2004-02-12 15:00:00-05:00,5.31,5.35,5.22,5.31,-1.0,-1.0,-1
2004-02-13 09:30:00-05:00,5.37,5.44,5.12,5.12,-1.0,-1.0,-1
2004-02-13 11:00:00-05:00,5.12,5.18,5.07,5.08,-1.0,-1.0,-1
2004-02-13 15:00:00-05:00,5.08,5.12,5.07,5.08,-1.0,-1.0,-1
2004-02-17 09:30:00-05:00,5.16,5.17,4.98,5.06,-1.0,-1.0,-1
2004-02-17 11:00:00-05:00,5.06,5.1,4.99,5.06,-1.0,-1.0,-1
2004-02-17 15:00:00-05:00,5.06,5.09,5.02,5.04,-1.0,-1.0,-1
2004-02-18 09:30:00-05:00,5.07,5.16,4.98,5.01,-1.0,-1.0,-1
2004-02-18 11:00:00-05:00,5.01,5.12,5.01,5.06,-1.0,-1.0,-1
2004-02-18 15:00:00-05:00,5.06,5.09,5.03,5.03,-1.0,-1.0,-1
2004-02-19 09:30:00-05:00,5.1,5.14,5.05,5.05,-1.0,-1.0,-1
2004-02-19 11:00:00-05:00,5.05,5.08,5.03,5.04,-1.0,-1.0,-1
2004-02-19 15:00:00-05:00,5.04,5.04,4.84,4.88,-1.0,-1.0,-1
2004-02-20 09:30:00-05:00,4.83,4.86,4.65,4.7,-1.0,-1.0,-1
2004-02-20 11:00:00-05:00,4.7,5.02,4.7,4.99,-1.0,-1.0,-1
2004-02-20 15:00:00-05:00,4.99,5.05,4.97,5.05,-1.0,-1.0,-1
2004-02-23 09:30:00-05:00,4.85,5.03,4.83,4.98,-1.0,-1.0,-1
2004-02-23 11:00:00-05:00,4.98,5.12,4.93,5.01,-1.0,-1.0,-1
2004-02-23 15:00:00-05:00,5.01,5.06,5.0,5.0,-1.0,-1.0,-1
2004-02-24 09:30:00-05:00,4.52,4.59,4.33,4.4,-1.0,-1.0,-1
2004-02-24 11:00:00-05:00,4.4,4.52,4.39,4.47,-1.0,-1.0,-1
2004-02-24 15:00:00-05:00,4.47,4.51,4.44,4.45,-1.0,-1.0,-1
2004-02-25 09:30:00-05:00,4.44,4.5,4.39,4.4,-1.0,-1.0,-1
2004-02-25 11:00:00-05:00,4.4,4.45,4.37,4.43,-1.0,-1.0,-1
2004-02-25 15:00:00-05:00,4.43,4.45,4.41,4.44,-1.0,-1.0,-1
2004-02-26 09:30:00-05:00,4.42,4.53,4.4,4.53,-1.0,-1.0,-1
2004-02-26 11:00:00-05:00,4.53,4.87,4.53,4.79,-1.0,-1.0,-1
2004-02-26 15:00:00-05:00,4.79,4.86,4.75,4.8,-1.0,-1.0,-1
2004-02-27 09:30:00-05:00,4.86,4.88,4.72,4.79,-1.0,-1.0,-1
2004-02-27 11:00:00-05:00,4.79,4.87,4.73,4.86,-1.0,-1.0,-1
2004-02-27 15:00:00-05:00,4.86,4.99,4.85,4.91,-1.0,-1.0,-1
2004-03-01 09:30:00-05:00,4.91,4.99,4.89,4.96,-1.0,-1.0,-1
2004-03-01 11:00:00-05:00,4.96,5.06,4.95,5.04,-1.0,-1.0,-1
2004-03-01 15:00:00-05:00,5.04,5.04,4.96,4.96,-1.0,-1.0,-1
