date,open,high,low,close,volume,average,barCount
2004-01-23 09:30:00-05:00,11.06,11.25,10.97,11.05,-1.0,-1.0,-1
2004-01-23 10:00:00-05:00,11.05,11.11,10.96,11.05,-1.0,-1.0,-1
2004-01-23 11:00:00-05:00,11.05,11.06,10.91,10.96,-1.0,-1.0,-1
2004-01-23 12:00:00-05:00,10.96,10.96,10.72,10.83,-1.0,-1.0,-1
2004-01-23 13:00:00-05:00,10.83,10.99,10.79,10.81,-1.0,-1.0,-1
2004-01-23 14:00:00-05:00,10.81,10.96,10.8,10.91,-1.0,-1.0,-1
2004-01-23 15:00:00-05:00,10.91,11.07,10.88,11.06,-1.0,-1.0,-1
2004-01-26 09:30:00-05:00,10.93,11.0,10.81,10.9,-1.0,-1.0,-1
2004-01-26 10:00:00-05:00,10.9,10.94,10.83,10.91,-1.0,-1.0,-1
2004-01-26 11:00:00-05:00,10.91,10.91,10.75,10.82,-1.0,-1.0,-1
2004-01-26 12:00:00-05:00,10.82,10.86,10.81,10.82,-1.0,-1.0,-1
2004-01-26 13:00:00-05:00,10.82,10.83,10.79,10.8,-1.0,-1.0,-1
2004-01-26 14:00:00-05:00,10.8,10.94,10.8,10.87,-1.0,-1.0,-1
2004-01-26 15:00:00-05:00,10.87,10.95,10.85,10.9,-1.0,-1.0,-1
2004-01-27 09:30:00-05:00,10.86,11.22,10.8,11.08,-1.0,-1.0,-1
2004-01-27 10:00:00-05:00,11.08,11.36,11.07,11.2,-1.0,-1.0,-1
2004-01-27 11:00:00-05:00,11.2,11.22,11.07,11.07,-1.0,-1.0,-1
2004-01-27 12:00:00-05:00,11.07,11.07,10.82,10.87,-1.0,-1.0,-1
2004-01-27 13:00:00-05:00,10.87,10.92,10.82,10.92,-1.0,-1.0,-1
2004-01-27 14:00:00-05:00,10.92,10.95,10.81,10.88,-1.0,-1.0,-1
2004-01-27 15:00:00-05:00,10.88,10.89,10.71,10.74,-1.0,-1.0,-1
2004-01-28 09:30:00-05:00,10.73,10.91,10.59,10.68,-1.0,-1.0,-1
2004-01-28 10:00:00-05:00,10.68,10.81,10.51,10.58,-1.0,-1.0,-1
