date,open,high,low,close,volume,average,barCount
2004-01-23 09:30:00-05:00,11.07,11.25,10.96,11.06,9582300.0,11.065,4832
2004-01-23 11:00:00-05:00,11.06,11.06,10.72,10.9,13305600.0,10.88471428571429,5746
2004-01-23 15:00:00-05:00,10.91,11.07,10.88,11.07,3634400.0,10.98042857142857,1741
2004-01-26 09:30:00-05:00,10.93,11.01,10.79,10.9,6791400.0,10.896,3125
2004-01-26 11:00:00-05:00,10.91,10.94,10.75,10.88,6169100.0,10.83385714285714,2980
2004-01-26 15:00:00-05:00,10.88,10.95,10.85,10.9,2424100.0,10.89885714285714,1125
2004-01-27 09:30:00-05:00,10.86,11.36,10.8,11.19,12600700.0,11.18728571428571,5863
2004-01-27 11:00:00-05:00,11.19,11.23,10.79,10.87,16050300.0,10.96114285714286,6910
2004-01-27 15:00:00-05:00,10.88,10.89,10.7,10.77,3465000.0,10.79385714285714,1824
2004-01-28 09:30:00-05:00,10.73,10.91,10.5,10.59,6291600.0,10.67457142857143,3518
2004-01-28 11:00:00-05:00,10.59,10.68,10.39,10.45,9572500.0,10.509,4523
2004-01-28 15:00:00-05:00,10.44,10.46,10.11,10.29,7924000.0,10.26642857142857,3503
2004-02-02 09:30:00-05:00,10.58,10.77,10.31,10.39,8212400.0,10.56314285714286,4337
2004-02-02 11:00:00-05:00,10.39,10.66,10.34,10.56,5183500.0,10.53285714285714,2987
2004-02-02 15:00:00-05:00,10.56,10.57,10.37,10.4,2098600.0,10.44985714285714,1288
2004-02-03 09:30:00-05:00,10.37,10.53,10.19,10.33,4186700.0,10.357,2308
2004-02-03 11:00:00-05:00,10.34,10.35,10.01,10.09,8676500.0,10.17885714285714,3980
2004-02-03 15:00:00-05:00,10.08,10.28,10.06,10.27,3288600.0,10.191,1534
2004-02-04 09:30:00-05:00,10.18,10.3,10.06,10.15,3644200.0,10.15714285714286,2035
2004-02-04 11:00:00-05:00,10.15,10.22,9.91,9.96,7664300.0,10.07542857142857,3965
2004-02-04 15:00:00-05:00,9.97,10.07,9.94,9.95,1880900.0,9.991428571428571,1120
2004-02-05 09:30:00-05:00,9.92,10.19,9.9,10.12,4794300.0,10.09214285714286,2533
2004-02-05 11:00:00-05:00,10.12,10.5,10.06,10.37,8619800.0,10.34371428571429,4605
2004-02-05 15:00:00-05:00,10.37,10.51,10.32,10.46,2579500.0,10.425,1460
2004-02-06 09:30:00-05:00,10.47,10.7,10.35,10.64,5796000.0,10.55614285714286,3223
2004-02-06 11:00:00-05:00,10.64,10.82,10.64,10.78,5737200.0,10.73414285714286,2837
2004-02-06 15:00:00-05:00,10.77,10.97,10.74,10.95,3957800.0,10.87657142857143,2108
2004-02-11 09:30:00-05:00,10.33,10.73,10.29,10.37,8034600.0,10.46328571428571,4302
2004-02-11 11:00:00-05:00,10.37,10.59,10.01,10.2,15693300.0,10.23114285714286,7867
2004-02-11 15:00:00-05:00,10.2,10.31,10.14,10.27,4041800.0,10.24542857142857,2068
2004-02-12 09:30:00-05:00,5.2,5.34,5.04,5.2,15726900.0,5.209428571428571,6694
2004-02-12 11:00:00-05:00,5.2,5.41,5.15,5.32,15474200.0,5.287714285714286,7265
2004-02-12 15:00:00-05:00,5.31,5.35,5.23,5.31,7264600.0,5.288714285714286,2992
2004-02-13 09:30:00-05:00,5.37,5.45,5.12,5.13,13686400.0,5.291857142857143,6346
2004-02-13 11:00:00-05:00,5.12,5.18,5.07,5.08,10189200.0,5.126857142857143,4888
2004-02-13 15:00:00-05:00,5.08,5.12,5.06,5.08,3924200.0,5.092285714285714,1551
2004-02-17 09:30:00-05:00,5.16,5.17,4.97,5.06,8920100.0,5.062428571428571,4431
2004-02-17 11:00:00-05:00,5.06,5.1,4.71,5.06,7857500.0,5.036857142857143,3186
2004-02-17 15:00:00-05:00,5.06,5.09,5.02,5.05,3584700.0,5.052142857142857,1404
2004-02-18 09:30:00-05:00,5.07,5.16,4.97,5.01,5521600.0,5.032285714285714,2677
2004-02-18 11:00:00-05:00,5.01,5.35,5.01,5.06,6820100.0,5.077857142857143,3042
2004-02-18 15:00:00-05:00,5.06,5.09,5.03,5.04,1916600.0,5.057857142857143,1013
2004-02-19 09:30:00-05:00,5.1,5.14,5.05,5.05,3731700.0,5.093714285714286,1851
2004-02-19 11:00:00-05:00,5.05,5.09,5.03,5.04,4267200.0,5.058285714285714,2295
2004-02-19 15:00:00-05:00,5.04,5.04,4.84,4.88,8872500.0,4.940285714285714,3393
2004-02-20 09:30:00-05:00,4.83,4.86,4.65,4.7,11724300.0,4.743,5227
2004-02-20 11:00:00-05:00,4.7,5.02,4.7,4.99,18718000.0,4.912285714285714,7553
2004-02-20 15:00:00-05:00,4.99,5.05,4.98,5.05,7126700.0,5.015285714285714,2095
2004-02-23 09:30:00-05:00,4.86,5.04,4.83,4.98,14430500.0,4.977,5577
2004-02-23 11:00:00-05:00,4.98,5.12,4.93,5.02,15781500.0,5.020571428571429,7021
2004-02-23 15:00:00-05:00,5.02,5.07,4.98,5.0,5746300.0,5.012857142857143,2032
2004-02-24 09:30:00-05:00,4.54,4.59,4.32,4.4,51249100.0,4.418142857142857,15986
2004-02-24 11:00:00-05:00,4.4,4.52,4.39,4.47,31197600.0,4.447571428571429,9133
2004-02-24 15:00:00-05:00,4.47,4.52,4.44,4.46,10159100.0,4.479142857142857,3281
2004-02-25 09:30:00-05:00,4.44,4.5,4.39,4.4,10837400.0,4.443428571428571,3779
2004-02-25 11:00:00-05:00,4.4,4.45,4.37,4.43,11491200.0,4.412285714285714,4122
2004-02-25 15:00:00-05:00,4.43,4.45,4.41,4.44,3639300.0,4.433,1381
2004-02-26 09:30:00-05:00,4.42,4.54,4.41,4.52,5973800.0,4.474714285714286,2182
2004-02-26 11:00:00-05:00,4.53,4.87,4.53,4.8,36413300.0,4.740428571428571,13711
2004-02-26 15:00:00-05:00,4.79,4.86,4.75,4.81,7082600.0,4.808142857142857,2611
2004-02-27 09:30:00-05:00,4.86,4.88,4.72,4.8,13297200.0,4.803857142857143,4478
2004-02-27 11:00:00-05:00,4.79,4.87,4.73,4.86,11434500.0,4.784857142857143,4076
2004-02-27 15:00:00-05:00,4.87,5.0,4.85,4.91,8241800.0,4.924714285714286,3692
2004-03-01 09:30:00-05:00,4.91,4.99,4.89,4.96,7590800.0,4.929285714285714,2828
2004-03-01 11:00:00-05:00,4.96,5.07,4.95,5.04,10436300.0,5.026857142857143,4021
2004-03-01 15:00:00-05:00,5.04,5.05,4.96,4.96,5475400.0,5.007714285714286,1767
2004-03-02 09:30:00-05:00,4.96,5.02,4.93,4.97,4965100.0,4.973285714285714,1879
2004-03-02 11:00:00-05:00,4.98,4.98,4.91,4.94,7744100.0,4.947142857142857,2872
2004-03-02 15:00:00-05:00,4.94,4.96,4.92,4.92,2472400.0,4.946285714285714,968
